Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
T1,12/08/2023,Kayserispor,Galatasaray,0.0,0.0,D,0.0,0.0,4.75,4.0,1.6,5.0,4.1,1.6,5.25,4.1,1.63,4.75,4.0,1.5,2023/24,€34.05m,€255.65m,4.9375,0.2072890493972125,1.9987367825194138,0.04198259228297974,0.02215189873417711,0.2504237625998556,4.05,0.04999999999999982,1.9998900524545515,0.012345679012345635,0.006172839506172867,0.250038103947569,1.5825,0.049180788932265,1.999296313317751,0.031077907698113742,0.015402843601895588,0.2502563325144602,A
T1,12/08/2023,Pendikspor,Hatayspor,1.0,5.0,A,0.0,2.0,2.15,3.5,3.0,2.1,3.5,3.2,2.2,3.55,3.15,2.0,3.4,3.0,2023/24,€23.38m,€28.90m,2.1125,0.07395099728874523,1.9991112041849433,0.03500638924911017,0.019230769230769384,0.2503166698999964,3.4875,0.0544862367942584,1.9998233151906541,0.015623293704446855,0.008064516129032029,0.2500623149039273,3.0875,0.08926785535678566,1.9993975690198316,0.028912665702602643,0.01518218623481804,0.25020766878833245,H
T1,13/08/2023,Sivasspor,Samsunspor,1.0,1.0,D,1.0,0.0,2.25,3.5,2.8,2.25,3.5,2.9,2.35,3.55,2.9,2.2,3.3,2.7,2023/24,€30.38m,€34.88m,2.2625,0.0544862367942584,1.9995837549364612,0.02408231460519708,0.012430939226519389,0.25014070612415074,3.4625000000000004,0.09601432184835763,1.9994400731438249,0.027729768042846967,0.013537906137184308,0.250203391700604,2.8249999999999997,0.08291561975888491,1.9993754394645173,0.029350661861552184,0.015486725663716783,0.25022196729894153,H
T1,13/08/2023,Ad. Demirspor,Rizespor,2.0,1.0,H,1.0,0.0,1.55,4.0,5.25,1.61,4.1,4.8,1.6,4.2,5.25,1.5,4.0,4.8,2023/24,€53.30m,€34.15m,1.565,0.04387482193696065,1.999430669695685,0.028035029991668146,0.015175718849840258,0.25020146829868406,4.075,0.08291561975888503,1.9997023165805357,0.020347391351873627,0.010736196319018232,0.25010150443384654,5.025,0.2250000000000001,1.9985532860835362,0.044776119402985086,0.02238805970149249,0.25050122521719753,H
T1,13/08/2023,Fenerbahce,Gaziantep,2.0,1.0,H,2.0,1.0,1.3,5.25,8.0,1.31,5.25,8.75,1.33,5.75,8.5,1.25,5.0,8.0,2023/24,€218.30m,€24.03m,1.2975,0.029474565306379014,1.9996257410755607,0.022716427981795,0.012042389210019211,0.2501332831497694,5.3125,0.2724311839712921,1.9981224815051548,0.05128116404165499,0.026470588235294024,0.25061888245190295,8.3125,0.3247595264191645,1.9989016671133302,0.03906881520832054,0.020676691729323293,0.25037568152847844,H
T1,14/08/2023,Alanyaspor,Buyuksehyr,2.0,0.0,H,1.0,0.0,2.7,3.5,2.38,2.7,3.5,2.37,2.75,3.55,2.45,2.7,3.4,2.2,2023/24,€32.53m,€54.15m,2.7125000000000004,0.021650635094610887,1.9999541836226444,0.007981800956538575,0.003456221198156584,0.25001563770563573,3.4875,0.0544862367942584,1.9998233151906541,0.015623293704446855,0.008064516129032029,0.2500623149039273,2.35,0.09192388155425116,1.9988848085998585,0.039116545342234535,0.0202127659574467,0.2504071397662819,A
T1,14/08/2023,Karagumruk,Besiktas,0.0,1.0,A,0.0,0.0,4.33,4.0,1.65,4.4,4.0,1.68,4.4,4.1,1.7,4.0,3.9,1.62,2023/24,€32.33m,€146.88m,4.282500000000001,0.16558608033285904,1.9989062394767239,0.038665751391210514,0.018534734384121565,0.2504065259169517,4.0,0.07071067811865465,1.9997745554126243,0.017677669529663664,0.009374999999999911,0.25007819828035127,1.6625,0.0303108891324553,1.999759925895154,0.018232113763882885,0.010150375939849576,0.2500837127349122,A
T1,18/08/2023,Antalyaspor,Konyaspor,1.0,1.0,D,0.0,0.0,2.15,3.4,3.0,2.2,3.4,3.0,2.25,3.5,3.05,2.15,3.25,2.8,2023/24,€31.48m,€32.28m,2.1875,0.04145780987944255,1.999741686350861,0.01895214165917374,0.010000000000000009,0.2500881758243832,3.3875,0.08926785535678562,1.9994971393500218,0.02635213442266734,0.013837638376383854,0.2501777600084272,2.9625000000000004,0.09601432184835763,1.9992338619801828,0.032409897670331686,0.015822784810126667,0.2502805742551785,H
T1,18/08/2023,Istanbulspor,Kayserispor,1.0,1.0,D,0.0,0.0,2.5,3.4,2.6,2.55,3.5,2.55,2.55,3.55,2.65,2.45,3.3,2.4,2023/24,€12.93m,€34.05m,2.5125,0.04145780987944235,1.9998030507238345,0.016500620847539244,0.008706467661691475,0.2500692116587237,3.4375,0.09601432184835762,1.9994356565805271,0.02793143908315858,0.015454545454545388,0.2501983390429842,2.5500000000000003,0.09354143466934856,1.999020724763907,0.03668291555660727,0.019607843137254832,0.25035479348035683,H
T1,19/08/2023,Rizespor,Alanyaspor,0.0,0.0,D,0.0,0.0,2.3,3.4,2.8,2.3,3.6,2.75,2.4,3.55,2.8,2.15,3.3,2.8,2023/24,€34.15m,€32.53m,2.2875,0.08926785535678562,1.998895005256442,0.03902419906307568,0.020491803278688492,0.25039482024083703,3.4625000000000004,0.11924240017711828,1.9991424163330875,0.034438238318301305,0.018953068592057587,0.2503007393874224,2.7874999999999996,0.02165063509461089,1.9999563521645476,0.007767043980129468,0.0033632286995515237,0.2500153559509428,H
