Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
B1,09/08/2020,St Truiden,Gent,H,4.5,3.8,1.65,4.6,4.0,1.67,4.3,3.85,1.7,4.33,4.0,1.7,2020/21,€23.08m,€81.65m,4.4325,0.12316147936753592,1.9994440872369745,0.027786007753533203,0.015087422447828569,0.25019085756887177,3.9125,0.08926785535678566,1.9996241190182482,0.022816065266910074,0.01198083067092659,0.250130859967388,1.68,0.021213203435596444,1.9998848327779495,0.012626906806902646,0.006696428571428825,0.2500401839448655
B1,09/08/2020,Waregem,Genk,A,3.75,3.6,1.9,3.7,3.75,1.87,3.45,3.65,1.95,3.5,3.8,1.91,2020/21,€22.75m,€140.05m,3.5999999999999996,0.1274754878398196,1.9990953155132338,0.03540985773328323,0.0190972222222221,0.2503136392973524,3.6999999999999997,0.0790569415042094,1.9996706436323575,0.021366740947083622,0.01182432432432412,0.25011419072270313,1.9075,0.028613807855648946,1.99983787472723,0.015000685638610194,0.008191349934469239,0.2500558656948598
B1,09/08/2020,Mechelen,Anderlecht,D,4.5,3.5,1.8,4.4,3.5,1.8,4.0,3.4,1.85,4.2,3.5,1.83,2020/21,€31.88m,€139.80m,4.275,0.19202864369671524,1.998537683850349,0.04491898098168777,0.024853801169590684,0.2505188531830915,3.475,0.043301270189221974,1.9998874512721907,0.012460797176754525,0.0053956834532373765,0.25003995950769886,1.8199999999999998,0.021213203435596444,1.9999021192094375,0.011655606283294751,0.006181318681318659,0.2500337200247288
B1,09/08/2020,Kortrijk,Waasland-Beveren,A,1.6,3.8,4.75,1.67,4.0,4.5,1.63,3.85,4.8,1.62,4.0,5.0,2020/21,€31.80m,€20.95m,1.6300000000000001,0.02549509756796386,1.999824010623532,0.01564116415212507,0.008435582822085896,0.25006016665296626,3.9125,0.08926785535678566,1.9996241190182482,0.022816065266910074,0.01198083067092659,0.250130859967388,4.7625,0.17809758560968758,1.9989881835358045,0.0373958185007218,0.020341207349081403,0.25035642948883985
B1,10/08/2020,Oud-Heverlee Leuven,Eupen,D,2.3,3.4,3.0,2.3,3.4,2.9,2.35,3.25,2.85,2.35,3.4,2.88,2020/21,€32.65m,€21.10m,2.3249999999999997,0.025000000000000133,1.9999165959739287,0.010752688172043069,0.005376344086021501,0.25002890507573133,3.3625,0.06495190528383286,1.9997288032186364,0.019316551757273714,0.00836431226765777,0.25009758706935187,2.9075,0.056291651245988505,1.9997309921797268,0.019360843076866207,0.010103181427343122,0.2500908742480702
B1,10/08/2020,Oostende,Beerschot VA,A,2.3,3.4,3.0,2.3,3.5,2.9,2.3,3.3,2.9,2.3,3.5,2.9,2020/21,€34.55m,€24.80m,2.3,0.0,2.0,0.0,0.0,0.25,3.425,0.08291561975888508,1.9995754864095185,0.024208940075586886,0.012773722627737127,0.25015018575738046,2.9250000000000003,0.043301270189221974,1.9998428012555898,0.014803853056144263,0.0064102564102563875,0.25005296236141517
B1,14/08/2020,Mouscron,Mechelen,A,3.5,3.4,2.05,3.6,3.5,2.05,3.35,3.3,2.1,3.5,3.4,2.05,2020/21,€18.03m,€31.88m,3.4875,0.08926785535678562,1.9995256192241246,0.025596517665028136,0.013440860215053752,0.25016758947087636,3.4000000000000004,0.07071067811865482,1.9996879534788257,0.020797258270192593,0.011029411764705843,0.2501082718981202,2.0625,0.02165063509461108,1.99992083045956,0.010497277621629615,0.00454545454545463,0.25002689232313824
B1,15/08/2020,Genk,Oud-Heverlee Leuven,D,1.25,6.0,12.0,1.3,5.5,10.0,1.25,5.5,10.0,1.24,5.8,11.0,2020/21,€140.05m,€32.65m,1.26,0.02345207879911717,1.9997516906681836,0.018612760951680293,0.008928571428571175,0.2500833451351169,5.7,0.21213203435596423,1.9990044793330626,0.037216146378239334,0.019736842105263275,0.25033871837039284,10.75,0.82915619758885,1.9957563893204375,0.07713080907803255,0.04069767441860472,0.2513891393073153
B1,15/08/2020,Charleroi,Oostende,H,1.4,4.2,8.5,1.4,4.6,8.25,1.4,4.3,7.25,1.38,4.6,8.0,2020/21,€42.83m,€34.55m,1.395,0.008660254037844393,1.9999721323448272,0.006208067410641142,0.0026881720430107503,0.25000977466147095,4.425,0.17853571071357105,1.9988235378448995,0.040347053268603626,0.021186440677966045,0.2504110781378258,8.0,0.46770717334674267,1.997498504687187,0.05846339666834283,0.03125,0.2509326066027354
B1,15/08/2020,Gent,Kortrijk,A,1.36,4.75,8.0,1.36,5.25,8.0,1.4,4.6,7.0,1.36,5.0,7.5,2020/21,€81.65m,€31.80m,1.37,0.017320508075688693,1.9998852552188593,0.012642706624590286,0.005474452554744547,0.25003881786657006,4.9,0.24748737341529176,1.9981655046226046,0.05050762722761056,0.028061224489795977,0.25062615771858987,7.625,0.414578098794425,1.997846717186915,0.054370898202547535,0.028688524590164022,0.2507831534980857
B1,16/08/2020,Cercle Brugge,Antwerp,H,3.8,3.8,1.85,4.0,3.9,1.83,3.8,3.55,1.85,3.9,3.8,1.83,2020/21,€40.45m,€54.40m,3.875,0.08291561975888508,1.9996708481591756,0.021397579292615505,0.011290322580645107,0.25011214314705854,3.7625,0.12930100540985753,1.999139940548696,0.034365715723550176,0.01744186046511631,0.250312675382653,1.8399999999999999,0.010000000000000009,1.9999786935529436,0.005434782608695657,0.0027173913043476716,0.2500073842155009
B1,16/08/2020,Beerschot VA,Waregem,H,2.4,3.4,2.8,2.35,3.5,2.95,2.3,3.25,2.9,2.35,3.4,2.88,2020/21,€24.80m,€22.75m,2.3499999999999996,0.03535533905932741,1.9998367130024461,0.015044825131628688,0.007978723404255206,0.25005662512995336,3.3875,0.08926785535678562,1.9994971393500218,0.02635213442266734,0.013837638376383854,0.2501777600084272,2.8825,0.054025456962435894,1.9997459487204425,0.01874256963137412,0.010190806591500401,0.2500892097724182
B1,16/08/2020,Eupen,Club Brugge,A,8.5,4.5,1.36,8.75,4.5,1.4,7.5,4.3,1.4,8.0,4.75,1.36,2020/21,€21.10m,€170.90m,8.1875,0.480071609241788,1.9975042224241606,0.05863470036540922,0.03244274809160297,0.25089290302989137,4.5125,0.15958931668504636,1.999099877205282,0.035366053559013046,0.018698060941828132,0.25030869708182524,1.38,0.019999999999999907,1.9998484829291057,0.01449275362318834,0.007246376811594235,0.25005250997689554
B1,16/08/2020,Anderlecht,St Truiden,H,1.4,4.5,7.5,1.42,4.4,7.25,1.43,4.3,6.5,1.42,4.75,6.5,2020/21,€139.80m,€23.08m,1.4175,0.010897247358851694,1.9999572962456953,0.007687652457743699,0.003968253968253954,0.2500149260176315,4.4875,0.16723860200324567,1.9990049006598944,0.037267655042506,0.020194986072423315,0.2503335367232212,6.9375,0.44633927678392815,1.9970191810321605,0.06433719304993558,0.03378378378378377,0.25102126339994224
B1,17/08/2020,Waasland-Beveren,Standard,A,5.5,4.0,1.57,5.5,4.1,1.6,5.75,3.9,1.55,5.8,4.2,1.52,2020/21,€20.95m,€85.25m,5.6375,0.13863170633011768,1.99956391534224,0.02459099003638451,0.012749445676275117,0.25015083651937975,4.05,0.11180339887498954,1.9994501616675164,0.027605777499997416,0.015432098765431945,0.2501907988591711,1.5599999999999998,0.02915475947422653,1.9997480239601726,0.018688948380914443,0.01041666666666674,0.2500873904730661
B1,21/08/2020,Kortrijk,Eupen,D,2.3,3.5,2.9,2.3,3.3,3.2,2.35,3.2,2.85,2.1,3.4,3.3,2020/21,€31.80m,€21.10m,2.2624999999999997,0.09601432184835755,1.9986817559075036,0.04243726932524091,0.02071823204419898,0.250491373905499,3.3499999999999996,0.11180339887498944,1.9991962939322925,0.0333741489179073,0.018656716417910557,0.2502790550615751,3.0624999999999996,0.19162137145944863,1.9971781822578876,0.06257024374186079,0.03367346938775517,0.2509713759897205
B1,22/08/2020,Waregem,Waasland-Beveren,H,1.66,4.0,4.75,1.67,4.1,4.75,1.73,3.7,4.3,1.7,4.0,4.33,2020/21,€22.75m,€20.95m,1.69,0.02738612787525833,1.9998109378039017,0.016204809393643983,0.008875739644970349,0.25006490117211627,3.95,0.14999999999999983,1.9989474930593716,0.03797468354430375,0.018987341772151778,0.2503868058157175,4.5325,0.21775846711436966,1.9983341444614582,0.048043787559706494,0.024407060121345747,0.25057748599018576
B1,22/08/2020,Mechelen,Cercle Brugge,A,1.8,3.75,4.33,1.78,3.75,4.5,1.8,3.6,4.0,1.73,3.9,4.2,2020/21,€31.88m,€40.45m,1.7775,0.02861380785564902,1.999812150784176,0.016097782197270896,0.008087201125175802,0.2500667188545592,3.75,0.10606601717798207,1.9994227679976009,0.028284271247461888,0.015000000000000124,0.2502004806407175,4.2575,0.18280795934531952,1.998667310780128,0.04293786479044498,0.023928361714621316,0.2504671447420522
B1,22/08/2020,Oud-Heverlee Leuven,Charleroi,A,4.0,3.8,1.72,4.1,3.9,1.83,4.2,3.55,1.77,4.33,3.9,1.73,2020/21,€32.65m,€42.83m,4.1575,0.12214233500306117,1.999378174211162,0.029378793746978035,0.016386049308478867,0.2502142311820804,3.7874999999999996,0.143069039278245,1.9989585291856387,0.03777400376983366,0.018976897689769068,0.25038274504384533,1.7624999999999997,0.04322904116447649,1.9995681367037668,0.024527115554312907,0.013120567375886516,0.25014611012862237
