Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,PSH,PSD,PSA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
G1,15/09/2019,AEK,Lamia,H,1.2,6.0,15.0,1.25,5.75,12.5,1.25,5.4,12.5,1.2,5.8,15.0,2019/20,€30.53m,€7.88m,1.22,6.2,15.0,1.25,5.5,12.0,1.225,0.025000000000000022,1.999699542856517,0.020408163265306138,0.010204081632653184,0.25010412328196585,5.737500000000001,0.21614520582238214,1.9989693564855329,0.037672367027866166,0.020152505446622948,0.25036972366670557,13.75,1.25,1.9940302114769564,0.09090909090909091,0.045454545454545414,0.2520661157024793
G1,15/09/2019,Panionios,Larisa,H,2.2,3.1,3.5,2.25,3.1,3.5,2.25,3.05,3.4,2.3,3.0,3.3,2019/20,€7.13m,€13.43m,2.39,3.07,3.38,2.37,3.1,3.3,2.25,0.03535533905932725,1.999821874838928,0.015713484026367668,0.008333333333333304,0.25006177413862213,3.0625,0.04145780987944255,1.999867507101266,0.013537244042266956,0.0071428571428571175,0.25004644235873763,3.4250000000000003,0.08291561975888508,1.9995754864095185,0.024208940075586882,0.012773722627737127,0.25015018575738046
G1,15/09/2019,Aris,Panathinaikos,H,1.95,3.1,4.33,1.95,3.3,4.2,1.93,3.25,4.25,1.91,3.25,4.2,2019/20,€11.73m,€20.25m,1.96,3.29,4.45,1.85,3.1,5.0,1.9349999999999998,0.016583123951777013,1.9999469438576978,0.008570089897559181,0.004521963824289266,0.2500185194600221,3.225,0.07499999999999993,1.999607104976187,0.023255813953488347,0.011627906976744207,0.25014106658201696,4.245,0.0531507290636732,1.9998872482633643,0.012520784231725136,0.0064782096584214965,0.2500385027358081
G1,21/09/2019,Volos NFC,OFI Crete,H,2.2,3.1,3.1,2.35,3.2,3.25,2.35,3.15,3.1,2.35,3.25,3.0,2019/20,€8.40m,€9.78m,2.37,3.39,3.09,2.75,3.1,2.45,2.3125,0.06495190528383286,1.9994245993996207,0.028087310393008807,0.012162162162162149,0.2502106675821604,3.1750000000000003,0.05590169943749474,1.9997763628692897,0.01760683446850228,0.009842519685039353,0.25007754630702816,3.1125,0.08926785535678562,1.9994088153157386,0.02868043545599538,0.015060240963855387,0.2502013006482564
G1,21/09/2019,Asteras Tripolis,Atromitos,H,2.15,3.1,3.6,2.15,3.1,3.8,2.2,3.05,3.6,2.15,3.1,3.5,2019/20,€11.20m,€12.75m,2.19,3.11,3.82,2.05,3.1,3.8,2.1624999999999996,0.02165063509461108,1.9999279699684487,0.010011854379010907,0.004335260115606809,0.2500244897959183,3.0875000000000004,0.02165063509461108,1.9999644327049415,0.0070123514476473124,0.0030364372469635637,0.2500124947938359,3.625,0.10897247358851675,1.999352185133717,0.030061372024418415,0.015517241379310542,0.250217716703935
G1,21/09/2019,Panetolikos,AEK,A,6.5,3.8,1.53,6.25,3.7,1.62,6.3,3.65,1.57,6.0,3.6,1.6,2019/20,€8.85m,€30.53m,6.33,3.62,1.64,6.0,3.75,1.57,6.2625,0.17809758560968758,1.9994153099407745,0.028438736225099813,0.015469061876247636,0.2502050343058129,3.6875,0.07395099728874512,1.9997106934683815,0.020054507739320708,0.011016949152542477,0.25009889375249333,1.58,0.033911649915626375,1.9996668349536086,0.021463069566852136,0.011867088607594889,0.2501169903775224
G1,22/09/2019,Larisa,Xanthi,H,2.25,3.1,3.4,2.3,3.1,3.4,2.3,2.95,3.4,2.3,3.0,3.3,2019/20,€13.43m,€9.38m,2.37,2.99,3.53,1.95,3.2,4.2,2.2874999999999996,0.02165063509461089,1.9999351428157195,0.009464758511305309,0.004098360655737654,0.250022893074082,3.0374999999999996,0.06495190528383288,1.9996696306147015,0.02138334330331947,0.011316872427983515,0.2501154024093447,3.375,0.043301270189221974,1.999880665596286,0.012830005981991697,0.005555555555555536,0.25004239923116056
G1,22/09/2019,PAOK,Aris,D,1.36,4.2,8.5,1.48,4.33,7.0,1.45,4.0,8.0,1.42,4.0,8.5,2019/20,€53.55m,€11.73m,1.43,4.17,9.44,1.6,3.8,6.0,1.4275,0.044370598373247076,1.999299731256081,0.031082730909455045,0.017075306479859886,0.25024867027797054,4.1325,0.14024532077755755,1.9991718434022818,0.0339371617126576,0.017997580157289805,0.25028235893220757,8.0,0.6123724356957945,1.9956764763856565,0.07654655446197431,0.0390625,0.25167690168714396
G1,22/09/2019,Lamia,Panionios,D,2.05,3.2,3.75,2.1,3.2,3.9,2.05,3.05,4.05,2.05,3.1,3.8,2019/20,€7.88m,€7.13m,2.12,3.06,4.14,2.15,3.0,3.75,2.0625,0.02165063509461108,1.99992083045956,0.010497277621629615,0.00454545454545463,0.2500268923231382,3.1375,0.06495190528383303,1.999690371339926,0.020701802480902958,0.010956175298804771,0.2501081293894304,3.875,0.11456439237389596,1.999372417810323,0.029565004483586052,0.016129032258064502,0.2502124997233317
G1,22/09/2019,Panathinaikos,Olympiakos,D,7.5,4.2,1.44,7.25,4.25,1.48,7.4,4.1,1.46,8.0,4.0,1.44,2019/20,€20.25m,€82.58m,8.26,4.15,1.46,7.0,3.8,1.53,7.5375,0.2814582562299425,1.9990038852307481,0.0373410621863937,0.019485903814262073,0.2503289647928323,4.137499999999999,0.09601432184835766,1.9996106543758212,0.02320587839235231,0.01283987915407847,0.25013649275151295,1.4549999999999998,0.016583123951777013,1.9999064698413542,0.011397336049331281,0.006013745704467333,0.2500321174139201
G1,28/09/2019,Atromitos,Panetolikos,H,1.85,3.5,4.2,1.8,3.6,4.6,1.77,3.45,4.7,1.75,3.5,4.6,2019/20,€12.75m,€8.85m,1.79,3.69,4.68,1.53,3.75,6.0,1.7925,0.03766629793329844,1.9996825102776268,0.021013276392356173,0.011506276150627714,0.2501082812829497,3.5125,0.0544862367942584,1.9998269963994477,0.015512095884486377,0.008007117437722311,0.2500589862838879,4.525,0.1920286436967151,1.9986817559075036,0.0424372693252409,0.02071823204419898,0.250491373905499
G1,28/09/2019,Olympiakos,Lamia,H,1.16,7.0,15.0,1.16,6.75,14.0,1.17,6.7,16.0,1.14,7.0,19.0,2019/20,€82.58m,€7.88m,1.15,7.87,18.07,1.16,7.0,15.0,1.1575,0.010897247358851694,1.99993593255692,0.009414468560563018,0.004859611231101457,0.2500224366154282,6.8625,0.13863170633011768,1.9997055050019306,0.020201341541729353,0.01047358834244072,0.2501022312305368,16.0,1.8708286933869707,1.9903601469005883,0.11692679333668567,0.0625,0.25299207288773384
G1,29/09/2019,OFI Crete,Asteras Tripolis,H,2.15,3.3,3.4,2.15,3.25,3.6,2.1,3.25,3.6,2.05,3.2,3.7,2019/20,€9.78m,€11.20m,2.14,3.21,3.81,1.83,3.5,4.33,2.1125,0.04145780987944252,1.9997212537352627,0.01962499875949942,0.010355029585798814,0.2500982215729445,3.25,0.03535533905932725,1.9999146300616968,0.010878565864408385,0.005769230769230749,0.2500295963047226,3.5749999999999997,0.10897247358851693,1.9993251043683955,0.030481810793990753,0.01573426573426584,0.2502422528834002
G1,29/09/2019,Xanthi,Volos NFC,H,1.85,3.5,4.2,1.91,3.4,4.33,1.85,3.3,4.5,1.83,3.25,4.6,2019/20,€9.38m,€8.40m,1.89,3.33,4.75,2.05,3.1,3.8,1.8599999999999999,0.029999999999999933,1.9998132238071666,0.01612903225806448,0.008064516129032251,0.2500632304706003,3.3625,0.09601432184835762,1.9994132766247352,0.02855444515936286,0.01579925650557601,0.25020088178268146,4.407500000000001,0.15384651442265418,1.9991198059007134,0.03490561870054547,0.01942711287578014,0.2503073061824193
G1,29/09/2019,Panionios,Panathinaikos,A,3.0,3.1,2.45,3.0,3.1,2.55,3.2,3.05,2.35,3.1,3.1,2.35,2019/20,€7.13m,€20.25m,3.31,3.26,2.32,3.1,3.1,2.37,3.075,0.08291561975888508,1.9994777463270106,0.026964429189881324,0.014227642276422703,0.25017717363869474,3.0875000000000004,0.02165063509461108,1.9999644327049415,0.0070123514476473124,0.0030364372469635637,0.2500124947938359,2.425,0.08291561975888491,1.9991611573423371,0.03419200814799378,0.018041237113401998,0.25028302667980734
G1,29/09/2019,AEK,PAOK,D,2.3,3.4,3.0,2.55,3.2,2.9,2.4,3.1,3.05,2.4,3.1,3.0,2019/20,€30.53m,€53.55m,2.46,3.21,3.1,2.1,3.4,3.5,2.4125,0.08926785535678562,1.9990169207478743,0.03700221983700958,0.01943005181347157,0.2503332833476973,3.1999999999999997,0.12247448713915883,1.998953844949236,0.03827327723098714,0.01953125,0.25034484724058254,2.9875,0.0544862367942584,1.9997590808604244,0.01823807089347562,0.009414225941422494,0.25008522738968414
G1,05/10/2019,Panathinaikos,Xanthi,A,1.65,3.5,5.25,1.7,3.5,5.75,1.7,3.35,5.5,1.67,3.5,5.5,2019/20,€20.25m,€9.38m,1.7,3.3,6.56,1.53,3.6,7.5,1.68,0.021213203435596444,1.9998848327779495,0.012626906806902646,0.006696428571428825,0.25004018394486555,3.4625,0.06495190528383286,1.9997442984711604,0.018758673006161117,0.008122743682310585,0.250091910513201,5.5,0.1767766952966369,1.999254549458816,0.03214121732666125,0.017045454545454586,0.2502590662493088
G1,05/10/2019,Larisa,AEK,D,4.75,3.25,1.85,4.5,3.3,1.9,4.25,3.2,1.93,4.2,3.25,1.91,2019/20,€13.43m,€30.53m,4.29,3.39,1.96,4.5,3.25,1.9,4.425,0.219374109684803,1.998238446845056,0.049576069985266216,0.026836158192090398,0.25059097261117413,3.25,0.03535533905932725,1.9999146300616968,0.010878565864408385,0.005769230769230749,0.2500295963047226,1.8975,0.029474565306378927,1.9998253110861315,0.015533367750397327,0.008234519104084237,0.2500616654440959
G1,06/10/2019,Volos NFC,Atromitos,A,3.0,3.1,2.3,3.0,3.0,2.3,3.2,3.05,2.35,3.0,3.0,2.45,2019/20,€8.40m,€12.75m,3.39,2.92,2.48,2.6,3.0,2.9,3.05,0.08660254037844395,1.999424603097586,0.02839427553391605,0.012295081967212962,0.25018896447467875,3.0374999999999996,0.04145780987944252,1.9998659179747336,0.013648661688705358,0.007201646090534863,0.25004596030748916,2.35,0.061237243569579596,1.9995135413173217,0.02605840151897004,0.013297872340425565,0.2501628694428619
G1,06/10/2019,Asteras Tripolis,PAOK,A,5.5,3.4,1.61,5.75,3.8,1.62,5.1,3.65,1.67,5.5,3.7,1.62,2019/20,€11.20m,€53.55m,5.8,3.9,1.62,6.5,4.0,1.53,5.4625,0.2328492001274646,1.9986796806788116,0.04262685585857475,0.02231121281464521,0.2504751847092371,3.6374999999999997,0.14737282653189496,1.9988041879889744,0.04051486640052095,0.021477663230240696,0.25043563069792507,1.6300000000000001,0.023452078799117076,1.9998514131969694,0.014387778404366303,0.006901840490797673,0.250050233215551
G1,06/10/2019,OFI Crete,Panionios,H,1.5,3.75,6.5,1.57,3.9,6.5,1.57,3.75,6.3,1.53,3.6,7.0,2019/20,€9.78m,€7.13m,1.56,3.8,7.15,1.45,4.0,9.0,1.5425000000000002,0.029474565306379014,1.9997359844033422,0.019108308140278127,0.01012965964343615,0.2500925943334037,3.75,0.10606601717798207,1.9994227679976009,0.028284271247461888,0.015000000000000124,0.25020048064071754,6.575,0.25860201081971507,1.9988951791769356,0.039331104307180995,0.019961977186311763,0.25036445636764504
G1,06/10/2019,Aris,Olympiakos,A,5.5,4.0,1.53,5.75,4.2,1.57,6.0,3.95,1.55,5.8,4.33,1.5,2019/20,€11.73m,€82.58m,6.03,4.54,1.52,4.75,3.6,1.66,5.7625,0.17809758560968758,1.9993092934572418,0.03090630552879611,0.016811279826464354,0.2502425046410666,4.12,0.15313392831113554,1.99900584373856,0.037168429201731926,0.02032766990291268,0.2503402948595399,1.5374999999999999,0.025860201081971523,1.9997956345357892,0.01681964298014408,0.009349593495935116,0.2500713506211947
G1,07/10/2019,Lamia,Panetolikos,D,2.15,3.1,3.3,2.2,3.25,3.5,2.15,3.15,3.55,2.2,3.1,3.4,2019/20,€7.88m,€8.85m,2.18,3.18,3.74,2.25,3.1,3.1,2.175,0.025000000000000133,1.9999046950184836,0.01149425287356328,0.005747126436781658,0.25003302946228034,3.15,0.061237243569579415,1.999728790502628,0.019440394783993467,0.009920634920634885,0.25009158698146805,3.4375,0.09601432184835762,1.9994356565805271,0.02793143908315858,0.015454545454545388,0.2501983390429841
G1,19/10/2019,Olympiakos,OFI Crete,H,1.18,6.5,15.0,1.19,7.0,15.5,1.2,6.6,13.0,1.17,6.5,17.0,2019/20,€82.58m,€9.78m,1.16,6.82,17.55,1.2,6.0,11.0,1.185,0.011180339887498959,1.9999357861923035,0.00943488598101178,0.0052742616033756295,0.2500222580724719,6.65,0.20615528128088303,1.9993138687436531,0.031000794177576396,0.015037593984962516,0.2502257665048163,15.125,1.4306903927824497,1.9934750326098953,0.09459110034925287,0.051652892561983466,0.25240439534945447
G1,19/10/2019,Panetolikos,Larisa,D,2.2,3.2,3.4,2.15,3.1,3.8,2.2,3.0,3.6,2.15,3.1,3.6,2019/20,€8.85m,€13.43m,2.15,3.08,3.99,2.5,3.2,2.9,2.175,0.025000000000000133,1.9999046950184836,0.01149425287356328,0.005747126436781658,0.25003302946228034,3.1,0.07071067811865482,1.9996246239978286,0.022809896167308007,0.012096774193548487,0.25013027604430177,3.5999999999999996,0.14142135623730948,1.998886236044991,0.039283710065919304,0.02083333333333326,0.2503875931955596
G1,20/10/2019,Xanthi,Aris,A,3.1,3.2,2.3,3.4,2.8,2.5,3.3,3.0,2.35,3.3,2.88,2.38,2019/20,€9.38m,€11.73m,3.52,2.79,2.51,3.6,3.25,2.1,3.2750000000000004,0.10897247358851676,1.999195260299568,0.03327403773695168,0.01717557251908408,0.2502898467155783,2.9699999999999998,0.15066519173319376,1.998157300369203,0.05072902078558713,0.02777777777777768,0.2506158489808191,2.3825,0.07361215932167732,1.9993157271074307,0.030897023849602235,0.016526757607555176,0.25022984866462433
G1,20/10/2019,Panionios,Asteras Tripolis,A,2.5,3.2,2.87,2.7,3.2,2.7,2.7,3.05,2.7,2.62,3.1,2.7,2019/20,€7.13m,€11.20m,2.72,3.18,2.8,2.45,3.2,3.0,2.63,0.08185352771872458,1.9992960615586688,0.03112301434172037,0.016159695817490327,0.25025318188763823,3.1375,0.06495190528383303,1.999690371339926,0.020701802480902958,0.010956175298804771,0.2501081293894304,2.7424999999999997,0.07361215932167725,1.9994855300320942,0.026841261375269737,0.011622607110300942,0.2501694470047164
G1,20/10/2019,PAOK,Lamia,H,1.14,8.5,13.0,1.18,7.0,17.5,1.2,6.3,14.0,1.15,6.5,19.0,2019/20,€53.55m,€7.88m,1.15,7.2,19.36,1.14,8.5,13.0,1.1675,0.023848480035423662,1.9996993633261433,0.020426963627771876,0.01124197002141325,0.2501035707140101,7.075,0.8613216588476109,1.9896385121421418,0.12174157722227716,0.0627208480565371,0.25306794101906904,15.875,2.45903944661325,1.9826727057232574,0.1549001226213071,0.08464566929133865,0.25596317650305606
G1,20/10/2019,AEK,Volos NFC,H,1.2,7.0,11.0,1.25,6.25,11.5,1.25,5.8,11.5,1.2,5.5,17.0,2019/20,€30.53m,€8.40m,1.21,6.14,17.59,1.25,5.75,11.0,1.225,0.025000000000000022,1.999699542856517,0.020408163265306138,0.010204081632653184,0.25010412328196585,6.1375,0.5649944689994761,1.9939620618145564,0.09205612529523033,0.05040733197556002,0.2519709823543781,12.75,2.462214450449026,1.9747284577444888,0.19311485885874713,0.08823529411764697,0.2563096594662439
G1,20/10/2019,Atromitos,Panathinaikos,A,2.4,3.3,2.9,2.55,3.0,3.1,2.45,3.05,3.05,2.45,3.0,3.0,2019/20,€12.75m,€20.25m,2.53,3.05,3.15,2.4,3.3,2.87,2.4625,0.054486236794258354,1.9996484834236241,0.022126390576348572,0.011421319796954377,0.25011905550217356,3.0875000000000004,0.12437342963832743,1.9988455273659886,0.04028289219055139,0.019230769230769384,0.2503731745812119,3.0125,0.07395099728874524,1.9995636835775443,0.02454804889252954,0.013485477178423189,0.2501541022828865
G1,26/10/2019,OFI Crete,Xanthi,H,1.65,3.6,5.75,1.7,3.6,5.5,1.67,3.7,5.0,1.65,3.75,5.0,2019/20,€9.78m,€9.38m,1.64,3.71,6.0,1.5,4.0,7.0,1.6675,0.020463381929681144,1.9998916667952369,0.012271893211203085,0.0063718140929538425,0.25003702726643623,3.6624999999999996,0.06495190528383288,1.9997734037347858,0.01773430860992024,0.009385665529010323,0.2500780503638674,5.3125,0.3247595264191645,1.9973139432573919,0.0611312049730192,0.032352941176470695,0.25091253654522855
G1,26/10/2019,Volos NFC,PAOK,A,12.0,5.25,1.22,11.0,6.25,1.25,11.0,5.8,1.25,11.0,6.5,1.22,2019/20,€8.40m,€53.55m,11.93,6.79,1.22,9.5,6.5,1.18,11.25,0.4330127018922193,1.9989465758033484,0.03849001794597505,0.016666666666666607,0.2503395201448619,5.95,0.4756574397610112,1.9953378766142436,0.07994242685059012,0.04411764705882337,0.2517105514355172,1.2349999999999999,0.015000000000000013,1.9998935847610622,0.012145748987854263,0.006072874493927127,0.2500368798046191
G1,27/10/2019,Panathinaikos,Larisa,A,1.75,3.4,5.0,1.72,3.6,5.25,1.75,3.35,5.2,1.7,3.4,5.5,2019/20,€20.25m,€13.43m,1.72,3.49,5.69,1.75,3.4,5.25,1.73,0.021213203435596444,1.9998913980218618,0.012261967303812973,0.006502890173410325,0.25003788568922514,3.4375,0.09601432184835765,1.9994422728681553,0.02793143908315859,0.013636363636363669,0.250184764672021,5.2375,0.17809758560968758,1.999167537501735,0.03400431228824584,0.018496420047732887,0.25028599886002006
G1,27/10/2019,Atromitos,Panionios,H,1.55,3.75,6.25,1.57,3.8,5.5,1.6,3.65,6.2,1.55,3.5,7.0,2019/20,€12.75m,€7.13m,1.57,3.7,7.2,1.53,3.75,6.5,1.5675,0.020463381929681144,1.9998774248387583,0.013054789109844431,0.006778309409888328,0.2500418584707883,3.6750000000000003,0.11456439237389596,1.9992951448591791,0.03117398431942747,0.017006802721088343,0.2502510700138809,6.2375,0.5307718436390536,1.9947746247145328,0.08509368234694246,0.04559118236472948,0.2518277742184495
G1,27/10/2019,Aris,Panetolikos,H,1.5,4.1,6.5,1.48,4.4,7.0,1.47,4.15,6.9,1.47,4.2,6.5,2019/20,€11.73m,€8.85m,1.48,4.38,7.02,1.33,4.75,10.0,1.48,0.012247448713915901,1.999950711795575,0.008275303185078312,0.004222972972973027,0.25001689228261376,4.2125,0.11388041973930392,1.9994766413184293,0.027033927534552856,0.01409495548961437,0.2501749023365532,6.725,0.22776083947860754,1.9991730897033142,0.03386778282209778,0.017657992565055736,0.25028545890268045
G1,27/10/2019,Olympiakos,AEK,H,1.53,3.8,7.0,1.55,4.2,6.0,1.57,3.9,5.7,1.53,4.0,6.0,2019/20,€82.58m,€30.53m,1.55,4.1,6.3,1.55,3.8,7.0,1.5450000000000002,0.016583123951777013,1.9999170404327828,0.01073341356102072,0.005663430420712157,0.25002850265438603,3.975,0.14790199457749054,1.99900630372029,0.037208048950312086,0.020440251572327206,0.2503360921063647,6.175,0.49180788932264996,1.9955275009508306,0.07964500231945748,0.03947368421052633,0.25138313609467455
G1,28/10/2019,Asteras Tripolis,Lamia,H,1.85,3.4,4.33,1.87,3.4,4.6,1.87,3.25,4.55,1.83,3.25,4.6,2019/20,€11.20m,€7.88m,1.83,3.4,4.94,1.5,4.0,7.5,1.8550000000000002,0.016583123951777013,1.999942265300758,0.008939689461874399,0.004716981132075526,0.25002015880525297,3.325,0.07499999999999996,1.9996329539081623,0.022556390977443594,0.011278195488721776,0.2501271976934818,4.52,0.1115795680221068,1.9995565380182554,0.024685745137634253,0.011891592920354022,0.2501605655968496
G1,02/11/2019,Panionios,Aris,D,4.33,3.5,1.85,4.33,3.5,1.87,4.3,3.35,1.87,4.2,3.4,1.85,2019/20,€7.13m,€11.73m,4.32,3.52,1.91,3.8,3.6,1.95,4.29,0.0533853912601565,1.9998878312661055,0.012444147146889626,0.006118881118881259,0.25003968569809765,3.4375,0.06495190528383288,1.999742094455698,0.0188950997189332,0.010000000000000009,0.25009000491670463,1.86,0.010000000000000009,1.9999791492948436,0.00537634408602151,0.0026881720430107503,0.2500072262689329
G1,02/11/2019,Xanthi,Olympiakos,D,11.0,4.2,1.36,9.5,4.1,1.42,8.6,4.35,1.4,9.5,4.2,1.38,2019/20,€9.38m,€82.58m,10.3,3.98,1.43,10.0,4.0,1.4,9.65,0.8616843969807044,1.9943199829287719,0.08929371989437351,0.04663212435233155,0.25186034913850724,4.2125,0.08926785535678558,1.9996769605754672,0.021191182280542568,0.011127596439169274,0.25011046171039863,1.3900000000000001,0.022360679774997845,1.999813312314526,0.016086819982012838,0.008992805755395628,0.2500647286037908
G1,03/11/2019,Larisa,OFI Crete,H,2.5,3.2,2.8,2.6,3.1,2.9,2.65,3.15,2.7,2.6,3.1,2.75,2019/20,€13.43m,€9.78m,2.75,2.98,2.94,2.2,3.3,3.3,2.5875,0.0544862367942584,1.9996786277058018,0.021057482819037063,0.010869565217391353,0.25011406395133884,3.1375,0.04145780987944252,1.9998743202118585,0.013213644583089247,0.006972111553784854,0.25004309505835304,2.7874999999999996,0.0739509972887451,1.9994941478426873,0.026529505753809905,0.014573991031390232,0.25017220276817687
