Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
F1,19/10/2013,Ajaccio,Nantes,A,3.1,3.1,2.38,3.0,3.2,2.4,2.75,3.2,2.5,2.9,3.1,2.5,2013/14,€28.30m,€39.55m,2.9375,0.12930100540985756,1.9985965680894557,0.044017363543781295,0.024468085106382986,0.25049694149618973,3.1500000000000004,0.050000000000000044,1.999818246960343,0.015873015873015886,0.007936507936507908,0.2500629881582263,2.445,0.05545268253204713,1.9996287807759776,0.022680033755438502,0.011758691206543936,0.2501288913504725,A
F1,19/10/2013,Evian Thonon Gaillard,Guingamp,A,2.25,3.2,3.25,2.4,3.2,3.0,2.3,3.1,3.1,2.5,3.1,2.9,2013/14,€35.00m,€21.43m,2.3625,0.09601432184835762,1.9988125361956248,0.04064098279295561,0.022486772486772333,0.2504047261637473,3.15,0.050000000000000044,1.999818246960343,0.015873015873015886,0.007936507936507908,0.2500629881582263,3.0625,0.12930100540985756,1.9987178877995253,0.04222073646036165,0.02346938775510199,0.25043820380283477,H
F1,19/10/2013,Montpellier,Lille,A,2.88,3.2,2.5,3.0,3.1,2.45,2.7,3.2,2.5,2.75,3.2,2.6,2013/14,€52.35m,€74.10m,2.8324999999999996,0.11691342951089916,1.9987756002943193,0.04127570326951427,0.022727272727272707,0.25041648515476855,3.175,0.043301270189221974,1.9998651149454483,0.013638195335188024,0.0059055118110236116,0.25004800000000005,2.5125,0.0544862367942584,1.9996623046990556,0.021686064395724736,0.011194029850746245,0.25011442441633447,A
F1,19/10/2013,Paris SG,Bastia,H,1.2,6.0,15.0,1.2,6.25,13.5,1.2,5.8,13.0,1.25,5.5,12.0,2013/14,€402.30m,€35.60m,1.2125,0.021650635094610987,1.9997715556274227,0.017856193892462673,0.0077319587628865705,0.25007652280379555,5.8875,0.2747157621979489,1.998425561760779,0.046660851328738664,0.026008492569002062,0.25055304646798404,13.375,1.0825317547305484,1.995306116161471,0.0809369536247139,0.04439252336448596,0.2515805408969647,H
F1,19/10/2013,Stade Rennais FC,Valenciennes,D,1.8,3.4,4.75,1.8,3.5,4.4,1.7,3.5,4.85,1.91,3.4,4.0,2013/14,€92.60m,€36.65m,1.8025,0.07428828979051812,1.9987757266653439,0.041214030396958735,0.021844660194174637,0.2504232781939322,3.45,0.050000000000000044,1.9998484829291057,0.014492753623188418,0.007246376811594457,0.25005250997689565,4.5,0.3335416016031582,1.9959862671222788,0.07412035591181293,0.04027777777777786,0.2514822033408546,H
F1,20/10/2013,Lyon,Bordeaux,D,2.1,3.3,3.5,2.1,3.2,3.6,2.0,3.3,3.6,2.15,3.2,3.5,2013/14,€108.50m,€62.70m,2.0875,0.0544862367942584,1.9995056591740492,0.02610119127868666,0.013473053892215647,0.2501765080777618,3.25,0.04999999999999982,1.9998292601233938,0.01538461538461533,0.007692307692307887,0.2500591715976332,3.55,0.050000000000000044,1.999856899152611,0.014084507042253534,0.007042253521126751,0.2500495933346558,H
F1,20/10/2013,Sochaux,Monaco,D,8.0,4.0,1.44,9.25,3.9,1.42,6.3,3.9,1.5,8.0,4.0,1.44,2013/14,€47.45m,€242.55m,7.8875,1.049032292162639,1.986979822683875,0.13299933973535835,0.07012678288431062,0.25506202729296484,3.95,0.050000000000000044,1.9998844148717585,0.012658227848101276,0.006329113924050889,0.25004005768306364,1.45,0.030000000000000027,1.9996930642228092,0.020689655172413814,0.010344827586207028,0.2501032377795368,A
F1,20/10/2013,St Etienne,Lorient,H,1.6,3.75,5.75,1.6,3.7,6.0,1.6,3.6,5.6,1.67,3.75,5.0,2013/14,€105.40m,€57.15m,1.6175000000000002,0.030310889132455283,1.999748482534856,0.01873934413134793,0.00811437403400328,0.25008411131531794,3.6999999999999997,0.061237243569579415,1.9998014982817507,0.0165506063701566,0.008445945945946054,0.25007038913023705,5.5875,0.3680607966083864,1.996820959484102,0.06587217836391702,0.03523489932885915,0.25119241163155803,H
F1,25/10/2013,Nantes,Lille,A,2.8,3.1,2.63,2.8,3.1,2.6,2.6,3.2,2.6,2.9,3.0,2.62,2013/14,€39.55m,€74.10m,2.775,0.10897247358851676,1.9988775135069186,0.039269359851717756,0.020270270270270396,0.25040730637016834,3.0999999999999996,0.07071067811865482,1.9996246239978281,0.02280989616730801,0.012096774193548487,0.2501302760443017,2.6125000000000003,0.012990381056766516,1.999982171119935,0.004972394662877135,0.002631578947368318,0.2500061681601605,A
F1,26/10/2013,Bastia,Nice,H,2.38,3.1,3.1,2.55,2.95,3.0,2.5,3.1,2.8,2.5,3.0,3.0,2013/14,€35.60m,€56.10m,2.4825,0.06259992012774457,1.9995382293840207,0.025216483435143836,0.01283987915407847,0.2501655220572931,3.0375,0.06495190528383288,1.9996696306147017,0.021383343303319466,0.011316872427983515,0.25011540240934477,2.9749999999999996,0.10897247358851693,1.999023988718724,0.03662940288689645,0.01890756302521024,0.2503529927832948,H
