Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
P1,18/12/2004,Sp Braga,Boavista,H,2.37,3.1,2.62,2.3,3.2,2.75,2.3,2.8,2.9,2.3,3.1,2.7,2004/5,€33.05m,€29.10m,2.3175,0.030310889132455478,1.9998772167155994,0.01307913231173915,0.005663430420711935,0.25004150286680343,3.05,0.15000000000000013,1.9982282468940409,0.04918032786885251,0.024590163934426146,0.25066311247179296,2.7425,0.10207227831296793,1.9990061321678483,0.037218697652859775,0.02028258887876011,0.2503355504263956,H
P1,19/12/2004,Academica,Beira Mar,D,2.0,3.2,3.2,2.3,3.2,2.75,1.9,3.1,3.5,2.0,3.2,3.2,2004/5,€13.73m,€8.10m,2.05,0.14999999999999997,1.9962145468103534,0.07317073170731707,0.03658536585365857,0.2511876250086799,3.1750000000000003,0.043301270189221974,1.9998651149454485,0.013638195335188022,0.0059055118110236116,0.25004800000000005,3.1625,0.2678035660703569,1.994754067065836,0.08468096950841324,0.04446640316205541,0.2519607286299647,H
P1,19/12/2004,Gil Vicente,Estoril,H,1.8,3.3,3.75,1.8,3.4,3.8,1.85,3.1,3.6,1.8,3.3,3.75,2004/5,€8.20m,€6.63m,1.8125,0.021650635094610987,1.9998975404698252,0.011945177983233649,0.005172413793103292,0.2500347077606553,3.275,0.10897247358851676,1.999195260299568,0.03327403773695169,0.01717557251908408,0.2502898467155783,3.725,0.07499999999999991,1.999705786569742,0.02013422818791944,0.010067114093959662,0.2501051245359036,H
P1,19/12/2004,Maritimo,Rio Ave,D,1.8,3.2,4.0,1.85,3.35,3.65,1.85,3.1,3.6,1.8,3.3,3.75,2004/5,€21.20m,€11.10m,1.8250000000000002,0.025000000000000022,1.9998646331239298,0.013698630136986313,0.006849315068493178,0.25004691311690747,3.2375000000000003,0.09601432184835755,1.999363658797307,0.029656933389454066,0.01640926640926632,0.2502238512417124,3.75,0.1541103500742244,1.9987938828949883,0.04109609335312651,0.021666666666666723,0.2503975815623081,H
P1,19/12/2004,Nacional,Belenenses,H,2.1,3.0,3.2,2.25,3.2,2.8,2.3,2.8,2.9,2.2,3.1,2.9,2004/5,€10.25m,€24.35m,2.2125,0.0739509972887451,1.9991899439236362,0.03342417956553451,0.01836158192090398,0.2502882264751697,3.0250000000000004,0.14790199457749054,1.9982620694410276,0.04889322134793075,0.026859504132231482,0.2506268410711502,2.95,0.15000000000000013,1.9981613922854675,0.05084745762711869,0.025423728813559254,0.25059350587221313,H
P1,19/12/2004,Setubal,Leiria,D,2.0,3.1,3.3,2.1,2.95,3.35,2.1,2.8,3.3,2.1,3.1,3.1,2004/5,€9.58m,€17.83m,2.0749999999999997,0.043301270189221974,1.9996832923974168,0.020868082018902157,0.009036144578313143,0.25011431184270694,2.9875,0.12437342963832759,1.998740623731598,0.04163127351910547,0.021966527196652708,0.25045259261031705,3.2625,0.09601432184835755,1.999368943849682,0.029429677194898866,0.014367816091953811,0.2502299069639219,H
P1,20/12/2004,Guimaraes,Sp Lisbon,A,3.3,3.1,2.0,3.1,3.2,2.1,3.2,3.1,2.0,3.2,3.2,2.0,2004/5,€20.40m,€89.40m,3.2,0.07071067811865465,1.9996477221810776,0.022097086912079577,0.01171875,0.25012224927205307,3.15,0.050000000000000044,1.999818246960343,0.015873015873015886,0.007936507936507908,0.2500629881582263,2.025,0.04330127018922197,1.9996728229883816,0.02138334330331949,0.009259259259259078,0.2501088692117869,A
P1,22/12/2004,Maritimo,Porto,D,3.2,3.2,2.0,3.5,3.2,1.95,3.3,3.0,2.0,3.3,3.1,2.0,2004/5,€21.20m,€158.15m,3.325,0.1089724735885168,1.9992304244430563,0.0327736762672231,0.016917293233082775,0.25025797014557427,3.125,0.08291561975888508,1.9994898567400974,0.026532998322843223,0.014000000000000012,0.2501808504430148,1.9875,0.021650635094610984,1.999914037535229,0.010893401305464645,0.004716981132075526,0.25003042719785795,A
P1,07/01/2005,Estoril,Setubal,H,2.3,3.1,2.7,2.3,3.2,2.75,2.2,2.9,3.0,2.3,3.1,2.75,2004/5,€6.63m,€9.58m,2.275,0.04330127018922178,1.9997367217596365,0.019033525357899685,0.008241758241758212,0.25009468501451837,3.075,0.10897247358851693,1.9990866996263468,0.035438202793013636,0.018292682926829285,0.2503298252871491,2.8,0.1172603939955857,1.9987525589279123,0.04187871214128061,0.020089285714285587,0.2504027681660899,H
P1,08/01/2005,Boavista,Guimaraes,H,1.57,3.25,5.5,1.5,3.65,5.8,1.6,3.4,4.6,1.66,3.3,4.5,2004/5,€29.10m,€20.40m,1.5825,0.05760859310901454,1.9990422550903717,0.036403534350088175,0.020142180094786744,0.25033538863591986,3.4,0.1541103500742244,1.9985342172511784,0.04532657355124248,0.023897058823529438,0.25048082773018815,5.1,0.5612486080160912,1.9912737670954497,0.11004874666982181,0.05882352941176472,0.2529806732258643,H
