Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
N1,11/09/2004,PSV Eindhoven,Waalwijk,H,1.25,5.0,8.0,1.25,5.25,8.0,1.2,5.0,10.0,1.22,5.0,9.5,2004/5,€86.85m,€19.33m,1.23,0.021213203435596444,1.999785038222947,0.017246506858208492,0.009146341463414531,0.25007519426278,5.0625,0.10825317547305482,1.9996728229883816,0.021383343303319473,0.0092592592592593,0.2501088692117869,8.875,0.8926785535678563,1.9927163497416487,0.10058349899356127,0.052816901408450745,0.25248087139563635,H
N1,11/09/2004,Roosendaal,Vitesse,H,2.375,3.1,2.625,2.35,3.25,2.65,2.3,3.0,2.7,2.3,3.25,2.6,2004/5,€10.70m,€21.40m,2.33125,0.03247595264191655,1.9998601452857252,0.013930703546130425,0.007372654155495928,0.25004823483802163,3.15,0.10606601717798213,1.999179039872153,0.03367175148507369,0.017857142857143016,0.2502898573423542,2.64375,0.03697549864437264,1.9998591759119824,0.01398600421536554,0.0076832151300236795,0.250048331492022,H
N1,11/09/2004,Willem II,Roda,H,2.25,3.2,2.75,2.2,3.25,2.85,2.2,3.0,2.9,2.3,3.25,2.6,2004/5,€13.98m,€20.93m,2.2375,0.04145780987944235,1.9997530859036974,0.01852863011371725,0.009776536312849027,0.25008431243510715,3.175,0.10307764064044153,1.9992309409839368,0.03246539862691072,0.015748031496062964,0.25028214198644105,2.775,0.11456439237389596,1.9987614604402748,0.04128446572032287,0.022522522522522515,0.2504453956188571,H
N1,12/09/2004,Den Haag,Ajax,D,5.5,3.6,1.5,5.55,3.75,1.5,5.0,3.7,1.5,6.0,3.75,1.44,2004/5,€9.92m,€114.50m,5.5125,0.35421568288261884,1.997010763691151,0.06425681322133675,0.03458049886621306,0.2510591250820257,3.7,0.061237243569579415,1.9998014982817507,0.0165506063701566,0.008445945945946054,0.25007038913023716,1.4849999999999999,0.025980762113533184,1.999777688257265,0.01749546270271595,0.007575757575757569,0.2500797109150813,A
N1,12/09/2004,Feyenoord,Twente,H,1.3,4.5,7.5,1.25,5.25,8.0,1.3,4.2,8.0,1.3,4.33,8.0,2004/5,€66.43m,€13.25m,1.2874999999999999,0.021650635094610987,1.999794675150468,0.016816027257950283,0.007281553398058138,0.25007352220370554,4.57,0.4067554547882547,1.994427569481106,0.08900556997554807,0.04540481400437635,0.251701820379412,7.875,0.21650635094610965,1.9994488293074122,0.02749286996141075,0.011904761904761862,0.25020155872077404,H
N1,12/09/2004,Groningen,NAC Breda,A,2.25,3.2,2.75,2.3,3.25,2.7,2.3,2.9,2.8,2.25,3.25,2.7,2004/5,€12.95m,€17.45m,2.275,0.02499999999999991,1.999912889501356,0.01098901098901095,0.005494505494505475,0.25003018959062906,3.15,0.14577379737113255,1.9984278861542881,0.04627739599083573,0.021825396825396748,0.25059411148597327,2.7375,0.04145780987944235,1.9998349586297735,0.015144405435412732,0.007990867579908523,0.25005650565967785,H
N1,12/09/2004,Utrecht,Nijmegen,H,1.727,3.4,4.0,1.8,3.4,3.8,1.8,3.1,3.8,1.7,3.4,4.2,2004/5,€20.30m,€16.88m,1.75675,0.044290941511780965,1.9995409020446184,0.025211863675412532,0.013270243347089705,0.25016005616876036,3.3249999999999997,0.12990381056766573,1.9988817179859433,0.03906881520832052,0.016917293233082775,0.2504185008370018,3.95,0.16583123951777015,1.9987367825194138,0.041982592282979785,0.022151898734177333,0.2504237625998556,H
N1,17/09/2004,Den Haag,Vitesse,A,2.5,3.1,2.5,2.25,3.3,2.75,2.2,3.0,2.9,2.25,3.2,2.75,2004/5,€9.92m,€21.40m,2.3,0.1172603939955857,1.9981566333480565,0.05098277999808074,0.024456521739130377,0.25058642344136234,3.1500000000000004,0.11180339887498944,1.9990909597770783,0.03549314249999665,0.019841269841269993,0.25031570415490595,2.725,0.14361406616345068,1.997976638107899,0.052702409601266306,0.02752293577981657,0.25073787833496336,H
N1,18/09/2004,Graafschap,Groningen,D,2.25,3.2,2.75,2.15,3.3,2.9,2.3,3.0,2.7,2.2,3.25,2.75,2004/5,€12.28m,€12.95m,2.225,0.05590169943749469,1.9995445827321883,0.025124359297750424,0.014044943820224587,0.2501579998176322,3.1875,0.1138804197393037,1.9990696899529026,0.035727190506448216,0.018627450980392313,0.25033951522789333,2.7750000000000004,0.07499999999999991,1.9994771667017321,0.027027027027026994,0.013513513513513375,0.25017429862812524,H
N1,18/09/2004,Heerenveen,NAC Breda,H,1.83,3.2,3.75,1.9,3.4,3.4,1.8,3.1,3.8,1.85,3.3,3.6,2004/5,€31.20m,€17.45m,1.845,0.036400549446402544,1.9997198739144353,0.019729295092901108,0.010840108401084292,0.2500959784474186,3.2499999999999996,0.11180339887498938,1.999146057925888,0.034401045807689046,0.019230769230769384,0.25029653156166315,3.6375,0.15562374497485915,1.9986692737750429,0.04278316013054547,0.02319587628865971,0.25047960706967776,H
