Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Poland,Ekstraklasa,2020/2021,25/10/2020,16:30,Lech Poznan,Cracovia,1,1,D,1.6,4.27,5.78,1.65,4.32,6.0,1.57,4.13,5.22
Poland,Ekstraklasa,2020/2021,26/10/2020,17:00,Warta Poznan,Gornik Z.,0,1,A,3.62,3.35,2.21,3.62,3.45,2.26,3.37,3.26,2.15
Poland,Ekstraklasa,2020/2021,28/10/2020,17:00,Wisla,Lechia Gdansk,1,3,A,2.78,3.44,2.65,2.83,3.52,2.65,2.69,3.32,2.54
Poland,Ekstraklasa,2020/2021,30/10/2020,17:00,Pogon Szczecin,Jagiellonia,3,0,H,2.21,3.29,3.68,2.26,3.4,3.68,2.13,3.24,3.46
Poland,Ekstraklasa,2020/2021,02/11/2020,17:00,Warta Poznan,Legia,0,3,A,8.57,4.49,1.44,8.72,4.5,1.52,7.53,4.2,1.44
Poland,Ekstraklasa,2020/2021,07/11/2020,14:00,Stal Mielec,Warta Poznan,0,1,A,2.7,3.22,2.88,2.7,3.3,2.93,2.6,3.13,2.73
Poland,Ekstraklasa,2020/2021,07/11/2020,16:30,Cracovia,Jagiellonia,3,1,H,2.25,3.38,3.48,2.3,3.45,3.5,2.18,3.28,3.29
Poland,Ekstraklasa,2020/2021,07/11/2020,19:00,Slask Wroclaw,Gornik Z.,0,0,D,2.36,3.53,3.12,2.4,3.64,3.14,2.29,3.44,2.93
Poland,Ekstraklasa,2020/2021,08/11/2020,14:00,Legia,Lech Poznan,2,1,H,2.6,3.57,2.75,2.6,3.64,2.85,2.46,3.46,2.67
Poland,Ekstraklasa,2020/2021,08/11/2020,16:30,Rakow,Wisla,0,0,D,1.6,4.18,5.98,1.63,4.4,6.0,1.57,4.09,5.35
Poland,Ekstraklasa,2020/2021,09/11/2020,17:00,Pogon Szczecin,Podbeskidzie,1,1,D,1.48,4.53,7.49,1.52,4.81,8.9,1.44,4.43,6.86
Poland,Ekstraklasa,2020/2021,20/11/2020,17:00,Lechia Gdansk,Slask Wroclaw,3,2,H,2.47,3.54,2.94,2.51,3.6,3.29,2.34,3.37,2.89
Poland,Ekstraklasa,2020/2021,20/11/2020,19:30,Gornik Z.,Piast Gliwice,1,2,A,3.29,3.33,2.36,3.4,3.44,2.36,3.17,3.24,2.25
Poland,Ekstraklasa,2020/2021,21/11/2020,16:30,Zaglebie,Stal Mielec,2,2,D,1.66,4.54,4.82,1.77,4.54,5.25,1.64,4.1,4.73
Poland,Ekstraklasa,2020/2021,21/11/2020,19:00,Warta Poznan,Wisla,2,1,H,3.52,3.27,2.28,3.52,3.3,2.44,3.31,3.14,2.24
Poland,Ekstraklasa,2020/2021,22/11/2020,11:30,Lech Poznan,Rakow,3,3,D,2.04,3.85,3.58,2.09,3.88,3.58,2.02,3.61,3.35
Poland,Ekstraklasa,2020/2021,22/11/2020,16:30,Cracovia,Legia,0,1,A,4.92,4.05,1.72,5.05,4.05,1.81,4.72,3.74,1.7
Poland,Ekstraklasa,2020/2021,23/11/2020,17:00,Piast Gliwice,Lechia Gdansk,2,0,H,2.19,3.59,3.41,2.25,3.6,3.5,2.14,3.39,3.26
Poland,Ekstraklasa,2020/2021,23/11/2020,19:30,Jagiellonia,Wisla Plock,5,2,H,2.76,3.41,2.68,2.79,3.41,2.8,2.62,3.25,2.63
Poland,Ekstraklasa,2020/2021,24/11/2020,17:00,Podbeskidzie,Zaglebie,2,1,H,3.83,3.63,2.03,3.9,3.8,2.11,3.61,3.54,1.96
Poland,Ekstraklasa,2020/2021,27/11/2020,17:00,Wisla Plock,Cracovia,0,1,A,3.18,3.14,2.53,3.28,3.2,2.62,2.97,3.08,2.46
Poland,Ekstraklasa,2020/2021,27/11/2020,19:30,Gornik Z.,Pogon Szczecin,2,1,H,2.38,3.29,3.29,2.59,3.3,3.32,2.35,3.12,3.1
Poland,Ekstraklasa,2020/2021,28/11/2020,14:00,Stal Mielec,Jagiellonia,3,1,H,2.62,3.57,2.74,2.79,3.57,2.81,2.56,3.37,2.62
Poland,Ekstraklasa,2020/2021,28/11/2020,16:30,Podbeskidzie,Slask Wroclaw,0,2,A,3.77,3.78,2.0,4.0,3.78,2.04,3.64,3.5,1.97
Poland,Ekstraklasa,2020/2021,28/11/2020,19:00,Wisla,Zaglebie,1,2,A,2.47,3.59,2.9,2.55,3.61,2.95,2.43,3.37,2.78
Poland,Ekstraklasa,2020/2021,29/11/2020,14:00,Rakow,Warta Poznan,1,0,H,1.46,4.5,8.02,1.48,4.5,8.02,1.44,4.34,7.04
Poland,Ekstraklasa,2020/2021,29/11/2020,16:30,Legia,Piast Gliwice,2,2,D,1.65,3.91,5.86,1.69,3.92,5.86,1.65,3.71,5.22
Poland,Ekstraklasa,2020/2021,30/11/2020,17:00,Lechia Gdansk,Lech Poznan,0,1,A,3.18,3.94,2.18,3.22,3.94,2.2,3.03,3.74,2.12
Poland,Ekstraklasa,2020/2021,02/12/2020,17:00,Wisla Plock,Pogon Szczecin,0,0,D,3.56,3.23,2.28,3.75,3.23,2.37,3.43,3.08,2.21
Poland,Ekstraklasa,2020/2021,04/12/2020,19:30,Cracovia,Wisla,1,1,D,2.58,3.26,3.01,2.61,3.48,3.01,2.5,3.22,2.8
Poland,Ekstraklasa,2020/2021,05/12/2020,14:00,Jagiellonia,Warta Poznan,4,3,H,2.1,3.39,3.89,2.18,3.46,4.01,2.05,3.27,3.64
Poland,Ekstraklasa,2020/2021,05/12/2020,16:30,Slask Wroclaw,Rakow,1,0,H,4.37,4.08,1.8,4.55,4.12,1.9,4.1,3.71,1.79
Poland,Ekstraklasa,2020/2021,05/12/2020,19:00,Legia,Lechia Gdansk,2,0,H,1.56,4.25,6.45,1.6,4.26,6.5,1.54,4.0,5.82
Poland,Ekstraklasa,2020/2021,06/12/2020,14:00,Piast Gliwice,Zaglebie,1,1,D,1.92,3.81,4.09,2.03,3.82,4.12,1.92,3.48,3.83
Poland,Ekstraklasa,2020/2021,06/12/2020,16:30,Lech Poznan,Podbeskidzie,4,0,H,1.28,6.13,10.3,1.3,6.25,11.25,1.26,5.89,9.72
Poland,Ekstraklasa,2020/2021,07/12/2020,17:00,Pogon Szczecin,Stal Mielec,2,0,H,1.87,3.54,4.7,1.96,3.65,4.75,1.85,3.42,4.24
Poland,Ekstraklasa,2020/2021,07/12/2020,19:30,Wisla Plock,Gornik Z.,0,1,A,3.64,3.42,2.17,3.64,3.49,2.3,3.41,3.32,2.11
Poland,Ekstraklasa,2020/2021,11/12/2020,17:00,Podbeskidzie,Piast Gliwice,0,5,A,4.28,3.73,1.89,4.33,3.78,1.98,4.06,3.59,1.84
Poland,Ekstraklasa,2020/2021,11/12/2020,19:30,Zaglebie,Slask Wroclaw,2,1,H,2.81,3.4,2.65,2.88,3.46,2.8,2.67,3.28,2.56
Poland,Ekstraklasa,2020/2021,12/12/2020,14:00,Warta Poznan,Pogon Szczecin,1,2,A,3.8,3.1,2.26,3.8,3.13,2.28,3.53,3.02,2.19
Poland,Ekstraklasa,2020/2021,12/12/2020,16:30,Gornik Z.,Cracovia,0,2,A,2.28,3.43,3.35,2.36,3.43,3.4,2.23,3.25,3.2
Poland,Ekstraklasa,2020/2021,12/12/2020,19:00,Wisla,Legia,1,2,A,5.35,3.84,1.71,5.35,4.0,1.75,4.93,3.69,1.68
Poland,Ekstraklasa,2020/2021,13/12/2020,14:00,Stal Mielec,Lech Poznan,1,1,D,7.08,4.92,1.45,7.5,4.96,1.49,6.52,4.62,1.43
Poland,Ekstraklasa,2020/2021,13/12/2020,16:30,Rakow,Jagiellonia,3,2,H,1.51,4.61,6.63,1.55,4.68,6.63,1.49,4.34,5.96
Poland,Ekstraklasa,2020/2021,14/12/2020,17:00,Lechia Gdansk,Wisla Plock,0,1,A,2.11,3.46,3.77,2.14,3.5,3.85,2.05,3.34,3.55
Poland,Ekstraklasa,2020/2021,16/12/2020,19:30,Lech Poznan,Pogon Szczecin,0,4,A,1.78,3.92,4.71,1.81,4.0,4.71,1.77,3.69,4.28
Poland,Ekstraklasa,2020/2021,17/12/2020,17:00,Slask Wroclaw,Warta Poznan,2,1,H,2.19,3.45,3.55,2.19,3.6,3.61,2.1,3.33,3.43
Poland,Ekstraklasa,2020/2021,18/12/2020,17:00,Wisla Plock,Podbeskidzie,4,1,H,2.03,3.52,3.96,2.08,3.6,4.06,1.97,3.37,3.78
Poland,Ekstraklasa,2020/2021,18/12/2020,19:30,Legia,Stal Mielec,2,3,A,1.32,5.65,10.04,1.36,5.85,10.04,1.31,5.32,8.52
Poland,Ekstraklasa,2020/2021,19/12/2020,14:00,Pogon Szczecin,Zaglebie,1,0,H,2.0,3.56,4.05,2.16,3.7,4.07,1.95,3.41,3.82
Poland,Ekstraklasa,2020/2021,19/12/2020,16:30,Cracovia,Lechia Gdansk,0,3,A,2.51,3.47,2.94,2.56,3.47,3.35,2.42,3.3,2.85
Poland,Ekstraklasa,2020/2021,19/12/2020,19:00,Lech Poznan,Wisla,0,1,A,1.68,4.19,5.11,1.74,4.3,5.69,1.63,4.04,4.84
Poland,Ekstraklasa,2020/2021,20/12/2020,14:00,Piast Gliwice,Rakow,0,0,D,3.13,3.45,2.39,3.16,3.47,2.49,2.97,3.3,2.33
Poland,Ekstraklasa,2020/2021,20/12/2020,16:30,Jagiellonia,Gornik Z.,1,0,H,3.1,3.59,2.35,3.2,3.65,2.51,3.0,3.37,2.28
