Season,Date,PSCH,PSCD,PSCA
2012/13,04/05/2013,3.44,3.23,2.36
2012/13,04/05/2013,1.54,4.08,7.61
2012/13,05/05/2013,1.38,4.94,10.36
2012/13,05/05/2013,1.82,3.65,5.0
2012/13,06/05/2013,2.18,3.44,3.62
2012/13,10/05/2013,3.09,3.36,2.48
2012/13,10/05/2013,1.38,4.7,11.57
2012/13,11/05/2013,2.34,3.13,3.6
2012/13,11/05/2013,2.09,3.18,4.3
2012/13,11/05/2013,6.27,3.91,1.64
2012/13,12/05/2013,2.62,3.03,3.19
2012/13,12/05/2013,2.38,2.94,3.77
2012/13,13/05/2013,1.98,3.41,4.4
2012/13,17/05/2013,2.04,3.45,4.0
2012/13,17/05/2013,2.14,3.41,3.78
2012/13,18/05/2013,2.16,3.31,3.87
2012/13,18/05/2013,2.65,3.25,2.95
2012/13,18/05/2013,1.85,3.56,4.95
2012/13,19/05/2013,2.91,3.27,2.67
2012/13,19/05/2013,1.86,3.49,5.0
2012/13,20/05/2013,2.43,2.9,3.46
2012/13,23/05/2013,2.14,3.25,3.85
2012/13,24/05/2013,2.23,3.31,3.64
2012/13,24/05/2013,7.35,4.0,1.56
2012/13,25/05/2013,2.43,3.24,3.22
2012/13,25/05/2013,1.38,4.92,9.42
2012/13,26/05/2013,2.57,3.12,3.18
2012/13,26/05/2013,3.95,3.61,2.02
2012/13,27/05/2013,2.12,3.43,3.7
2012/13,30/05/2013,2.16,3.14,4.07
2012/13,30/05/2013,1.97,3.58,4.19
2012/13,30/05/2013,2.66,3.34,2.85
2012/13,30/05/2013,3.85,3.5,2.06
2012/13,30/05/2013,2.08,3.52,3.84
2012/13,30/05/2013,1.99,3.61,4.08
2012/13,30/05/2013,1.63,3.93,6.38
2012/13,30/05/2013,2.34,3.22,3.45
2012/13,02/06/2013,2.49,3.35,3.08
2012/13,02/06/2013,1.53,4.34,7.08
2012/13,02/06/2013,2.16,3.37,3.75
2012/13,02/06/2013,1.83,3.79,4.61
2012/13,02/06/2013,2.5,3.41,3.02
2012/13,02/06/2013,1.7,3.89,5.56
2012/13,02/06/2013,3.86,3.46,2.1
2012/13,02/06/2013,1.85,3.7,4.68
2013/14,19/07/2013,1.83,3.67,4.87
2013/14,19/07/2013,2.36,3.16,3.51
2013/14,20/07/2013,2.19,3.3,3.73
2013/14,20/07/2013,1.33,5.22,11.35
2013/14,21/07/2013,2.43,3.31,3.21
2013/14,21/07/2013,2.74,3.21,2.85
2013/14,21/07/2013,4.67,3.5,1.9
2013/14,22/07/2013,1.97,3.5,4.28
2013/14,26/07/2013,2.35,3.39,3.28
2013/14,26/07/2013,2.61,3.29,2.94
2013/14,27/07/2013,3.09,3.17,2.6
2013/14,27/07/2013,5.69,3.76,1.71
2013/14,28/07/2013,2.31,3.23,3.52
2013/14,28/07/2013,1.82,3.67,4.9
2013/14,28/07/2013,1.38,4.95,10.15
2013/14,29/07/2013,2.31,3.23,3.5
2013/14,02/08/2013,2.54,3.33,3.02
2013/14,02/08/2013,2.2,3.32,3.68
2013/14,03/08/2013,3.04,3.23,2.56
2013/14,03/08/2013,1.31,5.68,12.02
2013/14,04/08/2013,2.06,3.42,4.04
2013/14,04/08/2013,2.09,3.47,3.87
2013/14,04/08/2013,3.66,3.33,2.21
2013/14,05/08/2013,2.2,3.41,3.58
2013/14,09/08/2013,2.96,3.36,2.57
2013/14,09/08/2013,2.11,3.4,3.9
2013/14,10/08/2013,3.69,3.38,2.18
2013/14,10/08/2013,1.97,3.48,4.34
2013/14,10/08/2013,7.05,4.26,1.54
2013/14,11/08/2013,2.95,3.3,2.61
2013/14,11/08/2013,1.56,3.94,7.74
2013/14,12/08/2013,2.06,3.44,4.01
2013/14,23/08/2013,2.02,3.43,4.24
