Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
B1,10/09/2005,Anderlecht,Mouscron,3.0,1.0,H,1.0,1.0,1.16,6.0,10.0,1.15,6.5,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.5,9.0,2005/6,€71.95m,€14.65m,1.2,5.5,9.0
B1,10/09/2005,Charleroi,Roeselare,1.0,1.0,D,1.0,1.0,1.53,3.5,5.5,1.45,3.75,6.5,1.45,3.8,5.4,1.4,3.75,7.0,1.5,3.6,5.5,2005/6,€15.10m,€9.28m,1.5,3.6,5.5
B1,10/09/2005,Club Brugge,St Truiden,2.0,1.0,H,1.0,1.0,1.16,5.5,12.0,1.15,6.5,11.0,1.2,5.0,10.0,1.17,5.5,12.0,1.2,5.5,9.0,2005/6,€50.60m,€13.90m,1.2,5.5,9.0
B1,10/09/2005,Gent,Genk,2.0,0.0,H,2.0,0.0,2.37,3.25,2.5,2.3,3.2,2.7,2.5,3.0,2.5,2.4,3.25,2.5,2.37,3.1,2.62,2005/6,€22.35m,€35.15m,2.35,3.25,2.5
B1,10/09/2005,Louvieroise,Cercle Brugge,0.0,0.0,D,0.0,0.0,2.0,3.25,3.2,1.9,3.2,3.65,2.0,3.1,3.2,1.91,3.4,3.25,1.9,3.3,3.4,2005/6,€11.80m,€12.00m,1.9,3.4,3.25
B1,10/09/2005,Waregem,Germinal,2.0,1.0,H,0.0,0.0,2.0,3.25,3.2,2.05,3.2,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.2,3.2,2005/6,€10.88m,€23.18m,2.0,3.25,3.2
B1,10/09/2005,Westerlo,FC Brussels,3.0,0.0,H,2.0,0.0,1.72,3.4,4.0,1.7,3.5,4.2,1.75,3.2,4.0,1.67,3.25,4.5,1.7,3.4,4.2,2005/6,€17.55m,€14.25m,1.8,3.4,3.6
B1,11/09/2005,Standard,Beveren,1.0,3.0,A,1.0,1.0,1.16,5.5,13.0,1.15,6.5,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.5,9.0,2005/6,€52.10m,€16.75m,1.2,5.0,11.0
B1,16/09/2005,Mouscron,Gent,1.0,2.0,A,1.0,2.0,2.4,3.2,2.6,2.6,3.2,2.4,2.6,3.0,2.4,2.3,3.25,2.6,2.5,3.25,2.4,2005/6,€14.65m,€22.35m,2.5,3.4,2.4
B1,17/09/2005,Cercle Brugge,Standard,0.0,3.0,A,0.0,2.0,5.0,3.5,1.57,4.9,3.5,1.6,4.4,3.3,1.65,4.5,3.25,1.67,4.3,3.5,1.65,2005/6,€12.00m,€52.10m,5.5,3.5,1.53
B1,17/09/2005,FC Brussels,Anderlecht,1.0,1.0,D,0.0,0.0,6.5,3.75,1.44,6.65,4.05,1.4,5.4,3.8,1.45,5.5,3.6,1.5,5.2,3.75,1.5,2005/6,€14.25m,€71.95m,6.0,3.75,1.45
B1,17/09/2005,Lierse,Charleroi,0.0,0.0,D,0.0,0.0,2.3,3.25,2.75,2.3,3.2,2.75,2.3,3.0,2.7,2.1,3.2,3.0,2.4,3.25,2.5,2005/6,€16.65m,€15.10m,2.25,3.25,2.7
