Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,11/09/2004,Newcastle,Blackburn,3.0,0.0,H,2.0,0.0,H,D Gallagher,7.0,5.0,4.0,1.0,10.0,19.0,8.0,5.0,2.0,1.0,0.0,0.0,1.667,3.4,5.5,1.6,3.5,5.25,1.7,3.4,5.1,1.615,3.5,4.5,,,,,,
E0,11/09/2004,Portsmouth,Crystal Palace,3.0,1.0,H,1.0,1.0,D,P Dowd,16.0,6.0,7.0,3.0,14.0,21.0,8.0,7.0,0.0,2.0,0.0,0.0,1.8,3.5,4.333,1.7,3.3,4.75,1.7,3.4,5.1,1.727,3.4,4.0,,,,,,
E0,12/09/2004,Tottenham,Norwich,0.0,0.0,D,0.0,0.0,D,H Webb,15.0,7.0,7.0,2.0,17.0,9.0,13.0,5.0,2.0,1.0,0.0,0.0,1.571,3.5,6.5,1.5,3.55,6.5,1.55,3.6,6.5,1.571,3.5,5.0,,,,,,
E0,13/09/2004,Charlton,Southampton,0.0,0.0,D,0.0,0.0,D,N Barry,8.0,12.0,4.0,7.0,12.0,13.0,9.0,10.0,0.0,1.0,0.0,0.0,1.833,3.3,4.333,1.95,3.25,3.55,2.0,3.35,3.6,1.833,3.2,3.75,,,,,,
E0,18/09/2004,Arsenal,Bolton,2.0,2.0,D,1.0,0.0,H,P Dowd,11.0,8.0,6.0,5.0,13.0,17.0,3.0,8.0,1.0,3.0,0.0,0.0,1.25,5.0,13.0,1.3,4.5,9.0,1.27,5.0,11.0,1.25,4.5,10.0,,,,,,
E0,18/09/2004,Birmingham,Charlton,1.0,1.0,D,0.0,0.0,D,U Rennie,7.0,2.0,5.0,1.0,12.0,16.0,12.0,3.0,3.0,2.0,1.0,0.0,1.9,3.1,4.33,1.85,3.2,4.0,1.9,3.3,4.0,1.91,3.25,3.4,,,,,,
E0,18/09/2004,Blackburn,Portsmouth,1.0,0.0,H,0.0,0.0,D,M Clattenburg,13.0,6.0,3.0,2.0,13.0,15.0,13.0,4.0,0.0,3.0,0.0,0.0,2.2,3.25,3.2,2.0,3.15,3.5,2.15,3.2,3.3,2.1,3.2,3.0,,,,,,
E0,18/09/2004,Crystal Palace,Man City,1.0,2.0,A,0.0,0.0,D,M Atkinson,3.0,14.0,1.0,10.0,14.0,15.0,2.0,7.0,2.0,2.0,0.0,0.0,2.6,3.2,2.62,2.5,3.25,2.55,2.65,3.2,2.55,2.5,3.25,2.4,,,,,,
E0,18/09/2004,Norwich,Aston Villa,0.0,0.0,D,0.0,0.0,D,B Knight,14.0,18.0,3.0,9.0,10.0,13.0,1.0,6.0,1.0,1.0,0.0,0.0,2.75,3.2,2.5,2.75,3.2,2.35,2.8,3.25,2.4,2.6,3.2,2.38,,,,,,
E0,18/09/2004,West Brom,Fulham,1.0,1.0,D,0.0,0.0,D,M Dean,8.0,9.0,5.0,3.0,11.0,6.0,11.0,9.0,2.0,5.0,1.0,2.0,2.5,3.2,2.75,2.3,3.15,2.85,2.4,3.25,2.8,2.38,3.2,2.6,,,,,,
E0,19/09/2004,Chelsea,Tottenham,0.0,0.0,D,0.0,0.0,D,M Riley,20.0,6.0,8.0,3.0,16.0,13.0,9.0,6.0,1.0,2.0,0.0,0.0,1.5,3.6,7.5,1.5,3.6,6.25,1.5,3.7,7.0,1.5,3.4,6.0,,,,,,
E0,19/09/2004,Everton,Middlesbrough,1.0,0.0,H,0.0,0.0,D,H Webb,11.0,16.0,9.0,11.0,13.0,12.0,6.0,3.0,1.0,4.0,0.0,0.0,2.5,3.2,2.75,2.35,3.2,2.75,2.4,3.25,2.8,2.25,3.2,2.75,,,,,,
E0,19/09/2004,Southampton,Newcastle,1.0,2.0,A,0.0,1.0,A,C Foy,11.0,9.0,6.0,3.0,15.0,11.0,7.0,6.0,0.0,3.0,0.0,0.0,2.87,3.25,2.37,2.5,3.15,2.6,2.6,3.25,2.55,2.6,3.2,2.38,,,,,,
