Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HY,AY,HR,AR,VCH,VCD,VCA,HC,AC,HF,AF,PSCH,PSCD,PSCA
F1,02/09/2012,Bordeaux,Nice,1.0,1.0,D,0.0,0.0,D,1.62,3.6,6.0,1.62,3.5,6.0,1.62,3.5,6.0,1.62,3.1,5.5,2012/13,€80.95m,€59.15m,17.0,9.0,5.0,5.0,0.0,3.0,1.0,0.0,1.65,3.6,6.5,4.0,6.0,20.0,21.0,1.59,3.84,7.42
F1,02/09/2012,Lille,Paris SG,1.0,2.0,A,1.0,2.0,A,2.7,3.25,2.6,2.7,3.4,2.6,2.7,3.4,2.6,2.3,3.1,2.75,2012/13,€114.60m,€313.60m,9.0,7.0,4.0,3.0,1.0,2.0,0.0,0.0,2.88,3.4,2.6,3.0,3.0,17.0,21.0,2.91,3.31,2.63
F1,02/09/2012,Marseille,Stade Rennais FC,3.0,1.0,H,1.0,0.0,H,1.91,3.25,4.2,1.9,3.25,4.2,1.9,3.25,4.2,1.91,3.0,3.75,2012/13,€150.65m,€97.80m,19.0,6.0,7.0,1.0,2.0,1.0,0.0,0.0,2.0,3.3,4.5,7.0,2.0,14.0,15.0,2.02,3.38,4.28
F1,14/09/2012,Paris SG,Toulouse,2.0,0.0,H,1.0,0.0,H,1.4,4.2,9.0,1.42,4.2,7.75,1.42,4.2,7.75,1.44,4.33,7.0,2012/13,€313.60m,€82.00m,11.0,11.0,6.0,2.0,3.0,1.0,0.0,0.0,1.45,4.4,8.5,4.0,8.0,13.0,11.0,1.5,4.25,8.61
F1,14/09/2012,Reims,Montpellier,3.0,1.0,H,1.0,0.0,H,3.4,3.0,2.3,3.3,3.1,2.35,3.3,3.1,2.35,3.2,3.1,2.25,2012/13,€29.50m,€78.70m,11.0,19.0,5.0,9.0,1.0,1.0,0.0,0.0,3.6,3.1,2.38,3.0,6.0,16.0,11.0,4.03,3.2,2.17
F1,15/09/2012,Evian Thonon Gaillard,Bastia,3.0,0.0,H,1.0,0.0,H,2.3,3.2,3.2,2.2,3.25,3.25,2.2,3.25,3.25,2.25,3.1,2.88,2012/13,€34.55m,€36.05m,13.0,12.0,3.0,2.0,3.0,3.0,0.0,0.0,2.45,3.3,3.2,3.0,5.0,12.0,13.0,2.54,3.42,2.99
F1,15/09/2012,Nice,Brest,4.0,2.0,H,0.0,0.0,D,2.0,3.2,4.0,2.0,3.1,4.0,2.0,3.1,4.0,2.0,2.88,3.75,2012/13,€59.15m,€36.10m,13.0,12.0,6.0,4.0,1.0,2.0,0.0,0.0,2.05,3.2,4.3,8.0,2.0,13.0,20.0,1.96,3.25,4.91
F1,15/09/2012,St Etienne,Sochaux,0.0,1.0,A,0.0,0.0,D,1.5,3.8,7.5,1.53,3.75,6.75,1.53,3.75,6.75,1.5,3.75,5.5,2012/13,€97.60m,€46.85m,13.0,8.0,8.0,1.0,2.0,3.0,1.0,0.0,1.53,4.0,8.0,6.0,6.0,8.0,10.0,1.48,4.51,8.22
F1,15/09/2012,Troyes,Lille,1.0,1.0,D,0.0,1.0,A,4.0,3.2,2.0,4.1,3.3,1.91,4.1,3.3,1.91,3.6,3.4,2.05,2012/13,€21.80m,€114.60m,11.0,15.0,2.0,5.0,1.0,1.0,0.0,0.0,4.1,3.3,2.05,2.0,7.0,12.0,16.0,5.04,3.62,1.83
F1,15/09/2012,Valenciennes,Bordeaux,0.0,0.0,D,0.0,0.0,D,2.63,3.0,2.88,2.65,3.1,2.9,2.65,3.1,2.9,2.62,3.0,2.75,2012/13,€49.75m,€80.95m,12.0,12.0,3.0,2.0,0.0,2.0,0.0,0.0,2.7,3.1,3.0,8.0,4.0,15.0,15.0,2.91,3.19,2.76
