Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
D1,20/09/2005,M'gladbach,Werder Bremen,H,3.4,3.3,2.05,3.4,3.4,1.95,2.9,3.0,2.2,3.2,3.2,2.0,3.0,3.2,2.1,2005/6,€49.90m,€111.60m,3.0,3.25,2.1
D1,21/09/2005,Hertha,Duisburg,H,1.36,4.33,8.0,1.45,4.1,6.0,1.4,3.9,6.0,1.4,3.75,7.0,1.36,3.75,8.0,2005/6,€72.70m,€24.18m,1.45,3.75,6.0
D1,21/09/2005,Kaiserslautern,Mainz,A,1.61,3.6,5.5,1.5,4.1,5.3,1.65,3.3,4.4,1.53,3.5,5.5,1.57,3.5,5.0,2005/6,€37.38m,€37.75m,1.53,3.5,5.5
D1,21/09/2005,Leverkusen,FC Koln,H,1.61,3.6,5.0,1.65,3.6,4.6,1.6,3.4,4.6,1.62,3.5,4.5,1.66,3.3,4.5,2005/6,€81.23m,€43.63m,1.65,3.4,4.5
D1,21/09/2005,Nurnberg,Schalke 04,D,3.75,3.3,1.9,3.8,3.4,1.85,3.2,3.1,2.0,3.25,3.4,1.91,3.4,3.25,1.9,2005/6,€52.13m,€87.18m,3.25,3.2,2.0
D1,21/09/2005,Stuttgart,Hamburg,A,2.1,3.25,3.25,2.3,3.25,2.8,2.3,3.0,2.7,2.0,3.2,3.2,2.15,3.2,2.9,2005/6,€69.80m,€106.90m,2.2,3.2,2.9
D1,24/09/2005,Bielefeld,M'gladbach,A,2.4,3.25,2.8,2.3,3.25,2.8,2.4,3.0,2.6,2.25,3.4,2.62,2.25,3.2,2.75,2005/6,€32.85m,€49.90m,2.4,3.2,2.6
D1,24/09/2005,Duisburg,Nurnberg,H,2.2,3.25,3.2,2.0,3.35,3.3,2.1,3.0,3.1,2.0,3.4,3.0,2.0,3.2,3.2,2005/6,€24.18m,€52.13m,2.2,3.25,2.8
D1,24/09/2005,Hamburg,Bayern Munich,H,3.4,3.25,2.1,3.7,3.3,1.9,3.1,3.0,2.2,3.0,3.4,2.0,3.1,3.2,2.05,2005/6,€106.90m,€177.88m,3.3,3.25,2.0
D1,24/09/2005,Mainz,Dortmund,D,3.0,3.25,2.3,3.25,3.3,2.05,2.7,3.0,2.3,3.0,3.4,2.0,2.9,3.2,2.15,2005/6,€37.75m,€78.53m,3.0,3.25,2.1
D1,24/09/2005,Schalke 04,Hannover,H,1.5,3.8,6.5,1.5,3.9,5.6,1.5,3.7,5.0,1.4,3.75,7.0,1.53,3.5,5.5,2005/6,€87.18m,€45.35m,1.5,3.75,5.5
D1,24/09/2005,Werder Bremen,Leverkusen,H,1.83,3.25,4.5,1.75,3.4,4.2,1.8,3.1,3.8,1.73,3.4,4.0,1.72,3.2,4.33,2005/6,€111.60m,€81.23m,1.75,3.4,4.0
D1,24/09/2005,Wolfsburg,Ein Frankfurt,H,1.53,3.4,5.5,1.6,3.65,4.95,1.7,3.2,4.2,1.57,3.5,5.0,1.61,3.3,5.0,2005/6,€61.38m,€39.95m,1.65,3.2,5.0
D1,25/09/2005,FC Koln,Hertha,A,2.75,3.2,2.5,2.8,3.25,2.3,2.6,3.0,2.4,2.62,3.4,2.25,2.75,3.1,2.3,2005/6,€43.63m,€72.70m,2.65,3.25,2.3
D1,25/09/2005,Stuttgart,Kaiserslautern,H,1.66,3.6,5.0,1.65,3.6,4.6,1.65,3.3,4.4,1.62,3.5,4.5,1.7,3.3,4.33,2005/6,€69.80m,€37.38m,1.65,3.4,4.35
D1,01/10/2005,Bayern Munich,Wolfsburg,H,1.33,4.5,9.5,1.3,4.8,8.0,1.33,4.0,7.5,1.33,4.0,8.0,1.28,4.5,8.0,2005/6,€177.88m,€61.38m,1.3,4.5,8.5
D1,01/10/2005,Ein Frankfurt,Schalke 04,A,3.8,3.4,1.9,3.45,3.35,1.95,3.4,3.2,2.0,3.4,3.25,1.91,3.5,3.2,1.9,2005/6,€39.95m,€87.18m,3.4,3.25,1.9
D1,01/10/2005,Hannover,Duisburg,D,1.8,3.4,4.33,1.75,3.4,4.2,1.9,3.1,3.5,1.73,3.4,4.0,1.72,3.25,4.2,2005/6,€45.35m,€24.18m,1.8,3.25,4.0
D1,01/10/2005,Hertha,Werder Bremen,A,2.37,3.25,2.87,2.3,3.25,2.8,2.3,3.1,2.9,2.2,3.25,2.75,2.2,3.2,2.8,2005/6,€72.70m,€111.60m,2.25,3.2,2.75
D1,01/10/2005,Leverkusen,Bielefeld,D,1.5,4.0,6.0,1.4,4.1,6.9,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.4,6.0,2005/6,€81.23m,€32.85m,1.45,3.6,6.5
D1,01/10/2005,M'gladbach,Mainz,H,1.66,3.6,5.0,1.7,3.5,4.4,1.7,3.2,4.2,1.67,3.4,4.33,1.6,3.4,4.8,2005/6,€49.90m,€37.75m,1.65,3.2,5.0
D1,01/10/2005,Nurnberg,FC Koln,H,2.2,3.25,3.2,2.0,3.35,3.3,2.1,3.0,3.1,2.1,3.2,3.0,2.15,3.2,2.9,2005/6,€52.13m,€43.63m,2.2,3.25,2.8
D1,02/10/2005,Dortmund,Stuttgart,D,2.37,3.25,2.87,2.1,3.25,3.15,2.3,3.0,3.0,2.2,3.2,2.8,2.1,3.2,3.0,2005/6,€78.53m,€69.80m,2.2,3.25,2.8
D1,02/10/2005,Kaiserslautern,Hamburg,A,3.0,3.3,2.25,3.0,3.3,2.15,3.0,3.1,2.2,2.8,3.2,2.2,2.75,3.2,2.25,2005/6,€37.38m,€106.90m,3.0,3.25,2.1
D1,15/10/2005,Bielefeld,Hertha,H,3.0,3.25,2.1,3.15,3.35,2.05,2.9,3.0,2.2,3.0,3.2,2.1,3.1,3.1,2.1,2005/6,€32.85m,€72.70m,2.9,3.3,2.1
D1,16/10/2005,Duisburg,Ein Frankfurt,A,1.9,3.25,3.5,1.9,3.35,3.6,2.0,3.1,3.2,1.91,3.2,3.5,1.8,3.4,3.6,2005/6,€24.18m,€39.95m,1.9,3.2,3.5
D1,16/10/2005,FC Koln,Hannover,A,2.0,3.25,3.25,1.9,3.35,3.6,2.1,3.0,3.1,2.0,3.2,3.2,2.1,3.1,3.1,2005/6,€43.63m,€45.35m,2.0,3.2,3.2
D1,15/10/2005,Hamburg,Wolfsburg,A,1.57,3.6,5.0,1.55,3.8,5.2,1.6,3.5,5.0,1.57,3.5,5.0,1.53,3.5,5.5,2005/6,€106.90m,€61.38m,1.55,3.5,5.0
D1,15/10/2005,Kaiserslautern,Dortmund,D,2.5,3.2,2.5,2.35,3.35,2.65,2.6,3.0,2.4,2.5,3.2,2.5,2.5,3.1,2.5,2005/6,€37.38m,€78.53m,2.35,3.25,2.5
D1,15/10/2005,Mainz,Leverkusen,H,3.0,3.25,2.1,2.8,3.35,2.25,2.7,3.0,2.3,2.75,3.25,2.2,3.0,3.1,2.15,2005/6,€37.75m,€81.23m,2.8,3.2,2.2
D1,15/10/2005,Schalke 04,Bayern Munich,D,2.5,3.2,2.5,2.4,3.35,2.6,2.4,3.0,2.8,2.5,3.2,2.5,2.62,2.9,2.5,2005/6,€87.18m,€177.88m,2.6,3.1,2.35
D1,15/10/2005,Stuttgart,M'gladbach,D,1.83,3.25,3.75,1.7,3.5,4.4,1.8,3.1,3.8,1.73,3.4,4.0,1.8,3.3,3.75,2005/6,€69.80m,€49.90m,1.8,3.25,3.75
D1,15/10/2005,Werder Bremen,Nurnberg,H,1.4,3.75,7.5,1.3,4.8,8.2,1.35,4.2,7.5,1.33,4.0,8.0,1.36,4.0,7.0,2005/6,€111.60m,€52.13m,1.35,4.0,7.0
D1,22/10/2005,Bayern Munich,Duisburg,H,1.16,6.5,15.0,1.2,5.6,11.0,1.2,5.0,10.0,1.17,5.5,12.0,1.16,5.5,12.0,2005/6,€177.88m,€24.18m,1.17,5.5,12.0
D1,22/10/2005,Ein Frankfurt,FC Koln,H,2.1,3.25,3.4,2.1,3.3,3.1,2.1,3.0,3.1,2.0,3.2,3.2,1.95,3.25,3.3,2005/6,€39.95m,€43.63m,2.0,3.25,3.25
D1,22/10/2005,Hannover,Werder Bremen,D,3.4,3.25,2.1,3.2,3.3,2.05,3.5,3.1,2.0,3.2,3.2,2.0,3.1,3.1,2.1,2005/6,€45.35m,€111.60m,3.0,3.25,2.1
D1,22/10/2005,Hertha,Mainz,H,1.44,4.0,7.5,1.4,4.25,6.6,1.45,3.8,5.4,1.4,3.75,7.0,1.5,3.4,6.0,2005/6,€72.70m,€37.75m,1.45,3.75,6.0
D1,22/10/2005,M'gladbach,Kaiserslautern,H,1.83,3.3,4.33,1.8,3.4,4.0,1.7,3.2,4.2,1.73,3.4,4.0,1.7,3.3,4.33,2005/6,€49.90m,€37.38m,1.75,3.4,4.0
D1,22/10/2005,Nurnberg,Bielefeld,A,2.1,3.25,3.4,1.9,3.35,3.6,2.0,3.1,3.2,2.0,3.2,3.2,2.05,3.1,3.2,2005/6,€52.13m,€32.85m,2.0,3.25,3.2
D1,22/10/2005,Wolfsburg,Schalke 04,D,2.4,3.25,2.8,2.5,3.35,2.5,2.7,3.0,2.5,2.38,3.2,2.6,2.4,3.25,2.5,2005/6,€61.38m,€87.18m,2.35,3.25,2.6
D1,23/10/2005,Dortmund,Hamburg,D,2.37,3.2,2.9,2.6,3.35,2.4,2.4,3.0,2.8,2.4,3.25,2.5,2.37,3.1,2.62,2005/6,€78.53m,€106.90m,2.4,3.2,2.6
D1,23/10/2005,Leverkusen,Stuttgart,D,2.0,3.2,3.75,2.0,3.35,3.3,2.0,3.1,3.5,2.0,3.2,3.2,2.0,3.1,3.3,2005/6,€81.23m,€69.80m,2.0,3.25,3.25
