Club,2024/25,2023/24,2022/23,2021/22,2020/21
UD Las Palmas,€112.60m,€112.40m,€30.23m,€25.55m,€20.35m
CA Osasuna,€112.40m,€105.35m,€150.05m,€108.45m,€96.75m
RCD Mallorca,€89.70m,€87.70m,€107.00m,€74.15m,€50.95m
Deportivo Alavés,€87.70m,€123.70m,€36.08m,€65.35m,€79.80m
Celta de Vigo,€86.60m,€149.30m,€138.80m,€120.00m,€155.85m
RCD Espanyol Barcelona,€79.30m,€57.43m,€116.50m,€131.60m,€80.00m
Getafe CF,€74.00m,€133.00m,€118.90m,€208.68m,€170.10m
Rayo Vallecano,€71.30m,€63.95m,€103.40m,€67.20m,€29.85m
CD Leganés,€56.33m,€28.90m,€32.00m,€42.55m,€34.48m
Real Valladolid CF,€44.20m,€50.90m,€90.75m,€66.65m,€63.35m
Granada CF,€42.00m,€141.10m,€55.40m,€103.75m,€122.65m
UD Almería,€56.50m,€99.40m,€114.20m,€63.75m,€70.60m
Cádiz CF,€33.70m,€60.70m,€65.60m,€67.80m,€47.65m
Elche CF,€33.90m,€48.70m,€67.50m,€72.98m,€45.65m
Levante UD,€23.30m,€32.15m,€44.78m,€77.90m,€113.00m
SD Eibar,€20.50m,€31.68m,€26.40m,€29.25m,€83.40m
SD Huesca,€13.90m,€19.95m,€22.98m,€29.90m,€64.10m
Bayern Munich,€939.70m,€965.15m,€948.95m,€790.33m,€858.23m
Bayer 04 Leverkusen,€634.25m,€658.35m,€452.50m,€455.05m,€373.25m
RB Leipzig,€517.90m,€545.40m,€486.40m,€498.95m,€574.95m
Borussia Dortmund,€474.90m,€494.80m,€567.55m,€558.98m,€628.40m
VfB Stuttgart,€313.73m,€346.63m,€151.05m,€174.23m,€189.25m
Eintracht Frankfurt,€279.70m,€326.65m,€324.55m,€228.75m,€269.15m
VfL Wolfsburg,€215.00m,€206.45m,€238.30m,€269.30m,€256.83m
SC Freiburg,€169.05m,€180.35m,€200.95m,€176.35m,€139.10m
TSG 1899 Hoffenheim,€166.15m,€176.00m,€178.80m,€211.43m,€228.15m
Borussia Mönchengladbach,€139.70m,€165.23m,€241.68m,€236.80m,€300.75m
1.FC Union Berlin,€122.18m,€160.95m,€157.95m,€115.90m,€82.05m
SV Werder Bremen,€119.35m,€134.93m,€89.50m,€62.10m,€111.98m
FC Augsburg,€99.33m,€140.80m,€132.23m,€95.30m,€93.05m
1.FSV Mainz 05,€93.45m,€142.88m,€135.80m,€131.03m,€163.30m
1.FC Heidenheim 1846,€63.30m,€66.45m,€25.20m,€18.35m,€20.50m
VfL Bochum,€60.75m,€64.53m,€53.70m,€52.25m,€33.90m
FC St. Pauli,€40.73m,€42.08m,€25.05m,€25.68m,€23.23m
Holstein Kiel,€36.30m,€38.48m,€17.88m,€16.85m,€21.35m
1.FC Köln,€63.20m,€81.45m,€115.65m,€99.28m,€118.20m
SV Darmstadt 98,€26.40m,€38.70m,€27.88m,€20.33m,€17.03m
Hertha BSC,€51.35m,€62.18m,€94.00m,€155.78m,€228.88m
FC Schalke 04,€23.65m,€37.70m,€87.78m,€43.83m,€123.05m
Arminia Bielefeld,N/A,N/A,€25.00m,€65.85m,€56.73m
SpVgg Greuther Fürth,€21.18m,€32.63m,€23.60m,€36.95m,€30.53m
Inter Milan,€677.30m,€654.85m,€567.55m,€558.55m,€663.90m
Juventus FC,€594.20m,€504.53m,€483.13m,€642.50m,€633.30m
AC Milan,€562.00m,€571.41m,€545.10m,€546.95m,€547.78m
Atalanta BC,€447.60m,€436.05m,€338.38m,€398.75m,€430.00m
SSC Napoli,€429.03m,€515.00m,€654.08m,€477.23m,€530.20m
AS Roma,€332.50m,€340.40m,€361.38m,€381.25m,€395.65m
Bologna FC 1909,€276.80m,€349.30m,€153.63m,€186.20m,€153.60m
ACF Fiorentina,€258.30m,€284.10m,€258.80m,€325.80m,€286.80m
SS Lazio,€236.35m,€225.45m,€266.43m,€264.53m,€326.33m
Torino FC,€172.03m,€232.73m,€197.19m,€223.40m,€175.28m
Genoa CFC,€144.40m,€195.40m,€67.98m,€121.28m,€111.93m
Udinese Calcio,€128.18m,€170.06m,€188.86m,€142.30m,€173.00m
Parma Calcio 1913,€125.10m,€79.15m,€52.50m,€64.10m,€128.70m
Como 1907,€100.55m,€54.08m,€31.13m,€18.53m,N/A
AC Monza,€92.68m,€143.43m,€135.70m,€47.74m,€54.29m
US Lecce,€92.20m,€107.73m,€105.20m,€42.30m,€34.23m
Hellas Verona,€88.43m,€140.70m,€123.89m,€162.98m,€157.21m
Cagliari Calcio,€70.35m,€92.23m,€41.83m,€134.53m,€187.83m
FC Empoli,€68.83m,€102.33m,€125.53m,€126.50m,N/A
Venezia FC,€57.78m,€44.93m,€48.71m,€80.98m,€29.39m
US Sassuolo,€81.55m,€139.54m,€232.20m,€251.00m,€241.74m
Frosinone Calcio,€25.80m,€108.13m,€40.13m,€30.73m,€18.78m
US Salernitana 1919,€24.50m,€94.60m,€118.35m,€70.56m,€27.00m
Spezia Calcio,€31.73m,€52.68m,€115.81m,€78.50m,€71.68m
US Cremonese,€37.30m,€43.55m,€83.78m,€43.60m,€18.14m
UC Sampdoria,€33.03m,€54.48m,€82.96m,€128.55m,€127.18m
FC Crotone,N/A,N/A,N/A,€27.18m,€52.75m
Benevento Calcio,N/A,N/A,€22.02m,€27.15m,€50.13m
Paris Saint-Germain,€892.50m,€1.02bn,€891.10m,€875.15m,€805.00m
AS Monaco,€358.20m,€398.55m,€368.30m,€396.00m,€370.35m
Olympique Marseille,€305.30m,€311.40m,€331.55m,€284.70m,€247.95m
LOSC Lille,€263.70m,€328.90m,€247.95m,€306.88m,€323.20m
Olympique Lyon,€240.30m,€305.95m,€350.95m,€397.70m,€431.35m
OGC Nice,€214.40m,€268.78m,€310.80m,€266.05m,€236.10m
Stade Rennais FC,€203.25m,€375.35m,€387.75m,€305.35m,€297.50m
RC Strasbourg Alsace,€182.80m,€157.70m,€123.55m,€120.05m,€109.65m
RC Lens,€177.60m,€205.60m,€238.20m,€154.05m,€104.30m
Stade Reims,€127.70m,€134.55m,€159.05m,€149.40m,€105.18m
Stade Brestois 29,€120.90m,€115.15m,€76.65m,€103.15m,€103.23m
FC Nantes,€99.90m,€125.90m,€119.28m,€112.65m,€94.75m
Montpellier HSC,€92.75m,€145.58m,€142.90m,€144.60m,€113.85m
FC Toulouse,€82.15m,€145.20m,€104.80m,€55.05m,€58.83m
Le Havre AC,€70.45m,€72.50m,€50.10m,€31.30m,€18.28m
AJ Auxerre,€56.25m,€31.70m,€54.80m,€24.55m,€17.30m
AS Saint-Étienne,€55.75m,€47.20m,€66.50m,€105.65m,€154.50m
Angers SCO,€34.70m,€42.05m,€71.80m,€89.50m,€111.65m
FC Lorient,€66.20m,€131.85m,€175.45m,€61.30m,€72.88m
FC Metz,€25.70m,€65.40m,€55.30m,€91.05m,€103.50m
Clermont Foot 63,€13.45m,€61.35m,€48.00m,€55.10m,€24.05m
ESTAC Troyes,€19.05m,€27.65m,€76.30m,€73.20m,€28.85m
AC Ajaccio,€10.80m,€15.25m,€27.00m,€24.40m,€17.90m
FC Girondins Bordeaux,N/A,€28.85m,€51.55m,€116.85m,€105.70m
Dijon FCO,N/A,N/A,€18.70m,€27.65m,€65.63m
Nîmes Olympique,N/A,N/A,€23.30m,€30.13m,€60.40m
Legia Warszawa,€26.40m,€43.63m,€34.45m,€36.78m,€36.73m
Lech Poznan,€25.70m,€32.60m,€36.03m,€46.55m,€50.40m
Raków Częstochowa,€25.45m,€38.63m,€38.23m,€32.75m,€23.93m
Jagiellonia Bialystok,€15.95m,€21.78m,€14.88m,€13.10m,€20.05m
Slask Wroclaw,€15.45m,€20.20m,€10.70m,€13.95m,€11.45m
Cracovia,€15.15m,€13.45m,€17.13m,€16.03m,€17.53m
Zaglebie Lubin,€13.75m,€15.20m,€15.30m,€16.70m,€15.78m
Pogon Szczecin,€12.83m,€16.95m,€19.20m,€28.68m,€21.20m
Lechia Gdansk,€11.78m,€10.55m,€7.78m,€19.48m,€14.50m
Górnik Zabrze,€11.25m,€18.80m,€17.45m,€18.05m,€16.25m
Piast Gliwice,€10.53m,€11.70m,€12.68m,€16.75m,€13.90m
Widzew Lodz,€10.23m,€11.70m,€10.48m,€6.65m,€4.40m
Stal Mielec,€9.60m,€11.95m,€9.73m,€10.15m,€7.50m
Korona Kielce,€9.03m,€9.45m,€9.10m,€6.95m,€4.75m
Motor Lublin,€8.50m,€6.15m,N/A,N/A,N/A
Radomiak Radom,€8.23m,€18.58m,€11.43m,€12.53m,€6.25m
GKS Katowice,€8.10m,€5.90m,€4.93m,€3.48m,N/A
Puszcza Niepolomice,€7.65m,€8.90m,€6.45m,€3.03m,€3.65m
Ruch Chorzow,€5.90m,€8.88m,€5.80m,N/A,N/A
LKS Lodz,€5.65m,€7.85m,€6.80m,€4.35m,€5.68m
Warta Poznan,€3.55m,€7.38m,€12.08m,€10.33m,€9.63m
Wisla Plock,€4.83m,€7.28m,€10.50m,€12.40m,€11.73m
Miedz Legnica,€7.43m,€5.68m,€8.08m,€6.58m,€4.75m
Wisla Kraków,€7.68m,€8.33m,€7.43m,€13.23m,€14.88m
Bruk-Bet Termalica Nieciecza,€5.45m,€5.18m,€6.13m,€8.48m,€5.55m
Gornik Leczna,€4.28m,€5.18m,€5.05m,€5.03m,€4.05m
Podbeskidzie Bielsko-Biala,N/A,€3.78m,€5.40m,€4.10m,€7.05m
