Club,2024/25,2023/24,2022/23,2021/22,2020/21
GKS Tychy,€5.30m,€5.28m,€4.20m,€3.93m,€4.93m
Stal Rzeszow,€4.90m,€5.40m,€4.78m,N/A,N/A
Wisla Plock,€4.83m,€7.28m,N/A,N/A,N/A
Gornik Leczna,€4.28m,€5.18m,€5.05m,N/A,€4.05m
Polonia Warsaw,€4.23m,€4.38m,N/A,N/A,N/A
Odra Opole,€3.73m,€4.40m,€3.30m,€4.05m,€3.40m
Chrobry Glogow,€3.58m,€4.30m,€4.85m,€4.03m,€2.95m
Warta Poznan,€3.55m,N/A,N/A,N/A,N/A
Kotwica Kolobrzeg,€3.22m,N/A,N/A,N/A,N/A
Znicz Pruszkow,€3.00m,€3.40m,N/A,N/A,N/A
Pogon Siedlce,€2.77m,N/A,N/A,N/A,N/A
Stal Stalowa Wola,€2.69m,N/A,N/A,N/A,N/A
Lechia Gdansk,N/A,€10.55m,N/A,N/A,N/A
Motor Lublin,N/A,€6.15m,N/A,N/A,N/A
GKS Katowice,N/A,€5.90m,€4.93m,€3.48m,N/A
Podbeskidzie Bielsko-Biala,N/A,€3.78m,€5.40m,€4.10m,N/A
Zaglebie Sosnowiec,N/A,€3.50m,€4.58m,€3.65m,€3.30m
Resovia Rzeszow,N/A,€2.70m,€3.98m,€3.33m,€3.05m
Puszcza Niepolomice,N/A,N/A,€6.45m,€3.03m,€3.65m
Sandecja Nowy Sacz,N/A,N/A,€1.35m,€3.68m,€3.05m
Skra Czestochowa,N/A,N/A,€1.35m,€3.43m,N/A
Chojniczanka Chojnice,N/A,N/A,€1.28m,N/A,N/A
Korona Kielce,N/A,N/A,N/A,€6.95m,€4.75m
Widzew Lodz,N/A,N/A,N/A,€6.65m,€4.40m
Stomil Olsztyn,N/A,N/A,N/A,€3.05m,€3.45m
GKS Jastrzebie,N/A,N/A,N/A,€2.55m,€2.88m
Gornik Polkowice,N/A,N/A,N/A,€2.20m,N/A
Radomiak Radom,N/A,N/A,N/A,N/A,€6.25m
GKS Belchatow,N/A,N/A,N/A,N/A,€3.15m
