Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,21/09/05,Milan,Lazio,2.0,0.0,H,2.0,0.0,H,1.4,4.0,9.0,1.3,4.65,8.5,D. Messina,12.0,8.0,7.0,3.0,17.0,14.0,5.0,2.0,0.0,1.0,0.0,0.0
I1,21/09/05,Palermo,Reggina,1.0,0.0,H,0.0,0.0,D,1.44,3.8,7.0,1.4,3.75,8.25,P. Rodomonti,16.0,8.0,10.0,3.0,17.0,19.0,10.0,5.0,2.0,4.0,0.0,0.0
I1,21/09/05,Roma,Parma,4.0,1.0,H,3.0,1.0,H,1.57,3.6,6.0,1.55,3.4,6.25,D. Tombolini,18.0,8.0,12.0,2.0,17.0,14.0,7.0,6.0,2.0,3.0,0.0,0.0
I1,21/09/05,Treviso,Sampdoria,0.0,2.0,A,0.0,1.0,A,3.75,3.0,2.0,3.9,3.0,1.97,L. Banti,11.0,9.0,4.0,6.0,15.0,12.0,3.0,5.0,3.0,0.0,0.0,0.0
I1,21/09/05,Udinese,Juventus,0.0,1.0,A,0.0,1.0,A,4.0,3.0,2.0,3.75,3.1,1.95,N. Ayroldi,6.0,7.0,3.0,3.0,24.0,18.0,3.0,1.0,3.0,1.0,0.0,0.0
I1,24/09/05,Parma,Juventus,1.0,2.0,A,1.0,1.0,D,6.0,3.4,1.61,6.0,3.25,1.6,T. Pieri,5.0,8.0,3.0,6.0,27.0,27.0,2.0,5.0,3.0,3.0,0.0,0.0
I1,24/09/05,Reggina,Udinese,2.0,0.0,H,1.0,0.0,H,3.5,3.0,2.2,3.5,3.1,2.05,M. Gabriele,6.0,7.0,4.0,3.0,20.0,26.0,4.0,7.0,4.0,3.0,0.0,1.0
I1,25/09/05,Cagliari,Roma,0.0,0.0,D,0.0,0.0,D,3.75,3.2,2.0,3.8,3.25,1.9,A. Dattilo,8.0,12.0,3.0,5.0,12.0,17.0,2.0,3.0,2.0,2.0,0.0,0.0
I1,25/09/05,Empoli,Lecce,1.0,0.0,H,0.0,0.0,D,2.0,3.2,3.75,1.95,3.05,3.85,O. Pantana,5.0,12.0,2.0,2.0,21.0,24.0,3.0,5.0,1.0,4.0,0.0,0.0
I1,25/09/05,Inter,Fiorentina,1.0,0.0,H,1.0,0.0,H,1.61,3.4,6.0,1.7,3.2,5.0,S. Farina,17.0,4.0,7.0,2.0,26.0,20.0,6.0,3.0,2.0,3.0,0.0,0.0
