Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,25/09/05,Mallorca,Malaga,1,4,A,0,2,A,2.1,3.25,3.4,2.2,3.2,3.0,14.0,9.0,7.0,5.0,24.0,22.0,8.0,2.0,0.0,1.0,0.0,0.0
SP1,25/09/05,Osasuna,Cadiz,2,0,H,1,0,H,1.9,3.25,4.0,1.8,3.25,4.15,19.0,3.0,7.0,0.0,27.0,13.0,5.0,5.0,4.0,2.0,0.0,0.0
SP1,01/10/05,Barcelona,Zaragoza,2,2,D,0,0,D,1.33,4.5,9.5,1.25,5.0,9.75,22.0,7.0,7.0,3.0,16.0,23.0,1.0,2.0,4.0,3.0,0.0,1.0
SP1,01/10/05,Getafe,Valencia,2,1,H,1,1,D,2.6,3.2,2.62,2.6,3.0,2.6,12.0,9.0,6.0,2.0,25.0,24.0,2.0,0.0,1.0,4.0,0.0,1.0
SP1,02/10/05,Cadiz,Celta,1,1,D,1,1,D,2.5,3.2,2.75,2.5,3.15,2.6,11.0,8.0,6.0,5.0,26.0,18.0,3.0,3.0,2.0,4.0,0.0,0.0
SP1,02/10/05,La Coruna,Osasuna,0,1,A,0,1,A,1.66,3.4,5.5,1.6,3.6,5.0,12.0,7.0,1.0,4.0,24.0,25.0,2.0,5.0,1.0,3.0,0.0,0.0
SP1,02/10/05,Malaga,Ath Madrid,0,2,A,0,1,A,2.4,3.25,2.8,2.5,3.0,2.7,7.0,14.0,2.0,7.0,19.0,20.0,4.0,6.0,3.0,4.0,0.0,0.0
SP1,02/10/05,Real Madrid,Mallorca,4,0,H,2,0,H,1.25,5.0,13.0,1.2,5.5,11.5,16.0,11.0,8.0,3.0,17.0,18.0,9.0,5.0,0.0,2.0,0.0,1.0
SP1,02/10/05,Santander,Alaves,1,2,A,0,1,A,1.9,3.25,4.0,1.95,3.15,3.65,9.0,9.0,4.0,3.0,26.0,9.0,6.0,2.0,3.0,1.0,0.0,0.0
SP1,02/10/05,Sevilla,Espanol,1,1,D,0,1,A,1.9,3.25,4.0,1.9,3.2,3.8,12.0,8.0,3.0,3.0,13.0,11.0,9.0,2.0,3.0,1.0,0.0,0.0
