Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SP1,2004/5,18/09/2004,Espanol,Real Madrid,H,45.15,303.7,3,3,1,0,3.75,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.35,1.8,3.8,3.3,1.95,3.5,3.1,1.9,3.75,3.25,1.8,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.4,1.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.3,1.8,1,0,0,1,2.3821,1.3855,3.5479,0.5816,0.2972,0.0954,2.1357,1.1376,3.592,0.5326,0.2719,0.0916,1.4343,0.4376,3.7394,0.3051,0.1585,0.078,A
SP1,2004/5,18/09/2004,Osasuna,Betis,H,26.7,85.15,3,3,3,2,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,2.0,3.25,3.7,1.85,3.1,3.6,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.1,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.2,3.5,0,0,0,0,1.47,0.4727,3.7316,0.3216,0.1662,0.0787,2.0964,1.0973,3.5997,0.5234,0.2654,0.091,2.2714,1.2765,3.5666,0.562,0.2898,0.0938,H
SP1,2004/5,18/09/2004,Valencia,Sociedad,H,195.9,53.55,3,3,3,1,1.44,3.75,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.8,6.7,1.5,3.75,6.75,1.5,3.7,5.0,1.44,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.6,6.5,0,0,0,0,1.2336,0.2344,3.7812,0.1901,0.0977,0.074,2.3429,1.344,3.5551,0.5737,0.2912,0.0949,3.675,2.7041,3.376,0.7358,0.3796,0.1091,H
SP1,2004/5,19/09/2004,Ath Bilbao,La Coruna,A,53.05,144.45,3,3,1,2,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.15,2.7,2.4,3.25,2.8,2.2,3.0,2.9,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.0,2.8,0,0,0,0,1.65,0.6544,3.6912,0.3966,0.2056,0.0825,2.0643,1.0663,3.6056,0.5165,0.264,0.0904,1.9036,0.9064,3.6374,0.4762,0.2446,0.0875,H
SP1,2004/5,19/09/2004,Ath Madrid,Barcelona,D,125.65,273.03,3,3,1,1,2.75,3.25,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.2,2.3,3.1,3.25,2.2,2.9,3.0,2.2,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.25,0,1,0,1,1.9536,0.9574,3.627,0.4901,0.2527,0.0884,2.0857,1.0873,3.6016,0.5213,0.2654,0.0908,1.6071,0.6085,3.7015,0.3786,0.1937,0.0816,A
SP1,2004/5,19/09/2004,Mallorca,Malaga,A,42.65,32.85,3,3,1,2,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,4.1,2.0,3.25,3.65,1.85,3.1,3.6,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.1,3.6,0,0,1,1,1.4421,0.4442,3.738,0.308,0.159,0.0781,2.1036,1.1048,3.5982,0.5252,0.2669,0.0911,2.3536,1.3596,3.5522,0.5777,0.2973,0.095,H
SP1,2004/5,19/09/2004,Numancia,Getafe,H,13.4,13.85,3,3,1,0,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.75,2.0,3.25,3.7,2.0,3.0,3.3,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.1,3.5,0,0,0,0,1.4679,0.4704,3.7322,0.3205,0.1656,0.0787,2.0964,1.0985,3.5994,0.524,0.2666,0.0909,2.2786,1.2839,3.5653,0.5635,0.2906,0.0939,H
SP1,2004/5,19/09/2004,Santander,Villarreal,D,32.9,66.25,3,3,1,1,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.45,3.15,2.65,2.5,3.25,2.7,2.5,3.0,2.5,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.62,0,1,0,1,1.7229,0.7248,3.6759,0.4207,0.2152,0.084,2.0714,1.0728,3.6043,0.5179,0.2638,0.0905,1.8064,0.8083,3.6579,0.4475,0.229,0.0857,H
SP1,2004/5,19/09/2004,Sevilla,Levante,H,70.55,24.25,3,3,3,0,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.55,1.75,3.35,4.8,1.75,3.2,4.0,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.0,0,0,0,0,1.3443,0.3463,3.7591,0.2576,0.1336,0.0761,2.1536,1.1547,3.5889,0.5362,0.2726,0.0919,2.82,1.8361,3.4782,0.6511,0.3393,0.1011,H
SP1,2004/5,19/09/2004,Zaragoza,Albacete,H,51.13,17.75,3,3,4,3,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,4.1,1.77,3.3,4.75,1.85,3.1,3.6,1.57,3.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.3,4.33,0,0,0,0,1.3671,0.3717,3.7536,0.2719,0.1424,0.0766,2.1429,1.1455,3.5905,0.5346,0.2731,0.0917,2.6864,1.7122,3.4952,0.6374,0.3354,0.0994,H
