Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
SC0,23/10/2004,Aberdeen,Motherwell,H,2.1,3.4,3.0,1.95,3.2,3.5,2004/5,€6.88m,€4.83m,47.619,51.2821,29.4118,31.25,33.3333,28.5714,H,49.4506,2.5902,30.3309,1.2998,30.9524,3.3672,ScotishPremierLeague
SC0,23/10/2004,Dundee,Dunfermline,A,1.9,3.4,3.5,1.9,3.2,3.65,2004/5,€9.05m,€6.03m,52.6316,52.6316,29.4118,31.25,28.5714,27.3973,H,52.6316,0.0,30.3309,1.2998,27.9844,0.8302,ScotishPremierLeague
SC0,23/10/2004,Kilmarnock,Inverness C,D,1.57,3.6,5.0,1.55,3.5,5.5,2004/5,€3.78m,€2.38m,63.6943,64.5161,27.7778,28.5714,20.0,18.1818,H,64.1052,0.5811,28.1746,0.5612,19.0909,1.2857,ScotishPremierLeague
SC0,24/10/2004,Hearts,Hibernian,H,2.1,3.2,3.2,2.1,3.15,3.15,2004/5,€11.08m,€13.25m,47.619,47.619,31.25,31.746,31.25,31.746,H,47.619,0.0,31.498,0.3507,31.498,0.3507,ScotishPremierLeague
SC0,24/10/2004,Livingston,Celtic,A,10.0,5.5,1.25,10.0,6.0,1.18,2004/5,€9.75m,€77.55m,10.0,10.0,18.1818,16.6667,80.0,84.7458,A,10.0,0.0,17.4242,1.0713,82.3729,3.3558,ScotishPremierLeague
SC0,24/10/2004,Rangers,Dundee United,D,1.14,6.5,13.0,1.18,6.0,10.0,2004/5,€80.78m,€8.13m,87.7193,84.7458,15.3846,16.6667,7.6923,10.0,H,86.2326,2.1026,16.0256,0.9066,8.8462,1.6318,ScotishPremierLeague
SC0,27/10/2004,Celtic,Aberdeen,A,1.14,6.5,13.0,1.18,6.0,10.0,2004/5,€77.55m,€6.88m,87.7193,84.7458,15.3846,16.6667,7.6923,10.0,H,86.2326,2.1026,16.0256,0.9066,8.8462,1.6318,ScotishPremierLeague
SC0,27/10/2004,Dundee United,Hearts,D,2.6,3.2,2.4,2.5,3.2,2.5,2004/5,€8.13m,€11.08m,38.4615,40.0,31.25,31.25,41.6667,40.0,A,39.2308,1.0879,31.25,0.0,40.8333,1.1785,ScotishPremierLeague
SC0,27/10/2004,Dunfermline,Rangers,A,7.5,4.0,1.36,9.0,5.0,1.25,2004/5,€6.03m,€80.78m,13.3333,11.1111,25.0,20.0,73.5294,80.0,A,12.2222,1.5713,22.5,3.5355,76.7647,4.5754,ScotishPremierLeague
SC0,27/10/2004,Hibernian,Livingston,H,1.72,3.5,4.0,1.7,3.3,4.5,2004/5,€13.25m,€9.75m,58.1395,58.8235,28.5714,30.303,25.0,22.2222,H,58.4815,0.4837,29.4372,1.2244,23.6111,1.9642,ScotishPremierLeague
SC0,27/10/2004,Inverness C,Dundee,H,2.4,3.2,2.6,2.8,3.2,2.25,2004/5,€2.38m,€9.05m,41.6667,35.7143,31.25,31.25,38.4615,44.4444,No Consensus,38.6905,4.209,31.25,0.0,41.453,4.2305,ScotishPremierLeague
SC0,27/10/2004,Motherwell,Kilmarnock,A,2.0,3.25,3.25,2.05,3.2,3.2,2004/5,€4.83m,€3.78m,50.0,48.7805,30.7692,31.25,30.7692,31.25,H,49.3902,0.8623,31.0096,0.34,31.0096,0.34,ScotishPremierLeague
SC0,30/10/2004,Dundee United,Dunfermline,A,2.1,3.4,3.0,2.15,3.2,3.0,2004/5,€8.13m,€6.03m,47.619,46.5116,29.4118,31.25,33.3333,33.3333,H,47.0653,0.7831,30.3309,1.2998,33.3333,0.0,ScotishPremierLeague
SC0,30/10/2004,Hearts,Dundee,H,1.66,3.5,4.5,1.6,3.5,5.0,2004/5,€11.08m,€9.05m,60.241,62.5,28.5714,28.5714,22.2222,20.0,H,61.3705,1.5974,28.5714,0.0,21.1111,1.5713,ScotishPremierLeague
SC0,30/10/2004,Inverness C,Livingston,H,2.4,3.25,2.62,2.65,3.25,2.35,2004/5,€2.38m,€9.75m,41.6667,37.7358,30.7692,30.7692,38.1679,42.5532,No Consensus,39.7012,2.7796,30.7692,0.0,40.3606,3.1009,ScotishPremierLeague
SC0,30/10/2004,Kilmarnock,Hibernian,H,2.3,3.25,2.75,2.4,3.2,2.6,2004/5,€3.78m,€13.25m,43.4783,41.6667,30.7692,31.25,36.3636,38.4615,H,42.5725,1.281,31.0096,0.34,37.4125,1.4834,ScotishPremierLeague
SC0,30/10/2004,Motherwell,Celtic,A,11.0,5.5,1.2,13.0,6.0,1.15,2004/5,€4.83m,€77.55m,9.0909,7.6923,18.1818,16.6667,83.3333,86.9565,A,8.3916,0.989,17.4242,1.0713,85.1449,2.562,ScotishPremierLeague
SC0,31/10/2004,Rangers,Aberdeen,H,1.28,5.0,10.0,1.3,4.5,8.25,2004/5,€80.78m,€6.88m,78.125,76.9231,20.0,22.2222,10.0,12.1212,H,77.524,0.8499,21.1111,1.5713,11.0606,1.4999,ScotishPremierLeague
SC0,06/11/2004,Celtic,Kilmarnock,H,1.16,6.0,13.0,1.13,6.4,14.0,2004/5,€77.55m,€3.78m,86.2069,88.4956,16.6667,15.625,7.6923,7.1429,H,87.3512,1.6184,16.1458,0.7366,7.4176,0.3885,ScotishPremierLeague
SC0,06/11/2004,Dundee,Dundee United,H,2.3,3.25,2.75,2.25,3.2,2.8,2004/5,€9.05m,€8.13m,43.4783,44.4444,30.7692,31.25,36.3636,35.7143,H,43.9613,0.6831,31.0096,0.34,36.039,0.4591,ScotishPremierLeague
SC0,06/11/2004,Dunfermline,Inverness C,D,1.72,3.4,4.33,1.9,3.15,3.7,2004/5,€6.03m,€2.38m,58.1395,52.6316,29.4118,31.746,23.0947,27.027,H,55.3856,3.8947,30.5789,1.6505,25.0609,2.7806,ScotishPremierLeague
SC0,06/11/2004,Hibernian,Motherwell,H,1.83,3.4,3.75,1.8,3.3,3.9,2004/5,€13.25m,€4.83m,54.6448,55.5556,29.4118,30.303,26.6667,25.641,H,55.1002,0.644,29.8574,0.6302,26.1538,0.7253,ScotishPremierLeague
SC0,07/11/2004,Aberdeen,Hearts,A,2.2,3.3,2.87,2.25,3.2,2.8,2004/5,€6.88m,€11.08m,45.4545,44.4444,30.303,31.25,34.8432,35.7143,H,44.9494,0.7142,30.7765,0.6696,35.2788,0.616,ScotishPremierLeague
SC0,07/11/2004,Livingston,Rangers,A,10.0,5.5,1.25,10.0,5.6,1.2,2004/5,€9.75m,€80.78m,10.0,10.0,18.1818,17.8571,80.0,83.3333,A,10.0,0.0,18.0194,0.2296,81.6666,2.357,ScotishPremierLeague
SC0,13/11/2004,Aberdeen,Dunfermline,H,1.8,3.3,4.0,1.8,3.35,3.85,2004/5,€6.88m,€6.03m,55.5556,55.5556,30.303,29.8507,25.0,25.974,H,55.5556,0.0,30.0768,0.3198,25.487,0.6887,ScotishPremierLeague
SC0,13/11/2004,Celtic,Inverness C,H,1.12,7.0,13.0,1.13,6.0,16.0,2004/5,€77.55m,€2.38m,89.2857,88.4956,14.2857,16.6667,7.6923,6.25,H,88.8906,0.5587,15.4762,1.6836,6.9712,1.0199,ScotishPremierLeague
SC0,13/11/2004,Dundee United,Livingston,H,2.0,3.3,3.3,2.1,3.2,3.1,2004/5,€8.13m,€9.75m,50.0,47.619,30.303,31.25,30.303,32.2581,H,48.8095,1.6836,30.7765,0.6696,31.2806,1.3825,ScotishPremierLeague
SC0,13/11/2004,Kilmarnock,Hearts,D,2.5,3.25,2.5,2.4,3.3,2.55,2004/5,€3.78m,€11.08m,40.0,41.6667,30.7692,30.303,40.0,39.2157,H,40.8333,1.1785,30.5361,0.3297,39.6078,0.5546,ScotishPremierLeague
SC0,13/11/2004,Motherwell,Dundee,H,1.9,3.25,3.6,1.85,3.5,3.5,2004/5,€4.83m,€9.05m,52.6316,54.0541,30.7692,28.5714,27.7778,28.5714,H,53.3428,1.0059,29.6703,1.5541,28.1746,0.5612,ScotishPremierLeague
SC0,14/11/2004,Hibernian,Rangers,A,7.5,4.33,1.4,7.0,4.4,1.35,2004/5,€13.25m,€80.78m,13.3333,14.2857,23.0947,22.7273,71.4286,74.0741,A,13.8095,0.6734,22.911,0.2598,72.7514,1.8707,ScotishPremierLeague
SC0,20/11/2004,Dundee,Hibernian,A,2.6,3.2,2.4,2.55,3.0,2.6,2004/5,€9.05m,€13.25m,38.4615,39.2157,31.25,33.3333,41.6667,38.4615,A,38.8386,0.5333,32.2917,1.4731,40.0641,2.2664,ScotishPremierLeague
SC0,20/11/2004,Dunfermline,Kilmarnock,H,2.3,3.2,2.7,2.35,3.0,2.85,2004/5,€6.03m,€3.78m,43.4783,42.5532,31.25,33.3333,37.037,35.0877,H,43.0157,0.6541,32.2917,1.4731,36.0623,1.3784,ScotishPremierLeague
SC0,20/11/2004,Hearts,Motherwell,A,1.66,3.4,4.5,1.65,3.4,4.75,2004/5,€11.08m,€4.83m,60.241,60.6061,29.4118,29.4118,22.2222,21.0526,H,60.4236,0.2582,29.4118,0.0,21.6374,0.827,ScotishPremierLeague
SC0,20/11/2004,Livingston,Aberdeen,A,2.8,3.25,2.2,2.9,3.2,2.2,2004/5,€9.75m,€6.88m,35.7143,34.4828,30.7692,31.25,45.4545,45.4545,A,35.0986,0.8708,31.0096,0.34,45.4545,0.0,ScotishPremierLeague
SC0,20/11/2004,Rangers,Celtic,H,2.37,3.0,2.75,2.4,3.1,2.7,2004/5,€80.78m,€77.55m,42.1941,41.6667,33.3333,32.2581,36.3636,37.037,H,41.9304,0.3729,32.7957,0.7603,36.7003,0.4762,ScotishPremierLeague
SC0,23/11/2004,Inverness C,Dundee United,D,2.37,3.2,2.62,2.35,3.15,2.65,2004/5,€2.38m,€8.13m,42.1941,42.5532,31.25,31.746,38.1679,37.7358,H,42.3736,0.2539,31.498,0.3507,37.9518,0.3055,ScotishPremierLeague
SC0,27/11/2004,Aberdeen,Dundee United,H,1.61,3.5,5.0,1.65,3.35,4.8,2004/5,€6.88m,€8.13m,62.1118,60.6061,28.5714,29.8507,20.0,20.8333,H,61.359,1.0647,29.211,0.9046,20.4166,0.5892,ScotishPremierLeague
SC0,27/11/2004,Hibernian,Inverness C,H,1.61,3.5,5.0,1.65,3.4,4.7,2004/5,€13.25m,€2.38m,62.1118,60.6061,28.5714,29.4118,20.0,21.2766,H,61.359,1.0647,28.9916,0.5943,20.6383,0.9027,ScotishPremierLeague
SC0,27/11/2004,Kilmarnock,Livingston,A,1.66,3.5,4.5,1.6,3.5,4.9,2004/5,€3.78m,€9.75m,60.241,62.5,28.5714,28.5714,22.2222,20.4082,H,61.3705,1.5974,28.5714,0.0,21.3152,1.2827,ScotishPremierLeague
SC0,27/11/2004,Motherwell,Dunfermline,H,1.9,3.4,3.5,1.9,3.25,3.6,2004/5,€4.83m,€6.03m,52.6316,52.6316,29.4118,30.7692,28.5714,27.7778,H,52.6316,0.0,30.0905,0.9598,28.1746,0.5612,ScotishPremierLeague
SC0,28/11/2004,Dundee,Celtic,D,10.0,5.5,1.25,10.5,5.5,1.2,2004/5,€9.05m,€77.55m,10.0,9.5238,18.1818,18.1818,80.0,83.3333,A,9.7619,0.3367,18.1818,0.0,81.6666,2.357,ScotishPremierLeague
SC0,28/11/2004,Rangers,Hearts,H,1.2,5.5,11.0,1.2,5.0,12.5,2004/5,€80.78m,€11.08m,83.3333,83.3333,18.1818,20.0,9.0909,8.0,H,83.3333,0.0,19.0909,1.2857,8.5454,0.7714,ScotishPremierLeague
SC0,04/12/2004,Aberdeen,Kilmarnock,H,1.66,3.5,4.5,1.75,3.25,4.25,2004/5,€6.88m,€3.78m,60.241,57.1429,28.5714,30.7692,22.2222,23.5294,H,58.692,2.1907,29.6703,1.5541,22.8758,0.9243,ScotishPremierLeague
SC0,04/12/2004,Celtic,Hibernian,H,1.2,5.5,11.0,1.2,5.5,10.5,2004/5,€77.55m,€13.25m,83.3333,83.3333,18.1818,18.1818,9.0909,9.5238,H,83.3333,0.0,18.1818,0.0,9.3074,0.3061,ScotishPremierLeague
SC0,04/12/2004,Dundee United,Motherwell,A,2.37,3.25,2.62,2.5,3.1,2.55,2004/5,€8.13m,€4.83m,42.1941,40.0,30.7692,32.2581,38.1679,39.2157,H,41.097,1.5515,31.5136,1.0528,38.6918,0.7409,ScotishPremierLeague
SC0,04/12/2004,Hearts,Dunfermline,H,1.66,3.5,4.5,1.7,3.15,4.8,2004/5,€11.08m,€6.03m,60.241,58.8235,28.5714,31.746,22.2222,20.8333,H,59.5322,1.0023,30.1587,2.2448,21.5278,0.9821,ScotishPremierLeague
