Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
E0,24/08/2019,Brighton,Southampton,A,2.4,3.3,3.0,2.4,3.2,3.1,2019/20,€200.78m,€210.75m,2.45,3.28,3.18,2.33,3.26,3.44,2.3,3.25,3.3,2.4,0.0,1.0,0.0,0.0,0.5,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516
E0,24/08/2019,Man United,Crystal Palace,A,1.33,5.25,9.0,1.36,5.0,8.5,2019/20,€670.45m,€189.33m,1.36,5.26,9.59,1.37,5.33,9.23,1.33,5.25,9.0,1.3450000000000002,0.015000000000000013,0.9999102795391358,0.011152416356877332,0.005576208178438735,0.5000621881952987,5.125,0.125,0.9995708393473225,0.024390243902439025,0.012195121951219523,0.5002974419988102,8.75,0.25,0.9994110647387552,0.02857142857142857,0.014285714285714235,0.5004081632653061
E0,24/08/2019,Sheffield United,Leicester,A,3.3,3.3,2.25,3.5,3.2,2.2,2019/20,€138.60m,€411.10m,3.52,3.29,2.28,3.19,3.28,2.44,3.25,3.3,2.25,3.4,0.10000000000000009,0.9993759069576513,0.02941176470588238,0.014705882352941124,0.500432525951557,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.225,0.02499999999999991,0.9999089303498085,0.011235955056179735,0.00561797752808979,0.5000631233430123
E0,24/08/2019,Watford,West Ham,A,2.05,3.5,3.5,2.1,3.6,3.4,2019/20,€199.60m,€303.60m,2.16,3.52,3.57,2.16,3.61,3.48,2.15,3.5,3.3,2.075,0.025000000000000133,0.9998952874186193,0.0120481927710844,0.006024096385542244,0.5000725794745245,3.55,0.050000000000000044,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913
E0,24/08/2019,Liverpool,Arsenal,H,1.5,4.6,6.0,1.48,4.75,6.0,2019/20,€1.00bn,€607.65m,1.48,4.98,6.47,1.46,5.12,6.74,1.45,5.0,6.0,1.49,0.010000000000000009,0.9999675080881122,0.00671140939597316,0.003355704697986628,0.50002252150804,4.675,0.07500000000000018,0.9998143382369136,0.01604278074866314,0.008021390374331583,0.5001286854070749,6.0,0.0,1.0,0.0,0.0,0.5
E0,25/08/2019,Bournemouth,Man City,A,15.0,7.5,1.16,13.5,7.0,1.2,2019/20,€272.18m,€1.05bn,14.88,7.52,1.2,17.0,9.5,1.16,17.0,7.5,1.16,14.25,0.75,0.9980008838722995,0.05263157894736842,0.026315789473684292,0.5013850415512466,7.25,0.25,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463,1.18,0.020000000000000018,0.999792765854127,0.0169491525423729,0.00847457627118664,0.5001436368859522
E0,25/08/2019,Tottenham,Newcastle,A,1.2,6.5,14.0,1.22,6.5,13.5,2019/20,€806.80m,€252.48m,1.26,6.46,12.01,1.28,6.21,11.48,1.25,6.0,11.0,1.21,0.010000000000000009,0.9999507304328823,0.008264462809917363,0.004132231404958553,0.5000341506727681,6.5,0.0,1.0,0.0,0.0,0.5,13.75,0.25,0.9997615248696313,0.01818181818181818,0.009090909090909038,0.5001652892561983
E0,25/08/2019,Wolves,Burnley,D,1.85,3.4,4.5,1.83,3.5,4.6,2019/20,€320.33m,€163.88m,1.83,3.52,5.06,1.78,3.51,5.6,1.75,3.4,5.25,1.84,0.010000000000000009,0.9999786935529434,0.005434782608695656,0.0027173913043478937,0.5000147684310018,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,4.55,0.04999999999999982,0.9999128895013563,0.01098901098901095,0.005494505494505475,0.5000603791812583
E0,31/08/2019,Southampton,Man United,D,3.8,3.3,2.05,3.7,3.4,2.05,2019/20,€210.75m,€670.45m,3.83,3.41,2.12,4.12,3.59,1.99,4.0,3.5,1.9,3.75,0.04999999999999982,0.999871756640849,0.013333333333333286,0.006666666666666821,0.5000888888888888,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,2.05,0.0,1.0,0.0,0.0,0.5
E0,31/08/2019,Chelsea,Sheffield United,D,1.36,4.75,9.0,1.34,5.0,9.5,2019/20,€705.85m,€138.60m,1.36,5.12,10.23,1.44,4.65,8.21,1.36,4.75,8.0,1.35,0.010000000000000009,0.999960419527173,0.007407407407407414,0.0037037037037037646,0.5000274348422495,4.875,0.125,0.9995256892936492,0.02564102564102564,0.012820512820512775,0.5003287310979618,9.25,0.25,0.9994730201859837,0.02702702702702703,0.013513513513513598,0.5003652300949598
