Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
N1,18/08/2019,AZ Alkmaar,Groningen,D,1.4,4.75,7.5,1.4,4.75,8.25,2019/20,€130.05m,€30.40m,1.44,4.78,7.39,1.57,4.17,6.09,1.6,4.2,5.25,1.4,0.0,1.0,0.0,2.220446049250313e-16,0.5,4.75,0.0,1.0,0.0,0.0,0.5,7.875,0.375,0.998363672593813,0.047619047619047616,0.023809523809523725,0.5011337868480726
N1,18/08/2019,Feyenoord,Utrecht,D,1.9,4.0,3.5,1.87,4.0,3.75,2019/20,€102.73m,€48.58m,2.0,3.99,3.53,1.95,4.01,3.69,1.85,4.0,3.6,1.885,0.014999999999999902,0.9999543218048231,0.00795755968169756,0.003978779840848601,0.500031661378044,4.0,0.0,1.0,0.0,0.0,0.5,3.625,0.125,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463
N1,18/08/2019,Heracles,PSV Eindhoven,A,7.5,5.0,1.36,6.5,5.5,1.4,2019/20,€22.48m,€219.58m,7.19,5.25,1.4,7.16,5.42,1.39,7.5,4.75,1.36,7.0,0.5,0.9963165195589622,0.07142857142857142,0.03571428571428581,0.5025510204081634,5.25,0.25,0.998363672593813,0.047619047619047616,0.023809523809523725,0.5011337868480725,1.38,0.019999999999999907,0.9998484829291058,0.01449275362318834,0.007246376811594013,0.5001050199537911
N1,24/08/2019,Willem II,FC Emmen,H,1.72,4.0,4.2,1.7,3.8,4.6,2019/20,€21.80m,€13.23m,1.76,4.03,4.49,1.88,3.86,4.1,1.8,3.8,4.0,1.71,0.010000000000000009,0.9999753308152249,0.005847953216374275,0.0029239766081869956,0.5000170992784104,3.9,0.10000000000000009,0.9995256892936492,0.025641025641025664,0.012820512820512775,0.5003287310979619,4.4,0.19999999999999973,0.9985090989176322,0.04545454545454539,0.02272727272727293,0.5010330578512396
N1,24/08/2019,Heracles,Vitesse,D,3.3,3.6,2.05,3.25,3.8,2.0,2019/20,€22.48m,€30.53m,3.28,4.11,2.06,3.22,3.95,2.12,3.4,3.6,2.05,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,2.025,0.02499999999999991,0.9998900524545516,0.012345679012345635,0.006172839506172867,0.500076207895138
N1,24/08/2019,Heerenveen,Twente,D,2.1,3.5,3.25,2.2,3.4,3.1,2019/20,€26.75m,€21.28m,2.23,3.67,3.19,1.94,3.98,3.74,1.85,3.6,4.0,2.1500000000000004,0.050000000000000044,0.9996098363678071,0.02325581395348839,0.011627906976744429,0.5002704164413196,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,3.175,0.07499999999999996,0.9995974498364508,0.023622047244094474,0.011811023622047223,0.5002790005580011
N1,25/08/2019,Waalwijk,Den Haag,A,2.3,3.6,2.8,2.4,3.5,2.7,2019/20,€10.78m,€19.40m,2.41,3.7,2.85,2.37,3.91,2.81,2.25,3.6,2.9,2.3499999999999996,0.050000000000000044,0.9996734260048916,0.021276595744680875,0.010638297872340496,0.5002263467632414,3.55,0.050000000000000044,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116,2.75,0.04999999999999982,0.9997615248696313,0.01818181818181812,0.00909090909090926,0.5001652892561984
N1,25/08/2019,Utrecht,VVV Venlo,A,1.25,5.25,11.0,1.28,5.75,9.0,2019/20,€48.58m,€12.03m,1.31,5.81,9.52,1.31,5.73,9.64,1.28,5.25,10.0,1.2650000000000001,0.015000000000000013,0.9998985723909075,0.011857707509881433,0.005928853754940677,0.5000703026136949,5.5,0.25,0.9985090989176322,0.045454545454545456,0.022727272727272707,0.5010330578512396,10.0,1.0,0.9927744539878083,0.1,0.050000000000000044,0.5049999999999999
N1,25/08/2019,Zwolle,Sparta Rotterdam,D,3.3,3.6,2.0,3.25,3.8,2.0,2019/20,€16.50m,€15.50m,3.34,3.95,2.07,2.62,3.74,2.6,2.55,3.6,2.5,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,2.0,0.0,1.0,0.0,0.0,0.5
N1,30/08/2019,FC Emmen,Zwolle,A,2.45,3.4,2.75,2.45,3.4,2.85,2019/20,€13.23m,€16.50m,2.55,3.65,2.71,2.52,3.73,2.7,2.45,3.4,2.75,2.45,0.0,1.0,0.0,0.0,0.5,3.4,0.0,1.0,0.0,0.0,0.5,2.8,0.050000000000000044,0.9997699662429027,0.017857142857142873,0.008928571428571397,0.5001594387755102
N1,31/08/2019,Heerenveen,For Sittard,D,1.44,4.5,6.5,1.48,4.6,6.5,2019/20,€26.75m,€13.08m,1.48,4.79,6.45,1.4,5.34,7.06,1.36,5.0,7.5,1.46,0.020000000000000018,0.9998646331239297,0.013698630136986314,0.0068493150684934,0.500093826233815,4.55,0.04999999999999982,0.9999128895013563,0.01098901098901095,0.005494505494505475,0.5000603791812583,6.5,0.0,1.0,0.0,0.0,0.5
N1,31/08/2019,Groningen,Heracles,A,1.95,3.6,3.6,2.0,3.7,3.6,2019/20,€30.40m,€22.48m,2.05,3.58,3.74,2.0,3.8,3.69,1.95,3.6,3.6,1.975,0.025000000000000022,0.9998844148717587,0.012658227848101276,0.006329113924050667,0.5000801153661273,3.6500000000000004,0.050000000000000044,0.9998646331239297,0.013698630136986313,0.006849315068493178,0.5000938262338149,3.6,0.0,1.0,0.0,0.0,0.5
N1,31/08/2019,Den Haag,VVV Venlo,H,2.0,3.6,3.5,2.05,3.8,3.4,2019/20,€19.40m,€12.03m,2.1,3.84,3.35,1.99,3.97,3.6,1.95,3.6,3.75,2.025,0.02499999999999991,0.9998900524545516,0.012345679012345635,0.006172839506172867,0.500076207895138,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913
N1,01/09/2019,Twente,Utrecht,H,3.8,3.6,1.9,3.6,3.8,1.95,2019/20,€21.28m,€48.58m,3.63,4.04,1.96,4.87,4.16,1.69,5.25,4.0,1.6,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,1.9249999999999998,0.025000000000000022,0.9998783322990061,0.012987012987013,0.006493506493506329,0.5000843312531624
N1,01/09/2019,Sparta Rotterdam,Ajax,A,9.0,6.5,1.25,9.0,6.25,1.28,2019/20,€15.50m,€400.40m,9.27,6.3,1.29,9.13,6.68,1.28,10.0,6.5,1.22,9.0,0.0,1.0,0.0,0.0,0.5,6.375,0.125,0.9997226475394071,0.0196078431372549,0.009803921568627416,0.5001922337562476,1.2650000000000001,0.015000000000000013,0.9998985723909075,0.011857707509881433,0.005928853754940677,0.5000703026136949
N1,01/09/2019,Vitesse,AZ Alkmaar,H,2.3,3.6,2.8,2.3,3.6,2.95,2019/20,€30.53m,€130.05m,2.35,3.74,2.92,2.83,3.81,2.39,2.8,3.6,2.4,2.3,0.0,1.0,0.0,0.0,0.5,3.6,0.0,1.0,0.0,0.0,0.5,2.875,0.07500000000000018,0.9995090461828581,0.02608695652173919,0.01304347826086949,0.5003402646502835
N1,01/09/2019,Willem II,Feyenoord,A,3.5,3.75,1.95,3.75,3.7,1.95,2019/20,€21.80m,€102.73m,3.82,3.86,1.95,4.36,4.19,1.76,4.33,4.0,1.7,3.625,0.125,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463,3.725,0.02499999999999991,0.9999675080881122,0.00671140939597313,0.003355704697986628,0.5000225215080402,1.95,0.0,1.0,0.0,0.0,0.5
N1,01/09/2019,Waalwijk,PSV Eindhoven,A,13.0,7.0,1.18,13.0,7.25,1.2,2019/20,€10.78m,€219.58m,11.63,7.05,1.23,10.76,6.6,1.25,10.0,6.0,1.25,13.0,0.0,1.0,0.0,0.0,0.5,7.125,0.125,0.9997779672118908,0.017543859649122806,0.00877192982456143,0.5001538935056942,1.19,0.010000000000000009,0.999949060376349,0.008403361344537823,0.004201680672269115,0.5000353082409434
N1,14/09/2019,Ajax,Heerenveen,H,1.1,9.0,21.0,1.14,8.5,17.5,2019/20,€400.40m,€26.75m,1.14,8.7,17.27,1.11,10.3,20.04,1.1,9.0,21.0,1.12,0.019999999999999907,0.9997699662429027,0.017857142857142773,0.008928571428571397,0.5001594387755102,8.75,0.25,0.9994110647387552,0.02857142857142857,0.014285714285714235,0.5004081632653061,19.25,1.75,0.9940302114769566,0.09090909090909091,0.045454545454545414,0.5041322314049588
N1,14/09/2019,AZ Alkmaar,Sparta Rotterdam,H,1.5,4.6,5.5,1.53,4.33,6.0,2019/20,€130.05m,€15.50m,1.53,4.65,5.82,1.57,4.5,5.57,1.53,4.5,5.5,1.5150000000000001,0.015000000000000013,0.9999292854321659,0.00990099009900991,0.004950495049504955,0.5000490148024703,4.465,0.1349999999999998,0.999340468804219,0.03023516237402011,0.01511758118701012,0.5004570825218917,5.75,0.25,0.9986359641585719,0.043478260869565216,0.021739130434782705,0.5009451795841209
N1,14/09/2019,VVV Venlo,Groningen,H,2.8,3.25,2.5,2.95,3.3,2.45,2019/20,€12.03m,€30.40m,3.01,3.32,2.49,3.08,3.37,2.42,3.1,3.25,2.3,2.875,0.07500000000000018,0.9995090461828581,0.02608695652173919,0.01304347826086949,0.5003402646502835,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.475,0.02499999999999991,0.999926399368686,0.010101010101010065,0.005050505050504972,0.5000510152025305
N1,14/09/2019,PSV Eindhoven,Vitesse,H,1.4,4.5,8.0,1.42,4.75,7.25,2019/20,€219.58m,€30.53m,1.43,4.79,7.4,1.38,5.16,8.05,1.4,4.33,8.0,1.41,0.010000000000000009,0.9999637164343959,0.0070921985815602905,0.0035460992907800915,0.50002514964036,4.625,0.125,0.9994730201859837,0.02702702702702703,0.013513513513513598,0.5003652300949598,7.625,0.375,0.9982545693874834,0.04918032786885246,0.024590163934426146,0.5012093523246439
