Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
B1,02/10/2004,Germinal,Lokeren,A,2.1,3.2,3.0,2.0,3.3,3.25,2004/5,€15.67m,€18.73m,47.619,50.0,31.25,30.303,33.3333,30.7692,H,48.8095,1.6836,30.7765,0.6696,32.0513,1.8131,JupilerLeague
B1,02/10/2004,St Truiden,Charleroi,D,2.4,3.25,2.5,2.3,3.2,2.75,2004/5,€12.10m,€12.15m,41.6667,43.4783,30.7692,31.25,40.0,36.3636,H,42.5725,1.281,31.0096,0.34,38.1818,2.5713,JupilerLeague
B1,03/10/2004,Beveren,Lierse,H,2.1,3.2,3.0,2.15,3.25,2.95,2004/5,€14.30m,€14.83m,47.619,46.5116,31.25,30.7692,33.3333,33.8983,H,47.0653,0.7831,31.0096,0.34,33.6158,0.3995,JupilerLeague
B1,03/10/2004,Club Brugge,Genk,D,1.33,4.5,7.0,1.35,4.2,7.5,2004/5,€53.03m,€30.45m,75.188,74.0741,22.2222,23.8095,14.2857,13.3333,H,74.631,0.7876,23.0158,1.1224,13.8095,0.6734,JupilerLeague
B1,03/10/2004,Standard,Mouscron,H,1.83,3.25,3.6,1.8,3.4,3.8,2004/5,€43.55m,€15.60m,54.6448,55.5556,30.7692,29.4118,27.7778,26.3158,H,55.1002,0.644,30.0905,0.9598,27.0468,1.0338,JupilerLeague
B1,03/10/2004,Westerlo,Louvieroise,A,2.0,3.2,3.2,2.1,3.25,3.05,2004/5,€13.40m,€17.80m,50.0,47.619,31.25,30.7692,31.25,32.7869,H,48.8095,1.6836,31.0096,0.34,32.0184,1.0868,JupilerLeague
B1,15/10/2004,FC Brussels,Anderlecht,A,6.0,3.75,1.44,6.25,3.8,1.45,2004/5,€10.22m,€63.60m,16.6667,16.0,26.6667,26.3158,69.4444,68.9655,A,16.3334,0.4714,26.4912,0.2481,69.205,0.3386,JupilerLeague
B1,16/10/2004,Genk,Bergen,D,1.36,4.0,7.0,1.3,4.3,9.0,2004/5,€30.45m,€15.63m,73.5294,76.9231,25.0,23.2558,14.2857,11.1111,H,75.2262,2.3997,24.1279,1.2333,12.6984,2.2448,JupilerLeague
B1,16/10/2004,Lierse,Gent,H,2.4,3.1,2.6,2.55,3.2,2.45,2004/5,€14.83m,€26.63m,41.6667,39.2157,32.2581,31.25,38.4615,40.8163,H,40.4412,1.7331,31.754,0.7128,39.6389,1.6651,JupilerLeague
B1,16/10/2004,Mouscron,Oostende,D,1.44,3.75,6.0,1.4,4.0,6.65,2004/5,€15.60m,€8.60m,69.4444,71.4286,26.6667,25.0,16.6667,15.0376,H,70.4365,1.403,25.8334,1.1785,15.8521,1.1519,JupilerLeague
