Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
I1,03/04/2016,Chievo,Palermo,H,2.1,3.4,3.6,2.1,3.2,3.6,2.3,3.2,3.0,2.1,3.1,3.6,2.2,3.2,3.4,2015/16,€49.78m,€68.68m,2.15,3.2,3.8,2.158333333333333,0.07312470322826761,2.584143342045714,0.03388017137989233,0.017374517374517368,0.16684612701737822,3.216666666666667,0.08975274678557497,2.5844061449131344,0.027902408327121753,0.012953367875647631,0.16678950673992404,3.5,0.2516611478423583,2.5811331360594894,0.07190318509781667,0.03650793650793652,0.16768296133499358,H
I1,03/04/2016,Fiorentina,Sampdoria,D,1.62,3.8,6.0,1.6,3.8,5.5,1.6,3.7,5.4,1.62,4.0,5.25,1.62,3.8,5.5,2015/16,€190.53m,€126.53m,1.57,4.0,6.5,1.6049999999999998,0.018027756377319962,2.5848711681738137,0.011232246964062284,0.005711318795431103,0.16668815043275978,3.8499999999999996,0.11180339887498948,2.584356146819396,0.029039843863633636,0.015151515151515277,0.16680452602890805,5.691666666666666,0.4285796956874596,2.580957795038635,0.07529950729501488,0.03928745729624197,0.16750099311113825,H
I1,03/04/2016,Genoa,Frosinone,H,1.53,4.0,6.5,1.5,4.0,6.5,1.55,3.9,5.6,1.55,4.0,6.0,1.57,3.6,7.0,2015/16,€117.55m,€38.30m,1.53,4.1,7.0,1.5383333333333333,0.02192157739660986,2.584815757852348,0.01425021282553187,0.007764535933550004,0.1667008832037738,3.9333333333333336,0.15986105077709056,2.583749023245842,0.04064264002807387,0.019774011299435262,0.16697430928644677,6.433333333333334,0.5055250296034368,2.580455095719554,0.07857902014561194,0.043177892918825705,0.16777537180249855,H
I1,03/04/2016,Inter,Torino,A,1.8,3.75,4.33,1.75,3.5,4.6,1.7,3.6,4.7,1.75,3.4,4.75,1.83,3.4,4.5,2015/16,€294.28m,€89.83m,1.8,3.5,5.0,1.7716666666666667,0.04297932319409213,2.584536856724532,0.0242592605046616,0.013327061774851018,0.16676636199526212,3.525,0.12162099599438692,2.5841106127573514,0.0345024102111736,0.018518518518518517,0.1668559822549573,4.6466666666666665,0.20909859450082924,2.5835048108239316,0.04499969752528606,0.025107604017216817,0.16700101225197891,H
I1,03/04/2016,Lazio,Roma,A,3.3,3.4,2.2,3.4,3.25,2.15,3.2,3.2,2.2,3.5,3.3,2.1,3.4,3.2,2.2,2015/16,€175.30m,€332.90m,3.75,3.25,2.15,3.4250000000000003,0.17260262647673316,2.583149884749705,0.05039492743846223,0.027169505271695066,0.16706526866697352,3.266666666666667,0.06871842709362758,2.58464530131832,0.021036253191926806,0.01105442176870755,0.16673769996174678,2.1666666666666665,0.03726779962499656,2.5847482964084096,0.017200522903844568,0.00897435897435886,0.1667170854785269,A
I1,03/04/2016,Udinese,Napoli,H,6.5,4.33,1.5,7.0,4.25,1.44,7.0,4.0,1.45,6.0,4.2,1.5,6.5,4.0,1.53,2015/16,€93.00m,€321.93m,7.0,4.33,1.5,6.666666666666667,0.37267799624996495,2.582679477303092,0.05590169943749474,0.029166666666666702,0.16722965327979128,4.185,0.1384136313132971,2.584169785442528,0.03307374702826693,0.017854772335059194,0.16685403371474128,1.4866666666666666,0.03144660377352204,2.584638948221896,0.021152424062907203,0.011210762331838403,0.1667423669337748,A
I1,04/04/2016,Bologna,Hellas Verona,A,1.85,3.5,4.5,1.83,3.4,4.4,2.0,3.3,3.6,1.85,3.3,4.5,1.85,3.4,4.5,2015/16,€75.23m,€47.73m,1.87,3.5,4.5,1.875,0.057081812631812334,2.5843045901519854,0.030443633403633246,0.013481481481481344,0.16680700815621008,3.4000000000000004,0.08164965809277268,2.5845464386929238,0.024014605321403728,0.013071895424836694,0.16676286673085366,4.333333333333333,0.3299831645537222,2.580576087600355,0.07614996105085897,0.0307692307692308,0.1679531611006091,H
I1,09/04/2016,Chievo,Carpi,H,2.0,3.2,4.0,2.1,3.2,3.6,2.3,3.1,3.1,2.05,3.1,3.8,2.1,3.1,3.8,2015/16,€49.78m,€52.05m,2.1,3.2,3.9,2.108333333333333,0.0931694990624912,2.583576178514143,0.04419106674900769,0.021739130434782622,0.16696318524747053,3.1500000000000004,0.050000000000000044,2.5847807476814992,0.015873015873015886,0.007936507936508047,0.16670865877215088,3.6999999999999997,0.2943920288775948,2.580237095959335,0.07956541321016077,0.04054054054054049,0.16796964375050044,H
I1,09/04/2016,Frosinone,Inter,A,6.0,3.75,1.57,5.75,3.8,1.57,5.5,4.0,1.55,5.25,3.8,1.62,5.0,4.0,1.65,2015/16,€38.30m,€294.28m,6.5,4.0,1.57,5.666666666666667,0.4930066485916347,2.579542392247331,0.0870011732808767,0.04901960784313722,0.167881647298814,3.891666666666667,0.10960788698304927,2.584389817646315,0.02816476753311758,0.01463240542469682,0.16679944707329902,1.5883333333333336,0.034840908267278085,2.5846172713146305,0.02193551412420446,0.011367611052815724,0.16674432242330547,A
I1,09/04/2016,Milan,Juventus,A,4.0,3.1,2.05,3.75,3.25,2.0,3.6,3.3,2.0,3.75,3.1,2.1,3.8,3.1,2.1,2015/16,€213.83m,€440.00m,4.0,3.1,2.15,3.8166666666666664,0.14337208778404376,2.583945294904981,0.03756473915739138,0.020378457059679583,0.1669010899059235,3.158333333333333,0.08374896350934066,2.5844587751092116,0.026516822219316307,0.012752858399296324,0.1667790659702047,2.066666666666667,0.05527707983925667,2.5844466017339056,0.026746974115769356,0.014784946236559154,0.16678570385452302,A
