Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
SP1,21/09/2005,Malaga,Alaves,D,1.83,3.3,4.33,2.0,3.15,3.5,1.9,3.1,3.5,1.91,3.2,3.5,1.72,3.3,4.2,2005/6,€28.03m,€34.83m,1.85,3.25,3.75,54.6448,50.0,58.1395,52.6316,54.0541,52.356,30.303,31.746,30.303,32.2581,30.7692,31.25,23.0947,28.5714,23.8095,28.5714,26.6667,28.5714,H,53.6377,2.7328,31.1049,0.7951,26.5475,2.5188,LaLigaPrimeraDivision
SP1,21/09/2005,Santander,Espanol,H,2.3,3.25,2.87,2.4,3.05,2.8,2.4,3.0,2.6,2.38,3.2,2.6,2.3,3.2,2.62,2005/6,€30.35m,€58.98m,2.4,3.1,2.6,43.4783,41.6667,43.4783,41.6667,41.6667,42.0168,30.7692,32.7869,31.25,33.3333,32.2581,31.25,34.8432,35.7143,38.1679,38.4615,38.4615,38.4615,H,42.3289,0.9006,31.9412,1.0082,37.3516,1.6331,LaLigaPrimeraDivision
SP1,21/09/2005,Sevilla,Cadiz,D,1.57,3.6,6.0,1.55,3.5,5.75,1.6,3.4,4.6,1.5,3.4,6.0,1.5,3.4,6.0,2005/6,€96.85m,€22.15m,1.55,3.3,5.5,63.6943,64.5161,66.6667,62.5,64.5161,66.6667,27.7778,28.5714,29.4118,29.4118,30.303,29.4118,16.6667,17.3913,16.6667,21.7391,18.1818,16.6667,H,64.76,1.6513,29.1479,0.8663,17.8854,1.9819,LaLigaPrimeraDivision
SP1,21/09/2005,Sociedad,Ath Madrid,H,2.37,3.2,2.8,2.7,3.0,2.5,2.5,3.0,2.5,2.25,3.2,2.75,2.25,3.2,2.75,2005/6,€53.83m,€134.15m,2.4,3.2,2.65,42.1941,37.037,44.4444,40.0,41.6667,44.4444,31.25,33.3333,31.25,33.3333,31.25,31.25,35.7143,40.0,36.3636,40.0,37.7358,36.3636,H,41.6311,2.8254,31.9444,1.0758,37.6962,1.9024,LaLigaPrimeraDivision
SP1,21/09/2005,Villarreal,Celta,A,1.66,3.6,5.0,1.7,3.3,4.75,1.75,3.2,4.0,1.73,3.2,4.33,1.66,3.3,4.5,2005/6,€82.00m,€48.30m,1.65,3.25,5.0,60.241,58.8235,60.241,57.1429,60.6061,57.8035,27.7778,30.303,30.303,31.25,30.7692,31.25,20.0,21.0526,22.2222,25.0,20.0,23.0947,H,59.143,1.4456,30.2755,1.2948,21.8949,1.9534,LaLigaPrimeraDivision
SP1,21/09/2005,Zaragoza,Osasuna,H,1.8,3.25,4.33,1.8,3.2,4.25,1.9,3.1,3.5,1.91,3.2,3.5,1.72,3.25,4.2,2005/6,€66.55m,€40.70m,1.85,3.2,3.75,55.5556,55.5556,58.1395,52.6316,54.0541,52.356,30.7692,31.25,30.7692,32.2581,31.25,31.25,23.0947,23.5294,23.8095,28.5714,26.6667,28.5714,H,54.7154,2.1671,31.2578,0.5437,25.7072,2.5494,LaLigaPrimeraDivision
SP1,22/09/2005,Real Madrid,Ath Bilbao,H,1.44,4.0,7.5,1.4,4.0,7.5,1.5,3.7,5.0,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€281.60m,€47.23m,1.4,3.75,7.0,69.4444,71.4286,71.4286,66.6667,71.4286,71.4286,25.0,25.0,26.6667,27.027,26.6667,26.6667,13.3333,13.3333,14.2857,20.0,14.2857,14.2857,H,70.3043,1.9508,26.1712,0.9179,14.9206,2.5317,LaLigaPrimeraDivision
SP1,24/09/2005,Ath Madrid,Getafe,A,1.66,3.4,5.5,1.65,3.35,5.0,1.75,3.2,4.0,1.67,3.2,5.0,1.61,3.3,5.0,2005/6,€134.15m,€36.38m,1.7,3.25,4.5,60.241,60.6061,62.1118,57.1429,58.8235,59.8802,29.4118,29.8507,30.303,31.25,30.7692,31.25,18.1818,20.0,20.0,25.0,22.2222,20.0,H,59.8009,1.6858,30.4724,0.7533,20.9007,2.3823,LaLigaPrimeraDivision
SP1,24/09/2005,Betis,Barcelona,A,3.4,3.25,2.1,3.65,3.15,1.95,3.1,3.0,2.1,3.0,3.2,2.1,3.0,3.2,2.1,2005/6,€85.95m,€327.50m,3.25,3.2,2.0,29.4118,27.3973,33.3333,32.2581,30.7692,33.3333,30.7692,31.746,31.25,33.3333,31.25,31.25,47.619,51.2821,47.619,47.619,50.0,47.619,A,31.0838,2.3658,31.5998,0.9037,48.6264,1.6124,LaLigaPrimeraDivision
SP1,24/09/2005,Espanol,Villarreal,A,2.3,3.2,3.0,2.4,3.0,2.85,2.3,3.0,2.7,2.2,3.2,2.8,2.25,3.2,2.75,2005/6,€58.98m,€82.00m,2.1,3.2,3.0,43.4783,41.6667,44.4444,43.4783,47.619,45.4545,31.25,33.3333,31.25,33.3333,31.25,31.25,33.3333,35.0877,36.3636,37.037,33.3333,35.7143,H,44.3569,2.0315,31.9444,1.0758,35.1449,1.5464,LaLigaPrimeraDivision
