Div,Date,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeTeam,AwayTeam,VCH,VCD,VCA,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
G1,25/09/2005,H,1.9,3.2,3.6,2.0,2.9,3.9,2.0,3.0,3.3,1.83,3.2,3.75,1.85,3.1,3.8,2005/6,Ionikos,Kallithea,2.0,3.0,3.5,€9.13m,€9.15m,52.6316,50.0,54.0541,50.0,50.0,54.6448,31.25,34.4828,32.2581,33.3333,33.3333,31.25,27.7778,25.641,26.3158,30.303,28.5714,26.6667,H,51.8884,2.1697,32.6512,1.2936,27.546,1.7101,EthnikiKatigoria
G1,25/09/2005,A,3.2,3.0,2.1,3.15,3.05,2.2,2.9,3.0,2.2,3.75,3.2,1.83,3.0,3.05,2.15,2005/6,Larisa,AEK,3.4,3.1,2.0,€11.90m,€41.05m,31.25,31.746,33.3333,34.4828,29.4118,26.6667,33.3333,32.7869,32.7869,33.3333,32.2581,31.25,47.619,45.4545,46.5116,45.4545,50.0,54.6448,A,31.1484,2.8057,32.6248,0.785,48.2807,3.5497,EthnikiKatigoria
G1,25/09/2005,A,2.2,3.0,3.0,2.1,3.1,3.3,2.45,3.0,2.55,2.2,3.0,3.0,2.25,2.95,2.95,2005/6,OFI Crete,Iraklis,2.2,3.1,3.0,€14.55m,€17.15m,45.4545,47.619,44.4444,40.8163,45.4545,45.4545,33.3333,32.2581,33.8983,33.3333,32.2581,33.3333,33.3333,30.303,33.8983,39.2157,33.3333,33.3333,H,44.8739,2.2448,33.0691,0.6652,33.9028,2.9037,EthnikiKatigoria
G1,25/09/2005,H,1.5,3.5,6.0,1.45,3.65,7.25,1.5,3.7,5.0,1.62,3.6,4.5,1.65,3.15,5.0,2005/6,PAOK,Egaleo,1.55,3.4,5.5,€25.80m,€16.68m,66.6667,68.9655,60.6061,66.6667,64.5161,61.7284,28.5714,27.3973,31.746,27.027,29.4118,27.7778,16.6667,13.7931,20.0,20.0,18.1818,22.2222,H,64.8583,3.2064,28.6552,1.7399,18.4773,2.9654,EthnikiKatigoria
G1,25/09/2005,H,1.4,3.6,7.5,1.4,3.9,7.75,1.4,3.9,6.0,1.36,3.75,8.0,1.4,3.5,8.0,2005/6,Xanthi,Levadeiakos,1.45,3.75,6.5,€23.15m,€9.45m,71.4286,71.4286,71.4286,71.4286,68.9655,73.5294,27.7778,25.641,28.5714,25.641,26.6667,26.6667,13.3333,12.9032,12.5,16.6667,15.3846,12.5,H,71.3682,1.4463,26.8274,1.1672,13.8813,1.7373,EthnikiKatigoria
G1,26/09/2005,A,2.6,3.0,2.5,2.75,2.9,2.55,2.8,2.9,2.3,2.5,2.9,2.6,2.5,2.9,2.6,2005/6,Kalamaria,Atromitos,2.6,3.0,2.5,€10.20m,€11.80m,38.4615,36.3636,40.0,35.7143,38.4615,40.0,33.3333,34.4828,34.4828,34.4828,33.3333,34.4828,40.0,39.2157,38.4615,43.4783,40.0,38.4615,A,38.1668,1.7978,34.0996,0.5936,39.9362,1.8667,EthnikiKatigoria
G1,01/10/2005,A,7.0,4.0,1.36,9.0,4.5,1.3,7.0,4.0,1.35,8.0,4.33,1.3,7.5,4.0,1.35,2005/6,Kallithea,Panathinaikos,8.5,4.35,1.3,€9.15m,€60.68m,14.2857,11.1111,13.3333,14.2857,11.7647,12.5,25.0,22.2222,25.0,25.0,22.9885,23.0947,73.5294,76.9231,74.0741,74.0741,76.9231,76.9231,A,12.8801,1.3172,23.8842,1.2588,75.4078,1.6718,EthnikiKatigoria
G1,01/10/2005,H,1.9,3.2,3.5,1.9,3.05,4.0,1.9,3.1,3.5,1.9,3.1,3.5,1.85,3.25,3.65,2005/6,Levadeiakos,Panionios,1.9,3.1,3.75,€9.45m,€14.50m,52.6316,52.6316,54.0541,52.6316,52.6316,52.6316,31.25,32.7869,30.7692,32.2581,32.2581,32.2581,28.5714,25.0,27.3973,28.5714,26.6667,28.5714,H,52.8687,0.5807,31.9301,0.7572,27.463,1.4416,EthnikiKatigoria
G1,02/10/2005,A,2.62,2.9,2.5,2.75,3.0,2.6,2.8,3.0,2.4,2.75,2.9,2.4,2.85,2.8,2.4,2005/6,AEK,Olympiakos,2.65,3.0,2.5,€41.05m,€62.55m,38.1679,36.3636,35.0877,35.7143,37.7358,36.3636,34.4828,33.3333,35.7143,33.3333,33.3333,34.4828,40.0,38.4615,41.6667,41.6667,40.0,41.6667,A,36.5722,1.177,34.1133,0.9656,40.5769,1.3194,EthnikiKatigoria
G1,02/10/2005,D,2.2,3.0,3.0,2.25,2.85,3.3,2.1,2.9,3.2,2.3,2.9,2.9,2.25,2.8,3.1,2005/6,Akratitos,Ionikos,2.3,2.9,3.0,€9.95m,€9.13m,45.4545,44.4444,44.4444,47.619,43.4783,43.4783,33.3333,35.0877,35.7143,34.4828,34.4828,34.4828,33.3333,30.303,32.2581,31.25,33.3333,34.4828,H,44.8198,1.5569,34.5973,0.7906,32.4934,1.5341,EthnikiKatigoria
