Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
N1,18/09/2005,AZ Alkmaar,Ajax,H,2.5,3.25,2.5,2.45,3.2,2.55,2.5,3.0,2.5,2.38,3.2,2.6,2.4,3.25,2.5,2005/6,€49.50m,€87.25m,2.4,3.4,2.5,40.0,40.8163,41.6667,40.0,41.6667,42.0168,30.7692,31.25,30.7692,33.3333,29.4118,31.25,40.0,39.2157,40.0,40.0,40.0,38.4615,H,41.0278,0.889,31.1306,1.2725,39.6129,0.6454,Eredivisie
N1,18/09/2005,Feyenoord,Heerenveen,H,1.4,3.75,7.0,1.45,3.7,6.5,1.4,3.9,6.0,1.4,3.75,7.0,1.36,4.0,7.0,2005/6,€76.88m,€41.08m,1.35,4.35,6.5,71.4286,68.9655,73.5294,71.4286,74.0741,71.4286,26.6667,27.027,25.0,25.641,22.9885,26.6667,14.2857,15.3846,14.2857,16.6667,15.3846,14.2857,H,71.8091,1.8226,25.665,1.5145,15.0488,0.9581,Eredivisie
N1,18/09/2005,Groningen,PSV Eindhoven,H,6.0,3.5,1.5,5.0,3.5,1.6,5.4,3.8,1.45,6.0,3.4,1.5,6.0,3.75,1.44,2005/6,€13.48m,€96.65m,6.5,3.75,1.45,16.6667,20.0,16.6667,18.5185,15.3846,16.6667,28.5714,28.5714,26.6667,26.3158,26.6667,29.4118,66.6667,62.5,69.4444,68.9655,68.9655,66.6667,A,17.3172,1.652,27.7006,1.3039,67.2015,2.605,Eredivisie
N1,18/09/2005,Roda,Willem II,A,1.72,3.5,4.0,1.9,3.3,3.55,1.8,3.1,3.8,1.8,3.25,3.75,1.75,3.5,3.75,2005/6,€25.85m,€18.58m,1.8,3.4,3.75,58.1395,52.6316,57.1429,55.5556,55.5556,55.5556,28.5714,30.303,28.5714,32.2581,29.4118,30.7692,25.0,28.169,26.6667,26.3158,26.6667,26.6667,H,55.7635,1.8701,29.9808,1.4288,26.5808,1.0113,Eredivisie
N1,18/09/2005,Utrecht,Vitesse,H,2.2,3.25,2.8,2.25,3.2,2.8,2.3,3.1,2.6,2.1,3.4,2.8,2.2,3.35,2.7,2005/6,€18.45m,€25.75m,2.25,3.4,2.65,45.4545,44.4444,45.4545,43.4783,44.4444,47.619,30.7692,31.25,29.8507,32.2581,29.4118,29.4118,35.7143,35.7143,37.037,38.4615,37.7358,35.7143,H,45.1492,1.4193,30.4919,1.1415,36.7295,1.1999,Eredivisie
N1,23/09/2005,Heerenveen,Nijmegen,H,1.72,3.4,4.2,1.75,3.4,4.05,1.7,3.2,4.2,1.7,3.4,4.2,1.75,3.4,3.85,2005/6,€41.08m,€17.88m,1.7,3.6,4.0,58.1395,57.1429,57.1429,58.8235,58.8235,58.8235,29.4118,29.4118,29.4118,31.25,27.7778,29.4118,23.8095,24.6914,25.974,23.8095,25.0,23.8095,H,58.1493,0.8233,29.4458,1.0993,24.5157,0.8818,Eredivisie
N1,24/09/2005,Ajax,Roda,H,1.28,4.5,9.0,1.25,4.75,9.6,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.8,8.5,2005/6,€87.25m,€25.85m,1.3,4.5,7.5,78.125,80.0,80.0,80.0,76.9231,80.0,22.2222,21.0526,20.8333,22.2222,22.2222,22.2222,11.1111,10.4167,11.7647,11.1111,13.3333,10.0,H,79.1747,1.3339,21.7958,0.6642,11.2895,1.174,Eredivisie
N1,24/09/2005,PSV Eindhoven,Roosendaal,H,1.16,6.0,11.0,1.15,6.0,13.0,1.1,7.0,15.0,1.14,6.0,12.0,1.11,6.5,15.0,2005/6,€96.65m,€10.85m,1.12,6.5,13.0,86.2069,86.9565,90.0901,90.9091,89.2857,87.7193,16.6667,16.6667,15.3846,14.2857,15.3846,16.6667,9.0909,7.6923,6.6667,6.6667,7.6923,8.3333,H,88.5279,1.8545,15.8425,0.988,7.6904,0.9456,Eredivisie
N1,24/09/2005,Vitesse,Groningen,H,1.83,3.25,3.75,1.85,3.3,3.7,1.8,3.1,3.8,1.83,3.4,3.6,1.85,3.35,3.5,2005/6,€25.75m,€13.48m,1.85,3.4,3.6,54.6448,54.0541,54.0541,55.5556,54.0541,54.6448,30.7692,30.303,29.8507,32.2581,29.4118,29.4118,26.6667,27.027,28.5714,26.3158,27.7778,27.7778,H,54.5012,0.5921,30.3341,1.0795,27.3561,0.8365,Eredivisie
N1,24/09/2005,Waalwijk,Utrecht,A,1.66,3.4,4.5,1.7,3.4,4.3,1.75,3.2,4.0,1.73,3.4,4.0,1.75,3.4,3.85,2005/6,€16.67m,€18.45m,1.7,3.6,4.0,60.241,58.8235,57.1429,57.1429,58.8235,57.8035,29.4118,29.4118,29.4118,31.25,27.7778,29.4118,22.2222,23.2558,25.974,25.0,25.0,25.0,H,58.3296,1.2029,29.4458,1.0993,24.4087,1.3863,Eredivisie
N1,24/09/2005,Willem II,Den Haag,H,1.8,3.4,3.75,1.8,3.3,3.9,1.8,3.1,3.8,1.73,3.4,4.0,1.75,3.4,3.85,2005/6,€18.58m,€17.50m,1.7,3.6,4.0,55.5556,55.5556,57.1429,55.5556,58.8235,57.8035,29.4118,30.303,29.4118,32.2581,27.7778,29.4118,26.6667,25.641,25.974,26.3158,25.0,25.0,H,56.7394,1.403,29.7624,1.4716,25.7662,0.685,Eredivisie
N1,25/09/2005,NAC Breda,AZ Alkmaar,H,3.75,3.25,1.83,3.65,3.2,1.9,4.0,3.2,1.75,3.4,3.25,1.91,3.65,3.4,1.8,2005/6,€18.35m,€49.50m,3.8,3.4,1.8,26.6667,27.3973,27.3973,25.0,26.3158,29.4118,30.7692,31.25,29.4118,31.25,29.4118,30.7692,54.6448,52.6316,55.5556,57.1429,55.5556,52.356,A,27.0315,1.4633,30.477,0.8527,54.6478,1.8542,Eredivisie
N1,25/09/2005,Sparta Rotterdam,Heracles,H,2.2,3.25,2.8,2.2,3.2,2.9,2.1,3.0,3.1,2.0,3.4,3.0,2.0,3.35,3.05,2005/6,€11.38m,€9.75m,2.1,3.25,3.0,45.4545,45.4545,50.0,47.619,47.619,50.0,30.7692,31.25,29.8507,33.3333,30.7692,29.4118,35.7143,34.4828,32.7869,32.2581,33.3333,33.3333,H,47.6912,2.0336,30.8974,1.3706,33.6515,1.252,Eredivisie
