Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
D1,19/09/2004,Freiburg,Bochum,1,1,D,0,0,2.3,3.2,2.7,2.3,3.3,2.75,2.2,3.0,2.9,2.3,3.2,2.62,2004/5,€22.43m,€31.40m
D1,19/09/2004,Hertha,Stuttgart,0,0,D,0,0,2.6,3.2,2.4,2.45,3.15,2.65,2.4,2.9,2.7,2.4,3.1,2.6,2004/5,€71.78m,€79.50m
D1,25/09/2004,Bayern Munich,Freiburg,3,1,H,2,1,1.28,4.5,8.5,1.25,5.0,9.8,1.3,4.2,8.0,1.3,4.33,8.0,2004/5,€175.30m,€22.43m
D1,25/09/2004,Bochum,Werder Bremen,1,4,A,0,0,2.62,3.2,2.37,2.6,3.3,2.4,2.6,3.0,2.4,2.5,3.1,2.5,2004/5,€31.40m,€98.48m
D1,25/09/2004,Hannover,Schalke 04,1,0,H,0,0,2.5,3.2,2.5,2.6,3.3,2.4,2.5,3.0,2.5,2.6,3.1,2.4,2004/5,€42.98m,€86.33m
D1,25/09/2004,M'gladbach,Hansa Rostock,2,2,D,2,0,1.83,3.25,3.75,1.8,3.4,4.0,1.8,3.1,3.8,1.83,3.2,3.75,2004/5,€50.93m,€25.90m
D1,25/09/2004,Nurnberg,Bielefeld,1,2,A,0,1,1.8,3.25,4.0,1.75,3.4,4.3,1.85,3.1,3.6,1.83,3.2,3.75,2004/5,€34.90m,€24.65m
D1,25/09/2004,Stuttgart,Leverkusen,3,0,H,2,0,2.2,3.25,2.8,2.15,3.2,3.1,2.2,3.0,2.9,2.1,3.1,3.1,2004/5,€79.50m,€86.93m
D1,25/09/2004,Wolfsburg,Kaiserslautern,2,1,H,1,0,1.61,3.4,5.0,1.65,3.5,4.8,1.65,3.3,4.4,1.7,3.3,4.33,2004/5,€59.30m,€33.75m
D1,26/09/2004,Hamburg,Hertha,2,1,H,1,1,2.1,3.25,3.0,2.2,3.2,3.0,2.1,3.0,3.1,2.15,3.1,3.0,2004/5,€65.60m,€71.78m
D1,26/09/2004,Mainz,Dortmund,1,1,D,0,1,2.62,3.2,2.37,2.8,3.25,2.3,2.9,3.0,2.2,2.75,3.1,2.3,2004/5,€16.73m,€78.33m
D1,28/09/2004,Hannover,Bielefeld,0,1,A,0,0,1.83,3.25,3.75,1.8,3.4,4.0,1.8,3.1,3.8,1.9,3.1,3.6,2004/5,€42.98m,€24.65m
D1,02/10/2004,Dortmund,Nurnberg,2,2,D,2,2,1.57,3.4,5.5,1.5,3.9,5.6,1.5,3.7,5.0,1.53,3.5,5.5,2004/5,€78.33m,€34.90m
D1,02/10/2004,Freiburg,Mainz,1,2,A,0,1,1.9,3.25,3.5,2.0,3.25,3.4,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€22.43m,€16.73m
D1,02/10/2004,Hansa Rostock,Hannover,1,3,A,0,2,2.0,3.25,3.25,1.95,3.3,3.5,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€25.90m,€42.98m
D1,02/10/2004,Kaiserslautern,Hertha,0,2,A,0,1,2.0,3.25,3.25,2.1,3.2,3.2,2.0,3.1,3.2,2.1,3.1,3.1,2004/5,€33.75m,€71.78m
D1,02/10/2004,Leverkusen,Hamburg,3,0,H,1,0,1.61,3.4,5.0,1.5,3.9,5.6,1.65,3.3,4.4,1.57,3.3,5.5,2004/5,€86.93m,€65.60m
D1,02/10/2004,Werder Bremen,Bayern Munich,1,2,A,0,1,2.37,3.2,2.62,2.4,3.3,2.6,2.5,3.0,2.5,2.4,3.1,2.6,2004/5,€98.48m,€175.30m
D1,02/10/2004,Wolfsburg,M'gladbach,2,1,H,2,1,1.61,3.4,5.0,1.65,3.5,4.8,1.65,3.3,4.4,1.57,3.5,5.0,2004/5,€59.30m,€50.93m
D1,03/10/2004,Bielefeld,Stuttgart,0,2,A,0,1,3.25,3.25,2.0,3.7,3.3,1.9,3.5,3.1,1.9,3.0,3.1,2.15,2004/5,€24.65m,€79.50m
D1,03/10/2004,Schalke 04,Bochum,3,2,H,3,0,1.9,3.25,3.5,1.75,3.4,4.2,1.8,3.1,3.8,1.8,3.1,4.0,2004/5,€86.33m,€31.40m
D1,16/10/2004,Bayern Munich,Schalke 04,0,1,A,0,0,1.57,3.4,5.5,1.5,3.9,5.6,1.5,3.7,5.0,1.53,3.5,5.5,2004/5,€175.30m,€86.33m
D1,16/10/2004,Bochum,Hansa Rostock,0,1,A,0,0,1.8,3.25,4.0,1.8,3.4,4.0,1.8,3.1,3.8,1.83,3.2,3.75,2004/5,€31.40m,€25.90m
D1,16/10/2004,Hamburg,Bielefeld,0,2,A,0,0,1.72,3.25,4.33,1.7,3.5,4.4,1.75,3.2,4.0,1.72,3.2,4.33,2004/5,€65.60m,€24.65m
D1,16/10/2004,Hertha,Leverkusen,3,1,H,1,0,2.37,3.2,2.62,2.3,3.2,2.8,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€71.78m,€86.93m
D1,16/10/2004,Mainz,Werder Bremen,2,1,H,0,0,2.75,3.25,2.25,3.1,3.3,2.1,2.9,3.0,2.2,2.8,3.1,2.25,2004/5,€16.73m,€98.48m
D1,16/10/2004,Nurnberg,Freiburg,3,0,H,1,0,1.9,3.25,3.5,1.9,3.25,3.7,1.9,3.1,3.5,1.95,3.1,3.5,2004/5,€34.90m,€22.43m
D1,16/10/2004,Stuttgart,Dortmund,2,0,H,0,0,1.83,3.25,3.75,1.85,3.3,3.85,1.9,3.1,3.5,1.8,3.1,4.0,2004/5,€79.50m,€78.33m
D1,17/10/2004,Hannover,Wolfsburg,3,0,H,1,0,2.5,3.2,2.5,2.5,3.3,2.5,2.7,2.9,2.4,2.6,3.1,2.4,2004/5,€42.98m,€59.30m
D1,17/10/2004,M'gladbach,Kaiserslautern,2,0,H,0,0,1.9,3.25,3.5,1.9,3.25,3.7,1.9,3.1,3.5,2.0,3.1,3.3,2004/5,€50.93m,€33.75m
D1,23/10/2004,Bielefeld,Hertha,1,0,H,1,0,2.37,3.2,2.62,2.55,3.15,2.55,2.5,3.0,2.5,2.37,3.1,2.62,2004/5,€24.65m,€71.78m
D1,23/10/2004,Dortmund,Hamburg,0,2,A,0,1,1.61,3.6,4.5,1.65,3.5,4.8,1.6,3.4,4.6,1.61,3.3,5.0,2004/5,€78.33m,€65.60m
D1,23/10/2004,Hansa Rostock,Bayern Munich,0,2,A,0,0,4.33,3.25,1.72,4.4,3.5,1.7,4.0,3.2,1.75,4.2,3.25,1.72,2004/5,€25.90m,€175.30m
D1,23/10/2004,Kaiserslautern,Leverkusen,0,0,D,0,0,2.7,3.2,2.3,2.6,3.3,2.4,2.9,3.0,2.2,2.5,3.1,2.5,2004/5,€33.75m,€86.93m
D1,23/10/2004,M'gladbach,Hannover,0,2,A,0,2,1.9,3.25,3.5,1.95,3.2,3.6,1.9,3.1,3.5,1.95,3.2,3.3,2004/5,€50.93m,€42.98m
D1,23/10/2004,Werder Bremen,Nurnberg,4,1,H,2,0,1.53,3.75,5.0,1.55,3.7,5.3,1.55,3.5,4.8,1.53,3.5,5.5,2004/5,€98.48m,€34.90m
D1,23/10/2004,Wolfsburg,Bochum,3,0,H,3,0,1.66,3.4,4.5,1.7,3.5,4.4,1.7,3.2,4.2,1.6,3.4,4.8,2004/5,€59.30m,€31.40m
D1,24/10/2004,Freiburg,Stuttgart,2,0,H,1,0,4.0,3.25,1.8,3.75,3.25,1.9,3.5,3.1,1.9,3.75,3.2,1.83,2004/5,€22.43m,€79.50m
D1,24/10/2004,Schalke 04,Mainz,2,1,H,1,0,1.66,3.4,4.5,1.65,3.5,4.8,1.55,3.5,4.8,1.57,3.5,5.0,2004/5,€86.33m,€16.73m
D1,26/10/2004,Bayern Munich,Wolfsburg,2,0,H,2,0,1.57,3.4,5.5,1.5,3.8,5.8,1.45,3.8,5.4,1.53,3.5,5.5,2004/5,€175.30m,€59.30m
D1,26/10/2004,Bochum,M'gladbach,3,0,H,0,0,2.0,3.25,3.25,1.95,3.3,3.5,2.0,3.0,3.3,2.0,3.1,3.3,2004/5,€31.40m,€50.93m
D1,26/10/2004,Hannover,Kaiserslautern,3,1,H,1,1,1.8,3.25,4.0,1.8,3.4,4.0,1.8,3.1,3.8,1.7,3.3,4.33,2004/5,€42.98m,€33.75m
D1,26/10/2004,Hertha,Dortmund,0,1,A,0,1,2.1,3.25,3.0,2.0,3.3,3.4,2.1,3.0,3.1,1.95,3.2,3.3,2004/5,€71.78m,€78.33m
