Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA
SC0,10/09/2005,Inverness C,Motherwell,1,2,A,1,0,H,I Fife,10,16,5,9,19,14,6,6,2,1,0,0,2.1,3.2,3.2,2.1,3.2,3.1,2.1,3.2,3.0,2005/6,€8.05m,€9.18m,1.9,3.25,3.5
SC0,10/09/2005,Kilmarnock,Dunfermline,3,2,H,2,1,H,B Winter,18,8,9,5,13,14,10,2,0,1,0,0,1.66,3.5,4.5,1.7,3.3,4.5,1.57,3.5,5.0,2005/6,€6.33m,€8.43m,1.6,3.4,5.0
SC0,11/09/2005,Livingston,Hearts,1,4,A,1,3,A,Douglas McDonald,8,6,6,4,26,16,5,5,3,1,0,0,6.0,3.6,1.57,5.5,3.5,1.55,5.0,3.5,1.57,2005/6,€10.08m,€30.53m,6.0,3.6,1.5
SC0,17/09/2005,Dundee United,Livingston,2,0,H,1,0,H,A Freeland,16,7,7,2,14,16,8,5,1,1,0,0,1.66,3.25,5.0,1.7,3.4,4.35,1.67,3.4,4.33,2005/6,€9.25m,€10.08m,1.75,3.25,4.35
SC0,17/09/2005,Dunfermline,Aberdeen,0,2,A,0,2,A,I Brines,9,10,7,5,19,16,6,3,0,1,0,0,2.62,3.25,2.37,2.7,3.15,2.35,2.75,3.2,2.25,2005/6,€8.43m,€6.45m,2.8,3.2,2.25
SC0,17/09/2005,Inverness C,Hearts,0,1,A,0,1,A,M McCurry,3,6,1,4,18,11,5,10,2,1,0,0,6.0,3.5,1.53,5.2,3.55,1.55,5.0,3.5,1.57,2005/6,€8.05m,€30.53m,5.0,3.6,1.55
SC0,17/09/2005,Motherwell,Falkirk,5,0,H,2,0,H,J Underhill,16,8,8,4,6,14,8,5,0,2,0,0,1.66,3.5,4.5,1.75,3.4,4.1,1.73,3.4,4.0,2005/6,€9.18m,€8.08m,1.75,3.25,4.35
SC0,17/09/2005,Rangers,Kilmarnock,3,0,H,1,0,H,C Murray,9,7,5,1,9,16,9,2,0,1,0,0,1.25,4.5,12.0,1.2,5.5,10.5,1.29,4.5,8.0,2005/6,€77.98m,€6.33m,1.2,5.5,10.0
SC0,18/09/2005,Hibernian,Celtic,0,1,A,0,1,A,Craig Thomson,8,8,5,6,16,11,3,3,1,3,0,0,7.0,3.75,1.44,6.75,4.0,1.4,6.0,3.4,1.5,2005/6,€17.43m,€72.83m,6.0,3.6,1.5
SC0,24/09/2005,Aberdeen,Livingston,0,0,D,0,0,D,E Smith,8,4,6,2,5,17,9,1,0,3,0,0,1.4,3.75,8.0,1.45,3.7,6.25,1.33,4.0,8.0,2005/6,€6.45m,€10.08m,1.4,3.75,7.0
SC0,24/09/2005,Celtic,Inverness C,2,1,H,0,0,D,S Conroy,15,6,10,3,5,10,6,3,0,1,0,0,1.16,6.0,13.0,1.15,6.5,11.0,1.14,6.0,12.0,2005/6,€72.83m,€8.05m,1.17,6.5,10.0
SC0,24/09/2005,Dunfermline,Dundee United,2,1,H,0,1,A,Stuart Dougal,9,9,3,4,12,16,7,6,1,2,0,0,2.62,3.25,2.37,2.6,3.2,2.4,2.5,3.25,2.4,2005/6,€8.43m,€9.25m,2.5,3.2,2.5
SC0,24/09/2005,Hearts,Rangers,1,0,H,1,0,H,K Clark,9,11,4,7,16,29,2,2,2,2,0,0,2.8,3.25,2.4,2.9,3.2,2.2,2.8,3.2,2.2,2005/6,€30.53m,€77.98m,2.75,3.25,2.25
SC0,24/09/2005,Kilmarnock,Falkirk,1,1,D,1,1,D,C Richmond,14,10,6,4,14,15,8,6,1,3,0,0,1.57,3.5,5.5,1.5,3.6,6.0,1.5,3.4,6.0,2005/6,€6.33m,€8.08m,1.55,3.4,5.5
SC0,24/09/2005,Motherwell,Hibernian,1,3,A,0,1,A,D McDonald,9,11,6,8,20,10,1,8,4,2,0,0,2.5,3.25,2.5,2.4,3.2,2.6,2.5,3.2,2.5,2005/6,€9.18m,€17.43m,2.5,3.2,2.5
SC0,01/10/2005,Aberdeen,Motherwell,2,2,D,0,0,D,C Thompson,6,7,3,5,8,11,5,6,2,0,1,0,1.8,3.2,4.33,1.9,3.3,3.55,1.73,3.2,4.33,2005/6,€6.45m,€9.18m,1.8,3.25,4.0
SC0,01/10/2005,Dundee United,Kilmarnock,0,0,D,0,0,D,C MacKay,8,14,4,6,13,17,9,14,2,1,0,0,2.37,3.25,2.75,2.35,3.2,2.7,2.6,3.2,2.38,2005/6,€9.25m,€6.33m,2.3,3.25,2.7
SC0,01/10/2005,Livingston,Celtic,0,5,A,0,2,A,M McCurry,6,16,2,13,15,3,9,7,1,0,0,0,10.0,5.5,1.22,10.5,5.5,1.2,11.0,5.0,1.2,2005/6,€10.08m,€72.83m,10.0,5.5,1.2
SC0,01/10/2005,Rangers,Dunfermline,5,1,H,2,0,H,J Underhill,12,3,7,2,9,16,5,1,0,2,0,0,1.16,6.0,13.0,1.18,5.5,12.0,1.14,6.0,12.0,2005/6,€77.98m,€8.43m,1.14,6.5,11.0
SC0,02/10/2005,Falkirk,Hearts,2,2,D,1,0,H,I Brines,8,3,3,1,17,14,2,4,2,1,0,1,7.5,4.33,1.4,6.75,4.0,1.4,8.0,4.0,1.33,2005/6,€8.08m,€30.53m,7.5,4.0,1.35
SC0,02/10/2005,Hibernian,Inverness C,1,2,A,0,0,D,B Winter,12,13,4,9,4,16,11,4,1,2,0,1,1.57,3.6,5.5,1.6,3.5,5.0,1.53,3.5,5.5,2005/6,€17.43m,€8.05m,1.55,3.4,5.5
SC0,15/10/2005,Celtic,Hearts,1,1,D,1,1,D,D McDonald,14,7,7,4,17,19,10,3,2,3,0,0,1.53,3.5,6.0,1.55,3.6,5.3,1.57,3.5,5.0,2005/6,€72.83m,€30.53m,1.6,3.6,4.5
SC0,15/10/2005,Dunfermline,Falkirk,0,1,A,0,1,A,K Clark,16,7,6,4,13,23,16,5,2,2,0,1,2.1,3.2,3.2,2.1,3.2,3.1,2.1,3.2,3.0,2005/6,€8.43m,€8.08m,2.2,3.25,2.8
SC0,15/10/2005,Hibernian,Kilmarnock,4,2,H,0,2,A,A Freeland,14,4,11,3,13,16,7,4,4,3,0,0,1.72,3.4,4.33,1.85,3.45,3.55,1.8,3.25,3.75,2005/6,€17.43m,€6.33m,1.85,3.25,3.75
SC0,15/10/2005,Inverness C,Aberdeen,1,1,D,0,0,D,S Dougal,7,10,5,4,17,12,1,3,3,0,0,0,2.2,3.25,2.8,2.45,3.2,2.55,2.6,3.2,2.38,2005/6,€8.05m,€6.45m,2.35,3.2,2.65
SC0,15/10/2005,Motherwell,Livingston,1,0,H,1,0,H,I Fyfe,8,10,4,3,16,24,7,3,1,3,0,0,1.53,3.5,6.0,1.5,3.6,6.0,1.53,3.75,5.0,2005/6,€9.18m,€10.08m,1.5,3.6,6.0
SC0,16/10/2005,Dundee United,Rangers,0,0,D,0,0,D,C Richmond,11,11,6,6,17,15,3,9,2,1,0,1,7.5,4.33,1.4,8.5,4.5,1.3,8.0,3.75,1.36,2005/6,€9.25m,€77.98m,8.5,4.35,1.3
SC0,22/10/2005,Aberdeen,Hibernian,0,1,A,0,0,D,M McCurry,7,5,3,2,12,16,5,3,2,2,0,0,2.25,3.25,2.8,2.4,3.2,2.6,2.25,3.2,2.75,2005/6,€6.45m,€17.43m,2.25,3.25,2.75
SC0,22/10/2005,Falkirk,Dundee United,1,3,A,1,0,H,E Smith,10,16,5,9,15,13,2,8,3,3,0,0,2.25,3.25,2.8,2.25,3.2,2.8,2.38,3.2,2.6,2005/6,€8.08m,€9.25m,2.2,3.25,2.8
SC0,22/10/2005,Hearts,Dunfermline,2,0,H,2,0,H,C Murray,17,8,8,2,15,17,5,4,0,2,1,0,1.22,5.0,11.0,1.25,5.0,8.75,1.17,5.5,12.0,2005/6,€30.53m,€8.43m,1.2,5.5,10.0
SC0,22/10/2005,Livingston,Inverness C,1,1,D,1,0,H,M Ritchie,10,13,4,5,18,10,8,4,3,1,0,0,2.62,3.25,2.4,2.8,3.2,2.25,2.75,3.25,2.2,2005/6,€10.08m,€8.05m,2.8,3.2,2.25
SC0,22/10/2005,Rangers,Motherwell,2,0,H,1,0,H,S Conroy,12,9,6,3,6,14,6,4,0,0,0,0,1.22,5.0,11.0,1.22,5.5,9.0,1.22,5.0,10.0,2005/6,€77.98m,€9.18m,1.22,5.0,10.0
SC0,23/10/2005,Kilmarnock,Celtic,0,1,A,0,1,A,I Brines,7,9,3,1,18,11,9,4,1,1,0,0,9.5,4.5,1.33,8.5,4.75,1.28,8.0,4.0,1.33,2005/6,€6.33m,€72.83m,10.0,4.0,1.3
SC0,25/10/2005,Aberdeen,Dundee United,2,0,H,2,0,H,C Murray,8,4,4,2,9,11,5,7,1,1,0,0,1.9,3.25,3.5,1.9,3.2,3.65,1.91,3.25,3.4,2005/6,€6.45m,€9.25m,2.0,3.25,3.25
SC0,26/10/2005,Celtic,Motherwell,5,0,H,3,0,H,C Richmond,8,1,6,0,5,12,5,6,0,4,0,0,1.2,5.5,10.0,1.18,5.5,12.0,1.17,5.5,12.0,2005/6,€72.83m,€9.18m,1.2,5.5,10.0
SC0,26/10/2005,Dunfermline,Hibernian,1,2,A,0,0,D,C MacKay,9,14,5,6,13,10,6,9,1,1,1,0,3.5,3.25,1.9,3.65,3.2,1.9,3.5,3.4,1.83,2005/6,€8.43m,€17.43m,3.5,3.25,1.9
SC0,26/10/2005,Hearts,Kilmarnock,1,0,H,1,0,H,S Dougal,9,7,9,7,11,17,11,4,0,0,0,0,1.4,4.0,6.5,1.35,4.4,6.85,1.29,4.5,8.0,2005/6,€30.53m,€6.33m,1.3,4.5,8.0
SC0,26/10/2005,Inverness C,Falkirk,0,3,A,0,1,A,D McDonald,11,11,2,8,14,11,2,5,0,1,0,0,1.8,3.3,4.0,1.8,3.4,3.8,1.73,3.5,3.75,2005/6,€8.05m,€8.08m,1.85,3.4,3.6
SC0,26/10/2005,Livingston,Rangers,2,2,D,0,1,A,C Thomson,6,12,5,7,13,11,3,12,2,2,0,0,10.0,5.5,1.2,13.0,6.0,1.15,11.0,5.0,1.2,2005/6,€10.08m,€77.98m,10.0,5.0,1.22
SC0,29/10/2005,Dunfermline,Motherwell,0,3,A,0,0,D,M McCurry,12,12,5,8,3,12,4,5,0,0,0,0,2.87,3.25,2.25,2.8,3.2,2.25,2.75,3.2,2.25,2005/6,€8.43m,€9.18m,2.7,3.25,2.3
