Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
P1,13/11/2004,Belenenses,Moreirense,3.0,0.0,H,1.0,0.0,1.61,3.5,4.5,1.7,3.45,4.3,1.65,3.3,4.4,1.7,3.3,4.2,2004/5,€24.35m,€6.15m
P1,13/11/2004,Gil Vicente,Porto,0.0,2.0,A,0.0,1.0,5.0,3.5,1.57,5.8,3.65,1.5,4.8,3.5,1.55,6.0,3.4,1.5,2004/5,€8.20m,€158.15m
P1,13/11/2004,Maritimo,Benfica,1.0,1.0,D,1.0,1.0,3.0,3.25,2.1,2.95,3.25,2.15,2.8,2.9,2.3,3.1,3.1,2.1,2004/5,€21.20m,€120.05m
P1,13/11/2004,Penafiel,Beira Mar,2.0,1.0,H,2.0,1.0,2.25,3.2,2.75,2.25,3.2,2.8,2.3,2.9,2.8,2.05,3.2,3.1,2004/5,€5.73m,€8.10m
P1,13/11/2004,Setubal,Nacional,1.0,0.0,H,0.0,0.0,1.8,3.4,3.75,1.7,3.45,4.3,1.75,3.2,4.0,1.85,3.25,3.6,2004/5,€9.58m,€10.25m
P1,14/11/2004,Leiria,Sp Braga,0.0,0.0,D,0.0,0.0,2.25,3.2,2.75,2.3,3.2,2.75,2.1,3.0,3.1,2.25,3.2,2.75,2004/5,€17.83m,€33.05m
P1,14/11/2004,Sp Lisbon,Boavista,6.0,1.0,H,3.0,0.0,1.61,3.5,4.5,1.75,3.4,4.05,1.7,3.2,4.2,1.6,3.4,4.8,2004/5,€89.40m,€29.10m
P1,15/11/2004,Rio Ave,Guimaraes,1.0,1.0,D,1.0,0.0,1.8,3.4,3.75,1.75,3.4,4.05,1.85,3.0,3.8,1.9,3.2,3.5,2004/5,€11.10m,€20.40m
P1,19/11/2004,Nacional,Maritimo,1.0,1.0,D,0.0,0.0,2.4,3.0,2.7,2.3,3.2,2.75,2.5,2.8,2.7,2.2,3.2,2.8,2004/5,€10.25m,€21.20m
P1,20/11/2004,Beira Mar,Sp Lisbon,2.0,2.0,D,1.0,1.0,3.4,3.25,1.9,4.05,3.4,1.75,3.8,3.1,1.8,3.6,3.4,1.8,2004/5,€8.10m,€89.40m
P1,20/11/2004,Porto,Boavista,0.0,1.0,A,0.0,0.0,1.5,3.6,5.5,1.5,3.65,5.8,1.5,3.5,5.4,1.4,3.75,7.0,2004/5,€158.15m,€29.10m
P1,21/11/2004,Benfica,Rio Ave,3.0,3.0,D,3.0,1.0,1.33,4.33,7.0,1.3,4.5,8.25,1.33,4.0,7.5,1.28,4.5,8.0,2004/5,€120.05m,€11.10m
P1,21/11/2004,Gil Vicente,Setubal,2.0,1.0,H,1.0,0.0,2.7,3.0,2.4,3.05,3.25,2.1,2.5,3.0,2.5,2.9,3.2,2.15,2004/5,€8.20m,€9.58m
P1,21/11/2004,Guimaraes,Leiria,1.0,1.0,D,1.0,0.0,2.2,3.0,3.0,2.1,3.25,3.05,2.1,3.0,3.1,2.2,3.2,2.8,2004/5,€20.40m,€17.83m
P1,21/11/2004,Moreirense,Penafiel,2.0,2.0,D,2.0,2.0,2.0,3.2,3.2,1.9,3.3,3.55,1.9,3.0,3.6,2.1,3.2,3.0,2004/5,€6.15m,€5.73m
P1,21/11/2004,Sp Braga,Estoril,2.0,0.0,H,1.0,0.0,1.72,3.4,4.0,1.7,3.45,4.3,1.65,3.3,4.4,1.6,3.5,4.5,2004/5,€33.05m,€6.63m
P1,22/11/2004,Academica,Belenenses,1.0,1.0,D,1.0,0.0,2.2,3.0,3.0,2.1,3.25,3.05,2.1,3.0,3.1,2.0,3.2,3.2,2004/5,€13.73m,€24.35m
P1,26/11/2004,Boavista,Beira Mar,3.0,0.0,H,1.0,0.0,1.5,3.6,5.5,1.4,4.0,6.75,1.45,3.8,5.4,1.5,3.4,6.0,2004/5,€29.10m,€8.10m
P1,27/11/2004,Belenenses,Sp Braga,1.0,2.0,A,0.0,0.0,2.1,3.1,3.1,2.2,3.2,2.9,2.2,2.9,3.0,2.2,3.1,2.87,2004/5,€24.35m,€33.05m
P1,28/11/2004,Estoril,Guimaraes,0.0,1.0,A,0.0,0.0,1.9,3.25,3.4,1.95,3.25,3.45,2.2,2.9,3.0,2.2,3.1,2.87,2004/5,€6.63m,€20.40m
P1,28/11/2004,Leiria,Benfica,1.0,0.0,H,1.0,0.0,3.8,3.25,1.8,3.8,3.4,1.8,3.6,3.1,1.85,3.75,3.2,1.83,2004/5,€17.83m,€120.05m
P1,28/11/2004,Maritimo,Gil Vicente,1.0,1.0,D,1.0,0.0,1.5,3.6,5.5,1.5,3.65,5.8,1.45,3.8,5.4,1.44,3.6,6.5,2004/5,€21.20m,€8.20m
P1,28/11/2004,Penafiel,Academica,3.0,1.0,H,1.0,1.0,2.0,3.2,3.2,2.0,3.25,3.3,2.1,2.9,3.2,2.0,3.2,3.2,2004/5,€5.73m,€13.73m
P1,28/11/2004,Rio Ave,Nacional,4.0,1.0,H,2.0,0.0,1.83,3.1,4.0,1.7,3.4,4.35,1.8,3.1,3.8,2.0,3.2,3.2,2004/5,€11.10m,€10.25m
P1,28/11/2004,Sp Lisbon,Moreirense,4.0,1.0,H,2.0,0.0,1.25,5.0,8.0,1.3,4.5,8.25,1.25,4.5,9.0,1.28,4.5,8.0,2004/5,€89.40m,€6.15m
P1,29/11/2004,Setubal,Porto,0.0,1.0,A,0.0,1.0,3.2,3.2,2.0,3.3,3.25,2.0,3.8,3.1,1.8,3.75,3.2,1.83,2004/5,€9.58m,€158.15m
P1,04/12/2004,Guimaraes,Belenenses,1.0,0.0,H,1.0,0.0,2.0,3.2,3.2,1.9,3.3,3.55,2.0,3.0,3.3,1.95,3.1,3.5,2004/5,€20.40m,€24.35m
P1,04/12/2004,Nacional,Leiria,0.0,3.0,A,0.0,0.0,2.1,3.2,3.0,2.1,3.25,3.05,2.2,2.9,3.0,2.15,3.1,3.0,2004/5,€10.25m,€17.83m
P1,05/12/2004,Academica,Sp Lisbon,2.0,3.0,A,0.0,2.0,3.4,3.25,1.9,3.8,3.4,1.8,3.8,3.1,1.8,3.75,3.3,1.8,2004/5,€13.73m,€89.40m
P1,05/12/2004,Gil Vicente,Rio Ave,3.0,1.0,H,1.0,0.0,2.5,3.0,2.62,2.4,3.2,2.6,2.4,2.7,2.9,2.2,3.0,3.0,2004/5,€8.20m,€11.10m
P1,05/12/2004,Moreirense,Boavista,1.0,1.0,D,0.0,0.0,4.0,3.2,1.8,3.3,3.25,2.0,3.5,3.1,1.9,3.1,3.1,2.1,2004/5,€6.15m,€29.10m
P1,05/12/2004,Setubal,Maritimo,2.0,0.0,H,1.0,0.0,2.1,3.1,3.1,1.9,3.3,3.55,2.1,2.9,3.2,2.0,3.2,3.2,2004/5,€9.58m,€21.20m
P1,05/12/2004,Sp Braga,Penafiel,0.0,1.0,A,0.0,0.0,1.57,3.5,5.0,1.5,3.65,5.8,1.55,3.4,5.0,1.55,3.4,5.5,2004/5,€33.05m,€5.73m
P1,06/12/2004,Benfica,Estoril,2.0,1.0,H,2.0,1.0,1.28,4.5,8.0,1.3,4.5,8.25,1.27,4.3,8.5,1.28,4.5,8.0,2004/5,€120.05m,€6.63m
P1,10/12/2004,Boavista,Academica,1.0,0.0,H,0.0,0.0,1.28,4.5,8.0,1.35,4.25,7.4,1.35,3.8,7.5,1.33,4.0,8.0,2004/5,€29.10m,€13.73m
