Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
B1,12/09/2004,Cercle Brugge,Germinal,2.0,1.0,H,0.0,1.0,2.3,3.2,2.625,2.3,3.2,2.75,2.2,3.0,2.9,2.35,3.25,2.55,2004/5,€10.98m,€15.67m
B1,12/09/2004,Genk,Standard,1.0,1.0,D,0.0,0.0,2.25,3.0,2.875,2.35,3.2,2.65,2.2,3.0,2.9,2.15,3.2,2.9,2004/5,€30.45m,€43.55m
B1,12/09/2004,Lokeren,Louvieroise,1.0,0.0,H,1.0,0.0,2.2,3.0,3.0,2.1,3.25,3.05,2.0,3.1,3.2,2.2,3.2,2.8,2004/5,€18.73m,€17.80m
B1,12/09/2004,Mouscron,Beveren,1.0,0.0,H,1.0,0.0,1.571,3.5,5.0,1.6,3.55,4.9,1.55,3.5,4.8,1.55,3.35,5.5,2004/5,€15.60m,€14.30m
B1,17/09/2004,Louvieroise,Mouscron,3.0,1.0,H,1.0,1.0,2.2,3.2,2.8,2.2,3.2,2.9,2.3,2.9,2.8,2.15,3.1,2.95,2004/5,€17.80m,€15.60m
B1,18/09/2004,Anderlecht,Lierse,5.0,1.0,H,2.0,0.0,1.25,5.0,8.0,1.25,5.0,9.0,1.27,4.3,8.5,1.25,5.0,8.0,2004/5,€63.60m,€14.83m
B1,18/09/2004,Bergen,Charleroi,0.0,1.0,A,0.0,0.0,2.1,3.0,3.2,2.0,3.25,3.3,2.0,3.0,3.3,2.1,3.1,3.05,2004/5,€15.63m,€12.15m
B1,18/09/2004,Germinal,FC Brussels,2.0,0.0,H,0.0,0.0,1.72,3.2,4.33,1.75,3.4,4.05,1.85,3.1,3.6,1.8,3.1,4.0,2004/5,€15.67m,€10.22m
B1,18/09/2004,St Truiden,Oostende,0.0,0.0,D,0.0,0.0,1.8,3.2,4.0,1.75,3.4,4.05,1.75,3.2,4.0,1.72,3.2,4.3,2004/5,€12.10m,€8.60m
B1,18/09/2004,Westerlo,Genk,0.0,0.0,D,0.0,0.0,2.25,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,2.3,3.1,2.7,2004/5,€13.40m,€30.45m
B1,19/09/2004,Beveren,Gent,1.0,2.0,A,1.0,1.0,2.1,3.2,3.0,2.15,3.25,2.95,2.2,3.0,2.9,2.05,3.1,3.15,2004/5,€14.30m,€26.63m
B1,19/09/2004,Club Brugge,Cercle Brugge,5.0,0.0,H,1.0,0.0,1.25,5.0,8.0,1.25,5.0,9.0,1.22,4.8,9.5,1.28,4.5,8.0,2004/5,€53.03m,€10.98m
B1,19/09/2004,Standard,Lokeren,1.0,0.0,H,1.0,0.0,1.72,3.4,4.0,1.75,3.4,4.05,1.8,3.1,3.8,1.72,3.25,4.2,2004/5,€43.55m,€18.73m
B1,24/09/2004,Charleroi,Anderlecht,2.0,1.0,H,0.0,0.0,5.0,3.6,1.53,4.9,3.55,1.6,5.0,3.7,1.5,5.5,3.5,1.53,2004/5,€12.15m,€63.60m
B1,24/09/2004,FC Brussels,Club Brugge,1.0,6.0,A,1.0,2.0,5.5,3.6,1.5,6.2,3.8,1.45,5.4,3.8,1.45,6.0,3.75,1.44,2004/5,€10.22m,€53.03m
B1,25/09/2004,Cercle Brugge,Bergen,2.0,0.0,H,1.0,0.0,1.9,3.2,3.5,2.0,3.25,3.3,1.85,3.1,3.6,1.9,3.3,3.35,2004/5,€10.98m,€15.63m
B1,25/09/2004,Lokeren,Westerlo,3.0,1.0,H,1.0,1.0,2.1,3.2,3.0,2.1,3.25,3.05,1.9,3.1,3.5,2.1,3.3,2.87,2004/5,€18.73m,€13.40m
B1,25/09/2004,Louvieroise,Standard,0.0,1.0,A,0.0,1.0,2.4,3.25,2.5,2.3,3.2,2.75,2.5,3.0,2.5,2.6,3.1,2.4,2004/5,€17.80m,€43.55m
B1,25/09/2004,Mouscron,Gent,0.0,2.0,A,0.0,0.0,1.8,3.25,3.75,1.7,3.45,4.3,1.75,3.2,4.0,1.8,3.3,3.75,2004/5,€15.60m,€26.63m
B1,25/09/2004,Oostende,Beveren,1.0,1.0,D,0.0,1.0,2.4,3.25,2.5,2.3,3.2,2.75,2.5,3.0,2.5,2.45,3.3,2.4,2004/5,€8.60m,€14.30m
B1,26/09/2004,Genk,Germinal,2.0,1.0,H,1.0,0.0,1.61,3.5,4.5,1.65,3.5,4.55,1.55,3.5,4.8,1.65,3.4,4.4,2004/5,€30.45m,€15.67m
B1,26/09/2004,Lierse,St Truiden,0.0,1.0,A,0.0,0.0,1.66,3.4,4.33,1.7,3.45,4.3,1.65,3.3,4.4,1.7,3.4,4.1,2004/5,€14.83m,€12.10m
B1,02/10/2004,Anderlecht,Cercle Brugge,5.0,2.0,H,3.0,2.0,1.22,5.0,11.0,1.2,5.5,10.0,1.2,5.0,10.0,1.2,5.0,11.0,2004/5,€63.60m,€10.98m
B1,02/10/2004,Bergen,FC Brussels,1.0,2.0,A,1.0,0.0,1.9,3.2,3.5,1.75,3.4,4.05,2.0,3.1,3.2,1.95,3.2,3.3,2004/5,€15.63m,€10.22m
B1,02/10/2004,Gent,Oostende,2.0,1.0,H,1.0,1.0,1.44,3.6,6.5,1.55,3.6,5.3,1.45,3.8,5.4,1.5,3.4,6.0,2004/5,€26.63m,€8.60m
B1,02/10/2004,Germinal,Lokeren,1.0,2.0,A,0.0,0.0,2.1,3.2,3.0,2.0,3.3,3.25,2.1,3.0,3.1,2.1,3.3,2.87,2004/5,€15.67m,€18.73m
B1,02/10/2004,St Truiden,Charleroi,2.0,2.0,D,1.0,0.0,2.4,3.25,2.5,2.3,3.2,2.75,2.1,3.0,3.1,2.37,3.1,2.62,2004/5,€12.10m,€12.15m
B1,03/10/2004,Beveren,Lierse,2.0,1.0,H,1.0,0.0,2.1,3.2,3.0,2.15,3.25,2.95,2.2,3.0,2.9,2.2,3.1,2.87,2004/5,€14.30m,€14.83m
B1,03/10/2004,Club Brugge,Genk,1.0,1.0,D,1.0,1.0,1.33,4.5,7.0,1.35,4.2,7.5,1.35,4.0,7.0,1.35,4.2,7.0,2004/5,€53.03m,€30.45m
B1,03/10/2004,Standard,Mouscron,2.0,0.0,H,1.0,0.0,1.83,3.25,3.6,1.8,3.4,3.8,1.8,3.1,3.8,1.7,3.2,4.5,2004/5,€43.55m,€15.60m
B1,03/10/2004,Westerlo,Louvieroise,0.0,2.0,A,0.0,0.0,2.0,3.2,3.2,2.1,3.25,3.05,2.1,3.0,3.1,2.1,3.2,3.0,2004/5,€13.40m,€17.80m
B1,15/10/2004,FC Brussels,Anderlecht,0.0,1.0,A,0.0,1.0,6.0,3.75,1.44,6.25,3.8,1.45,5.0,3.7,1.5,5.5,3.6,1.5,2004/5,€10.22m,€63.60m
B1,16/10/2004,Genk,Bergen,2.0,2.0,D,1.0,1.0,1.36,4.0,7.0,1.3,4.3,9.0,1.4,3.9,6.0,1.36,4.0,7.0,2004/5,€30.45m,€15.63m
B1,16/10/2004,Lierse,Gent,3.0,2.0,H,1.0,0.0,2.4,3.1,2.6,2.55,3.2,2.45,2.3,3.0,2.7,2.3,3.3,2.6,2004/5,€14.83m,€26.63m
B1,16/10/2004,Mouscron,Oostende,1.0,1.0,D,1.0,1.0,1.44,3.75,6.0,1.4,4.0,6.65,1.4,3.9,6.0,1.44,3.75,6.0,2004/5,€15.60m,€8.60m
B1,16/10/2004,Standard,Westerlo,2.0,0.0,H,2.0,0.0,1.5,3.6,5.5,1.5,3.65,5.8,1.45,3.8,5.4,1.55,3.35,5.5,2004/5,€43.55m,€13.40m
B1,17/10/2004,Cercle Brugge,St Truiden,5.0,1.0,H,2.0,0.0,1.9,3.2,3.5,2.0,3.25,3.3,1.9,3.1,3.5,1.9,3.3,3.4,2004/5,€10.98m,€12.10m
B1,17/10/2004,Charleroi,Beveren,2.0,1.0,H,1.0,1.0,2.0,3.2,3.2,1.8,3.4,3.8,2.0,3.1,3.2,1.9,3.3,3.35,2004/5,€12.15m,€14.30m
B1,17/10/2004,Lokeren,Club Brugge,0.0,2.0,A,0.0,1.0,4.5,3.3,1.66,4.3,3.45,1.7,4.2,3.2,1.7,4.0,3.4,1.72,2004/5,€18.73m,€53.03m
B1,17/10/2004,Louvieroise,Germinal,1.0,1.0,D,1.0,0.0,1.66,3.3,4.5,1.7,3.45,4.3,1.8,3.1,3.8,1.65,3.3,4.6,2004/5,€17.80m,€15.67m
B1,23/10/2004,Bergen,Lokeren,0.0,1.0,A,0.0,1.0,2.5,3.1,2.5,2.4,3.2,2.6,2.4,2.9,2.7,2.45,3.1,2.55,2004/5,€15.63m,€18.73m
B1,23/10/2004,Gent,Charleroi,3.0,1.0,H,2.0,1.0,1.83,3.25,3.6,1.85,3.35,3.65,1.8,3.1,3.8,1.85,3.3,3.5,2004/5,€26.63m,€12.15m
B1,23/10/2004,St Truiden,FC Brussels,2.0,0.0,H,0.0,0.0,2.0,3.2,3.2,1.95,3.25,3.4,2.0,3.1,3.2,2.0,3.15,3.2,2004/5,€12.10m,€10.22m
B1,23/10/2004,Westerlo,Mouscron,0.0,1.0,A,0.0,1.0,2.1,3.2,3.0,2.1,3.25,3.05,2.2,3.0,2.9,2.05,3.2,3.05,2004/5,€13.40m,€15.60m
B1,24/10/2004,Anderlecht,Genk,4.0,2.0,H,0.0,1.0,1.4,3.75,7.0,1.35,4.2,7.5,1.45,3.8,5.4,1.44,3.6,6.5,2004/5,€63.60m,€30.45m
B1,24/10/2004,Beveren,Cercle Brugge,5.0,1.0,H,2.0,0.0,2.0,3.2,3.2,2.0,3.25,3.3,2.1,3.0,3.1,1.9,3.25,3.4,2004/5,€14.30m,€10.98m
B1,24/10/2004,Club Brugge,Louvieroise,2.0,0.0,H,1.0,0.0,1.33,4.33,7.0,1.4,4.0,6.75,1.3,4.2,8.0,1.36,3.7,8.0,2004/5,€53.03m,€17.80m
B1,24/10/2004,Germinal,Standard,1.0,0.0,H,0.0,0.0,3.0,3.2,2.1,3.3,3.25,2.0,3.2,3.1,2.0,2.8,3.2,2.2,2004/5,€15.67m,€43.55m
B1,24/10/2004,Oostende,Lierse,2.0,3.0,A,2.0,2.0,2.37,3.1,2.62,2.25,3.2,2.8,2.4,2.9,2.7,2.35,3.15,2.6,2004/5,€8.60m,€14.83m
B1,29/10/2004,Standard,Club Brugge,1.0,4.0,A,1.0,1.0,2.75,3.2,2.25,2.9,3.2,2.2,2.9,3.0,2.2,2.8,3.3,2.15,2004/5,€43.55m,€53.03m
B1,30/10/2004,Charleroi,Oostende,1.0,0.0,H,1.0,0.0,1.53,3.5,5.5,1.55,3.6,5.3,1.55,3.5,4.8,1.55,3.6,5.0,2004/5,€12.15m,€8.60m
B1,30/10/2004,FC Brussels,Beveren,1.0,3.0,A,1.0,2.0,2.25,3.2,2.75,2.3,3.2,2.75,2.2,3.0,2.9,2.25,3.1,2.8,2004/5,€10.22m,€14.30m
B1,30/10/2004,Genk,St Truiden,1.0,0.0,H,1.0,0.0,1.5,3.4,6.0,1.45,3.8,6.25,1.55,3.5,4.8,1.55,3.6,5.0,2004/5,€30.45m,€12.10m
B1,30/10/2004,Lokeren,Anderlecht,2.0,2.0,D,2.0,1.0,4.0,3.4,1.72,3.55,3.3,1.9,3.8,3.3,1.75,3.75,3.3,1.8,2004/5,€18.73m,€63.60m
B1,30/10/2004,Louvieroise,Bergen,4.0,0.0,H,2.0,0.0,1.61,3.25,5.0,1.55,3.6,5.3,1.55,3.5,4.8,1.5,3.6,5.5,2004/5,€17.80m,€15.63m
B1,30/10/2004,Westerlo,Germinal,1.0,0.0,H,0.0,0.0,2.0,3.2,3.2,2.0,3.25,3.3,2.0,3.1,3.2,2.1,3.1,3.1,2004/5,€13.40m,€15.67m
B1,31/10/2004,Cercle Brugge,Gent,2.0,1.0,H,0.0,1.0,2.4,3.1,2.62,2.4,3.2,2.6,2.4,3.0,2.6,2.5,3.1,2.5,2004/5,€10.98m,€26.63m
B1,31/10/2004,Mouscron,Lierse,1.0,3.0,A,1.0,2.0,1.9,3.2,3.5,1.75,3.4,4.05,1.75,3.2,4.0,1.9,3.3,3.4,2004/5,€15.60m,€14.83m
B1,05/11/2004,Club Brugge,Westerlo,2.0,0.0,H,2.0,0.0,1.2,5.0,11.0,1.18,6.0,10.0,1.2,5.0,10.0,1.2,5.5,9.0,2004/5,€53.03m,€13.40m
B1,06/11/2004,Anderlecht,Louvieroise,2.0,1.0,H,0.0,1.0,1.4,3.75,7.0,1.4,4.0,6.75,1.4,3.9,6.0,1.33,4.0,8.0,2004/5,€63.60m,€17.80m
B1,06/11/2004,Bergen,Standard,2.0,3.0,A,0.0,0.0,3.4,3.25,1.9,3.65,3.35,1.85,3.8,3.1,1.8,3.3,3.3,1.9,2004/5,€15.63m,€43.55m
B1,06/11/2004,Germinal,Mouscron,3.0,1.0,H,0.0,1.0,2.1,3.2,3.0,2.2,3.2,2.9,2.3,3.0,2.7,2.0,3.15,3.2,2004/5,€15.67m,€15.60m
B1,06/11/2004,Lierse,Charleroi,1.0,1.0,D,1.0,0.0,2.0,3.2,3.2,2.05,3.25,3.15,2.0,3.1,3.2,2.0,3.3,3.1,2004/5,€14.83m,€12.15m
B1,06/11/2004,St Truiden,Lokeren,2.0,0.0,H,1.0,0.0,2.5,3.25,2.4,2.45,3.2,2.55,2.5,3.0,2.5,2.45,3.15,2.5,2004/5,€12.10m,€18.73m
B1,07/11/2004,Beveren,Genk,0.0,2.0,A,0.0,1.0,2.4,3.25,2.5,2.5,3.2,2.5,2.7,3.0,2.3,2.4,3.2,2.5,2004/5,€14.30m,€30.45m
B1,07/11/2004,Gent,FC Brussels,3.0,0.0,H,1.0,0.0,1.44,3.75,6.0,1.45,3.8,6.25,1.45,3.8,5.4,1.45,3.7,6.0,2004/5,€26.63m,€10.22m
B1,07/11/2004,Oostende,Cercle Brugge,0.0,1.0,A,0.0,0.0,2.4,3.25,2.5,2.4,3.2,2.6,2.3,3.0,2.7,2.4,3.15,2.55,2004/5,€8.60m,€10.98m
B1,10/11/2004,Cercle Brugge,Lierse,2.0,2.0,D,1.0,1.0,2.25,3.4,2.6,1.95,3.25,3.4,2.1,3.0,3.1,2.1,3.15,3.0,2004/5,€10.98m,€14.83m
B1,10/11/2004,FC Brussels,Oostende,2.0,2.0,D,1.0,1.0,1.83,3.25,3.75,1.75,3.4,4.05,1.8,3.1,3.8,1.85,3.25,3.6,2004/5,€10.22m,€8.60m
