Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
F1,11/09/2004,Toulouse,Ajaccio,3.0,1.0,H,1.0,1.0,1.667,3.4,4.5,1.7,3.3,4.5,1.65,3.2,4.6,1.66,3.3,4.5,2004/5,€37.10m,€24.55m
F1,12/09/2004,Sochaux,Marseille,2.0,0.0,H,1.0,0.0,2.3,3.0,2.875,2.5,3.05,2.6,2.4,2.9,2.7,2.4,3.1,2.6,2004/5,€49.65m,€78.60m
F1,18/09/2004,Ajaccio,St Etienne,1.0,1.0,D,0.0,1.0,2.0,3.25,3.25,2.25,3.05,2.95,2.1,2.9,3.2,2.0,3.0,3.4,2004/5,€24.55m,€37.50m
F1,18/09/2004,Bordeaux,Stade Rennais FC,0.0,0.0,D,0.0,0.0,1.8,3.25,4.0,1.7,3.3,4.5,1.7,3.2,4.2,1.66,3.2,4.8,2004/5,€52.60m,€61.30m
F1,18/09/2004,Lyon,Bastia,0.0,0.0,D,0.0,0.0,1.44,3.75,6.5,1.4,3.9,7.0,1.5,3.5,5.4,1.4,3.75,7.0,2004/5,€133.90m,€31.85m
F1,18/09/2004,Marseille,Toulouse,1.0,0.0,H,1.0,0.0,1.72,3.25,4.33,1.7,3.3,4.5,1.7,3.2,4.2,1.66,3.2,4.8,2004/5,€78.60m,€37.10m
F1,18/09/2004,Nantes,Istres,1.0,0.0,H,0.0,0.0,1.72,3.25,4.33,1.7,3.3,4.5,1.65,3.2,4.6,1.61,3.3,5.0,2004/5,€47.35m,€18.50m
F1,18/09/2004,Strasbourg,Lens,2.0,2.0,D,1.0,1.0,2.75,3.0,2.37,2.5,3.05,2.6,2.5,2.9,2.6,2.62,2.9,2.5,2004/5,€35.10m,€52.50m
F1,19/09/2004,Auxerre,Metz,4.0,0.0,H,3.0,0.0,1.83,3.25,3.75,1.85,3.1,4.0,1.8,3.1,3.8,1.83,3.0,4.0,2004/5,€47.85m,€35.70m
F1,19/09/2004,Lille,Caen,2.0,0.0,H,1.0,0.0,1.83,3.25,3.75,1.8,3.15,4.15,1.9,3.0,3.6,1.83,3.0,4.0,2004/5,€56.25m,€22.70m
F1,19/09/2004,Nice,Sochaux,2.0,1.0,H,1.0,1.0,2.37,3.2,2.62,2.4,3.0,2.75,2.3,2.9,2.8,2.37,3.0,2.7,2004/5,€34.45m,€49.65m
F1,19/09/2004,Paris SG,Monaco,0.0,1.0,A,0.0,0.0,2.37,3.2,2.62,2.35,3.15,2.7,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€81.75m,€103.80m
F1,22/09/2004,Bastia,Bordeaux,1.0,4.0,A,1.0,3.0,2.25,3.0,3.0,2.1,3.1,3.2,2.3,2.9,2.8,2.37,3.0,2.7,2004/5,€31.85m,€52.60m
F1,22/09/2004,Caen,Strasbourg,0.0,0.0,D,0.0,0.0,1.83,3.1,4.0,1.9,3.15,3.7,1.85,3.0,3.8,1.8,3.0,4.2,2004/5,€22.70m,€35.10m
F1,22/09/2004,Istres,Ajaccio,0.0,1.0,A,0.0,1.0,2.1,3.0,3.25,2.1,3.1,3.2,2.2,2.8,3.1,2.05,2.9,3.4,2004/5,€18.50m,€24.55m
F1,22/09/2004,Lens,Paris SG,2.0,2.0,D,0.0,1.0,2.25,3.0,3.0,2.3,3.0,2.9,2.0,3.1,3.2,2.15,3.0,3.1,2004/5,€52.50m,€81.75m
F1,22/09/2004,Metz,Nice,1.0,1.0,D,0.0,0.0,1.72,3.25,4.33,1.75,3.25,4.25,1.9,2.9,3.8,1.72,3.1,4.5,2004/5,€35.70m,€34.45m
F1,22/09/2004,Monaco,Nantes,2.0,1.0,H,0.0,1.0,1.57,3.4,5.5,1.55,3.5,5.45,1.6,3.3,4.8,1.57,3.3,5.5,2004/5,€103.80m,€47.35m
F1,22/09/2004,Stade Rennais FC,Marseille,1.0,0.0,H,0.0,0.0,2.4,3.1,2.62,2.45,3.05,2.65,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€61.30m,€78.60m
F1,22/09/2004,Sochaux,Lille,0.0,2.0,A,0.0,0.0,1.8,3.2,4.0,1.85,3.25,3.75,1.8,3.0,4.0,1.8,3.1,4.0,2004/5,€49.65m,€56.25m
F1,22/09/2004,St Etienne,Auxerre,3.0,1.0,H,3.0,0.0,2.5,3.0,2.62,2.55,2.9,2.65,2.6,2.8,2.6,2.5,2.9,2.62,2004/5,€37.50m,€47.85m
F1,25/09/2004,Ajaccio,Caen,2.0,2.0,D,1.0,1.0,2.2,3.0,3.1,2.1,3.1,3.2,2.1,2.9,3.2,2.1,3.0,3.2,2004/5,€24.55m,€22.70m
F1,25/09/2004,Auxerre,Istres,0.0,0.0,D,0.0,0.0,1.44,3.75,6.5,1.35,4.0,8.25,1.45,3.6,5.8,1.44,3.5,7.0,2004/5,€47.85m,€18.50m
F1,25/09/2004,Bordeaux,Toulouse,1.0,1.0,D,0.0,0.0,1.8,3.25,4.0,1.8,3.2,4.1,1.85,3.1,3.6,1.72,3.1,4.5,2004/5,€52.60m,€37.10m
F1,25/09/2004,Lille,Metz,4.0,0.0,H,1.0,0.0,1.9,3.2,3.6,1.95,3.1,3.6,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€56.25m,€35.70m
F1,25/09/2004,Lyon,Monaco,0.0,0.0,D,0.0,0.0,2.1,3.0,3.25,1.9,3.1,3.8,1.9,3.1,3.5,2.1,3.0,3.2,2004/5,€133.90m,€103.80m
F1,25/09/2004,Marseille,Bastia,1.0,0.0,H,0.0,0.0,1.61,3.4,5.0,1.55,3.3,6.0,1.65,3.3,4.4,1.66,3.3,4.5,2004/5,€78.60m,€31.85m
