Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,23/09/2017,Den Haag,Sparta Rotterdam,1.0,0.0,H,0.0,0.0,D,2.15,3.5,3.2,2.15,3.5,3.3,2.15,3.3,3.2,2017/18,€23.63m,€15.45m,2.15,3.5,3.3,16.0,10.0,5.0,5.0,13.0,12.0,6.0,4.0,2.0,1.0,0.0,0.0
N1,23/09/2017,Feyenoord,NAC Breda,0.0,2.0,A,0.0,1.0,A,1.17,7.5,13.0,1.17,7.5,16.0,1.15,7.0,19.0,2017/18,€104.20m,€17.15m,1.17,7.5,17.0,20.0,6.0,5.0,5.0,14.0,12.0,13.0,1.0,0.0,2.0,0.0,0.0
N1,23/09/2017,Heracles,Roda,2.0,1.0,H,0.0,1.0,A,1.62,4.0,5.0,1.6,4.1,5.5,1.67,3.8,4.6,2017/18,€22.25m,€13.28m,1.67,4.0,5.0,23.0,7.0,5.0,3.0,6.0,12.0,15.0,1.0,1.0,2.0,0.0,0.0
N1,23/09/2017,Willem II,Heerenveen,1.0,2.0,A,1.0,1.0,D,3.5,3.4,2.05,3.5,3.5,2.1,3.25,3.4,2.05,2017/18,€18.65m,€39.13m,3.4,3.6,2.1,12.0,11.0,4.0,5.0,11.0,11.0,5.0,4.0,0.0,2.0,0.0,0.0
N1,24/09/2017,Ajax,Vitesse,1.0,2.0,A,0.0,2.0,A,1.25,5.5,12.0,1.26,6.0,11.0,1.28,5.25,10.0,2017/18,€251.00m,€39.78m,1.29,6.0,9.5,18.0,8.0,5.0,4.0,12.0,18.0,11.0,4.0,2.0,3.0,0.0,0.0
N1,24/09/2017,AZ Alkmaar,Excelsior,0.0,2.0,A,0.0,2.0,A,1.3,5.0,10.0,1.33,5.25,9.5,1.3,5.0,8.5,2017/18,€70.68m,€14.80m,1.33,5.5,9.0,20.0,13.0,6.0,6.0,7.0,10.0,26.0,4.0,1.0,0.0,0.0,0.0
N1,24/09/2017,Groningen,Twente,1.0,0.0,H,0.0,0.0,D,2.0,3.6,3.5,2.1,3.7,3.3,2.0,3.5,3.25,2017/18,€30.30m,€22.15m,2.1,3.6,3.4,13.0,16.0,3.0,5.0,11.0,12.0,8.0,4.0,2.0,3.0,0.0,0.0
N1,24/09/2017,Utrecht,PSV Eindhoven,1.0,7.0,A,1.0,2.0,A,3.4,3.75,2.0,3.7,3.8,1.95,3.4,3.5,1.95,2017/18,€46.63m,€174.45m,3.5,3.75,2.0,15.0,12.0,4.0,9.0,16.0,15.0,5.0,3.0,2.0,2.0,1.0,0.0
N1,24/09/2017,VVV Venlo,Zwolle,1.0,1.0,D,0.0,1.0,A,2.3,3.4,3.0,2.25,3.5,3.1,2.2,3.4,2.9,2017/18,€13.58m,€26.33m,2.3,3.5,3.0,12.0,13.0,5.0,2.0,14.0,8.0,4.0,4.0,2.0,1.0,0.0,0.0
N1,29/09/2017,Twente,Heracles,2.0,1.0,H,1.0,0.0,H,1.91,3.75,3.6,1.85,3.6,4.0,1.91,3.6,3.5,2017/18,€22.15m,€22.25m,1.95,3.75,3.7,16.0,14.0,7.0,1.0,18.0,14.0,4.0,2.0,1.0,2.0,0.0,0.0
N1,30/09/2017,Excelsior,VVV Venlo,0.0,2.0,A,0.0,1.0,A,2.15,3.3,3.4,2.2,3.3,3.2,2.25,3.2,3.0,2017/18,€14.80m,€13.58m,2.3,3.3,3.25,3.0,14.0,1.0,4.0,15.0,14.0,2.0,4.0,3.0,1.0,0.0,0.0
N1,30/09/2017,NAC Breda,Den Haag,0.0,1.0,A,0.0,0.0,D,2.25,3.25,3.2,2.2,3.3,3.2,2.15,3.25,3.2,2017/18,€17.15m,€23.63m,2.2,3.4,3.3,15.0,10.0,4.0,3.0,8.0,16.0,9.0,6.0,3.0,2.0,0.0,0.0
