Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
T1,11/09/2004,Gaziantepspor,Ankaraspor,2.0,1.0,H,0.0,0.0,1.571,3.5,5.0,1.65,3.5,4.5,1.7,3.2,4.2,1.6,3.4,4.8,2004/5,€38.60m,€32.75m
T1,11/09/2004,Genclerbirligi,Diyarbakirspor,2.0,0.0,H,0.0,0.0,1.727,3.2,4.333,1.85,3.4,3.6,1.8,3.1,3.8,1.75,3.3,4.0,2004/5,€46.95m,€22.93m
T1,12/09/2004,Galatasaray,Samsunspor,3.0,1.0,H,0.0,1.0,1.25,5.0,8.0,1.25,5.0,9.0,1.35,4.0,7.0,1.3,4.33,8.0,2004/5,€79.65m,€34.65m
T1,12/09/2004,Istanbulspor,Rizespor,0.0,3.0,A,0.0,0.0,2.1,3.0,3.2,2.35,3.3,2.6,2.0,3.2,3.1,2.0,3.3,3.1,2004/5,€27.55m,€22.85m
T1,12/09/2004,Kayserispor,Konyaspor,2.0,2.0,D,1.0,0.0,2.2,3.2,2.8,2.1,3.3,3.0,2.2,3.0,2.9,2.15,3.3,2.8,2004/5,€30.03m,€37.25m
T1,12/09/2004,Malatyaspor,Ankaragucu,1.0,0.0,H,0.0,0.0,1.833,3.4,3.5,1.75,3.5,4.0,1.8,3.1,3.8,1.8,3.4,3.6,2004/5,€33.95m,€32.76m
T1,12/09/2004,Sakaryaspor,Besiktas,1.0,4.0,A,0.0,1.0,5.0,3.5,1.571,6.0,3.9,1.45,4.4,3.3,1.65,5.5,3.5,1.53,2004/5,€14.85m,€76.25m
T1,17/09/2004,Diyarbakirspor,Denizlispor,0.0,1.0,A,0.0,0.0,2.5,3.2,2.5,2.65,3.15,2.4,2.5,3.0,2.5,2.65,3.2,2.3,2004/5,€22.93m,€27.24m
T1,18/09/2004,Ankaraspor,Sakaryaspor,1.0,1.0,D,1.0,0.0,1.57,3.5,5.0,1.55,3.5,5.5,1.6,3.4,4.6,1.6,3.4,4.8,2004/5,€32.75m,€14.85m
T1,18/09/2004,Fenerbahce,Malatyaspor,3.0,1.0,H,1.0,1.0,1.36,4.0,7.5,1.3,4.5,8.25,1.33,4.0,7.5,1.33,4.2,7.5,2004/5,€90.60m,€33.95m
T1,18/09/2004,Konyaspor,A. Sebatspor,3.0,3.0,D,1.0,2.0,1.66,3.4,4.33,1.55,3.5,5.5,1.6,3.4,4.6,1.65,3.4,4.5,2004/5,€37.25m,€26.73m
