Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
N1,2004/5,18/09/2004,Nijmegen,PSV Eindhoven,A,€16.88m,€86.85m,4.5,3.5,1.61,1.0,1.0,1.0,1.0,1.0,1.0,4.45,3.55,1.65,4.55,3.5,1.65,5.0,3.7,1.5,4.5,3.25,1.67,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.5,1.57,0,0,0
N1,2004/5,18/09/2004,Twente,Willem II,D,€13.25m,€13.98m,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.35,3.2,2.1,3.3,3.0,1.9,3.1,3.5,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.3,3.1,0,1,0
N1,2004/5,18/09/2004,Waalwijk,Roosendaal,H,€19.33m,€10.70m,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.4,3.4,1.85,3.25,3.8,1.9,3.1,3.5,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.6,0,0,0
N1,2004/5,19/09/2004,Den Bosch,Ajax,A,€8.35m,€114.50m,6.0,3.75,1.44,1.0,1.0,1.0,1.0,1.0,1.0,5.6,3.75,1.5,6.0,4.3,1.4,6.0,3.9,1.4,6.5,4.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.75,1.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.75,1.44,0,0,0
N1,2004/5,19/09/2004,Feyenoord,Utrecht,A,€66.43m,€20.30m,1.33,4.33,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.3,4.3,9.0,1.35,4.0,7.0,1.33,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.0,8.0,0,0,1
N1,2004/5,19/09/2004,Roda,AZ Alkmaar,D,€20.93m,€50.00m,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.15,3.3,2.9,2.1,3.0,3.1,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.3,2.8,0,1,0
N1,2004/5,25/09/2004,Ajax,Roda,H,€114.50m,€20.93m,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.25,8.0,1.27,4.5,9.5,1.25,4.5,9.0,1.3,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.75,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.28,4.5,8.0,0,0,0
N1,2004/5,25/09/2004,AZ Alkmaar,Willem II,H,€50.00m,€13.98m,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.8,1.8,3.4,3.8,1.8,3.1,3.8,1.67,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.35,3.9,0,0,0
N1,2004/5,25/09/2004,PSV Eindhoven,Heerenveen,H,€86.85m,€31.20m,1.36,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.3,4.5,8.0,1.35,4.0,7.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.36,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.33,8.0,0,0,0
N1,2004/5,25/09/2004,Roosendaal,Feyenoord,A,€10.70m,€66.43m,4.33,3.4,1.66,1.0,1.0,1.0,1.0,1.0,1.0,5.25,3.6,1.55,5.0,3.5,1.6,4.6,3.4,1.6,5.5,3.6,1.5,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.5,1.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.61,0,0,0
