Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
B1,2004/5,21/08/2004,Oostende,Club Brugge,A,€8.60m,€53.03m,5.5,3.6,1.5,1.0,1.0,1.0,1.0,1.0,1.0,6.25,3.8,1.45,5.5,3.5,1.55,5.4,3.8,1.45,5.5,3.6,1.5,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.75,1.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.5,3.6,1.5,0,0,0
B1,2004/5,22/08/2004,Cercle Brugge,Standard,A,€10.98m,€43.55m,3.2,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.25,3.25,2.0,3.3,3.25,2.0,3.2,3.1,2.0,3.5,3.4,1.83,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.2,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6,3.3,1.83,0,0,0
B1,2004/5,22/08/2004,FC Brussels,Louvieroise,D,€10.22m,€17.80m,2.37,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.45,3.2,2.55,2.4,3.15,2.65,2.2,3.0,2.9,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.3,2.62,0,1,0
B1,2004/5,22/08/2004,Genk,Lokeren,H,€30.45m,€18.73m,1.61,3.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.55,4.9,1.65,3.5,4.55,1.7,3.2,4.2,1.67,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.3,4.5,0,0,0
B1,2004/5,27/08/2004,Louvieroise,Genk,H,€17.80m,€30.45m,2.62,3.1,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.45,3.2,2.55,2.6,3.1,2.45,2.6,3.0,2.4,2.6,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.37,0,0,0
B1,2004/5,28/08/2004,Anderlecht,Gent,H,€63.60m,€26.63m,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,9.0,1.25,5.0,9.0,1.25,4.5,9.0,1.3,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.75,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,8.0,0,0,0
B1,2004/5,28/08/2004,Bergen,Oostende,H,€15.63m,€8.60m,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.4,4.05,1.75,3.25,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.25,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.0,0,0,0
B1,2004/5,28/08/2004,Club Brugge,Lierse,H,€53.03m,€14.83m,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.25,5.0,9.0,1.25,4.5,9.0,1.3,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.75,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,8.0,0,0,0
B1,2004/5,28/08/2004,Lokeren,Mouscron,D,€18.73m,€15.60m,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.5,2.4,3.1,2.65,2.2,3.0,2.9,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.8,0,1,0
B1,2004/5,28/08/2004,Standard,FC Brussels,A,€43.55m,€10.22m,1.33,4.33,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.33,4.25,8.0,1.35,4.0,7.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.33,8.0,0,0,1
