Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA,isSuprise_H,isSuprise_D,isSuprise_A
P1,26/09/04,Gil Vicente,Moreirense,H,2.2,3.2,2.8,2.15,3.25,2.95,2.2,3.1,3.0,1.85,3.1,3.6,1.0,1.0,1.0,2.2,3.2,2.8,2.2,3.1,2.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,26/09/04,Leiria,Penafiel,A,1.66,3.4,4.33,1.5,3.65,5.8,1.6,3.5,5.0,1.6,3.4,4.6,1.0,1.0,1.0,1.62,3.4,4.75,1.6,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
P1,26/09/04,Nacional,Academica,H,1.72,3.4,4.0,1.6,3.55,4.9,1.7,3.4,4.4,1.7,3.2,4.2,1.0,1.0,1.0,1.62,3.4,4.75,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,26/09/04,Rio Ave,Sp Lisbon,D,3.0,3.2,2.1,3.3,3.25,2.0,3.1,3.2,2.1,3.1,3.0,2.1,1.0,1.0,1.0,3.2,3.2,2.0,3.1,3.2,2.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
P1,27/09/04,Estoril,Belenenses,H,2.37,3.1,2.62,2.4,3.2,2.6,2.5,3.1,2.55,2.5,3.0,2.5,1.0,1.0,1.0,2.38,3.1,2.6,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,01/10/04,Boavista,Rio Ave,A,1.66,3.25,4.5,1.6,3.55,4.9,1.7,3.3,4.5,1.75,3.1,4.2,1.0,1.0,1.0,1.73,3.25,4.2,1.75,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
P1,03/10/04,Academica,Gil Vicente,H,2.0,3.2,3.2,2.15,3.25,2.95,2.1,3.2,3.1,2.1,3.0,3.1,1.0,1.0,1.0,2.1,3.1,3.1,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,03/10/04,Guimaraes,Benfica,A,4.5,3.25,1.66,4.05,3.4,1.75,4.0,3.25,1.8,3.6,3.1,1.85,1.0,1.0,1.0,3.75,3.3,1.8,3.75,3.3,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,03/10/04,Moreirense,Setubal,D,2.1,3.2,3.0,1.95,3.25,3.4,2.1,3.2,3.1,2.0,3.0,3.3,1.0,1.0,1.0,2.1,3.1,3.1,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
P1,03/10/04,Penafiel,Estoril,H,2.1,3.2,3.0,1.9,3.3,3.55,2.0,3.2,3.35,2.1,3.0,3.1,1.0,1.0,1.0,2.0,3.2,3.2,2.05,3.1,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
