Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA,isSuprise_H,isSuprise_D,isSuprise_A
T1,28/08/04,Sakaryaspor,Galatasaray,A,5.0,3.5,1.57,6.0,3.6,1.5,5.5,3.5,1.52,4.8,3.5,1.55,6.0,3.75,1.44,5.5,3.6,1.53,5.0,3.5,1.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,29/08/04,Ankaragucu,A. Sebatspor,H,1.66,3.4,4.33,1.7,3.4,4.3,1.65,3.4,4.5,1.65,3.3,4.4,1.73,3.6,3.75,1.67,3.4,4.5,1.65,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,29/08/04,Besiktas,Gaziantepspor,A,1.66,3.4,4.33,1.6,3.5,5.0,1.6,3.45,4.75,1.6,3.4,4.6,1.57,3.75,4.5,1.67,3.4,4.5,1.6,3.4,4.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
T1,29/08/04,Diyarbakirspor,Malatyaspor,A,2.37,3.1,2.62,2.3,3.4,2.6,2.4,3.25,2.5,2.3,3.0,2.7,2.4,3.2,2.5,2.5,3.2,2.5,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,29/08/04,Trabzonspor,Genclerbirligi,H,1.66,3.4,4.33,1.65,3.4,4.75,1.52,3.5,5.5,1.65,3.3,4.4,1.53,3.75,5.0,1.57,3.6,5.0,1.65,3.25,4.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,11/09/04,A. Sebatspor,Fenerbahce,A,7.0,3.75,1.4,6.7,4.0,1.4,5.8,3.85,1.45,6.0,3.9,1.4,7.0,3.75,1.4,6.5,3.75,1.44,7.0,3.75,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,11/09/04,Denizlispor,Trabzonspor,A,2.625,3.2,2.375,3.0,3.3,2.1,2.65,3.1,2.38,2.5,3.0,2.5,2.75,3.25,2.2,2.62,3.2,2.37,2.5,3.25,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,11/09/04,Gaziantepspor,Ankaraspor,H,1.571,3.5,5.0,1.65,3.5,4.5,1.6,3.55,4.6,1.7,3.2,4.2,1.571,3.75,4.5,1.57,3.6,5.0,1.6,3.4,4.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,11/09/04,Genclerbirligi,Diyarbakirspor,H,1.727,3.2,4.333,1.85,3.4,3.6,1.75,3.3,4.0,1.8,3.1,3.8,1.727,3.6,3.75,1.72,3.5,4.0,1.75,3.3,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,12/09/04,Galatasaray,Samsunspor,H,1.25,5.0,8.0,1.25,5.0,9.0,1.3,4.2,8.5,1.35,4.0,7.0,1.25,5.0,9.0,1.33,4.2,8.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
