Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP
SP1,2004/5,18/09/2004,Espanol,Real Madrid,H,45.15,303.7,3,3,1,0,3.75,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.35,1.8,3.8,3.3,1.95,3.5,3.1,1.9,3.75,3.25,1.8,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.4,1.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.3,1.8,1,0,0,1,1,8,7,7,7,6,6,6,6,6,6,2,2,2,0,0
SP1,2004/5,18/09/2004,Osasuna,Betis,H,26.7,85.15,3,3,3,2,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,2.0,3.25,3.7,1.85,3.1,3.6,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.1,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.2,3.5,0,0,0,0,4,17,7,7,7,1,1,1,7,7,7,4,4,4,0,0
SP1,2004/5,18/09/2004,Valencia,Sociedad,H,195.9,53.55,3,3,3,1,1.44,3.75,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.8,6.7,1.5,3.75,6.75,1.5,3.7,5.0,1.44,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.6,6.5,0,0,0,0,5,16,7,7,7,2,2,2,7,7,7,2,2,2,0,0
SP1,2004/5,19/09/2004,Ath Bilbao,La Coruna,A,53.05,144.45,3,3,1,2,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.15,2.7,2.4,3.25,2.8,2.2,3.0,2.9,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.0,2.8,0,0,0,0,14,10,2,2,2,4,4,4,4,4,4,4,4,4,0,0
SP1,2004/5,19/09/2004,Ath Madrid,Barcelona,D,125.65,273.03,3,3,1,1,2.75,3.25,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.2,2.3,3.1,3.25,2.2,2.9,3.0,2.2,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.25,0,1,0,1,2,3,7,7,7,7,7,7,5,5,5,5,5,5,0,0
SP1,2004/5,19/09/2004,Mallorca,Malaga,A,42.65,32.85,3,3,1,2,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,4.1,2.0,3.25,3.65,1.85,3.1,3.6,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.1,3.6,0,0,1,1,13,12,3,3,3,4,4,4,3,3,3,2,2,2,0,0
SP1,2004/5,19/09/2004,Numancia,Getafe,H,13.4,13.85,3,3,1,0,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.75,2.0,3.25,3.7,2.0,3.0,3.3,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.1,3.5,0,0,0,0,9,20,4,4,4,0,0,0,2,2,2,2,2,2,0,0
SP1,2004/5,19/09/2004,Santander,Villarreal,D,32.9,66.25,3,3,1,1,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.45,3.15,2.65,2.5,3.25,2.7,2.5,3.0,2.5,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.62,0,1,0,1,18,15,1,1,1,2,2,2,2,2,2,2,2,2,0,0
SP1,2004/5,19/09/2004,Sevilla,Levante,H,70.55,24.25,3,3,3,0,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.55,1.75,3.35,4.8,1.75,3.2,4.0,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.0,0,0,0,0,7,11,6,6,6,4,4,4,4,4,4,4,4,4,0,0
SP1,2004/5,19/09/2004,Zaragoza,Albacete,H,51.13,17.75,3,3,4,3,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,4.1,1.77,3.3,4.75,1.85,3.1,3.6,1.57,3.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.3,4.33,0,0,0,0,6,19,7,7,7,0,0,0,7,7,7,3,3,3,0,0
SP1,2004/5,21/09/2004,Real Madrid,Osasuna,H,303.7,26.7,4,4,1,0,1.44,3.75,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,7.0,1.42,4.25,7.0,1.4,3.9,6.0,1.36,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,4.2,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,0,3,6,6,9,9,6,7,7,2,3,3,6,7,7,0,0
