Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
B1,28/08/04,Westerlo,Cercle Brugge,A,1.53,3.5,5.5,1.65,3.25,5.0,1.6,3.45,5.0,1.6,3.4,4.6,1.57,3.5,5.0,1.57,3.5,5.0,1.57,3.3,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,29/08/04,Germinal,Charleroi,A,1.66,3.4,4.33,1.7,3.45,4.3,1.67,3.4,4.5,1.65,3.3,4.4,1.62,3.5,4.5,1.67,3.4,4.33,1.66,3.3,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,29/08/04,St Truiden,Beveren,A,2.1,3.2,3.0,2.0,3.25,3.3,2.1,3.15,3.15,1.9,3.1,3.5,2.1,3.2,3.0,2.1,3.2,3.0,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,11/09/04,Charleroi,Club Brugge,A,5.0,3.5,1.571,4.55,3.5,1.65,4.9,3.55,1.6,4.6,3.4,1.6,4.5,3.5,1.615,4.75,3.6,1.57,4.8,3.4,1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,11/09/04,FC Brussels,Westerlo,A,2.375,3.1,2.625,2.35,3.2,2.65,2.3,3.2,2.75,2.1,3.1,3.0,2.375,3.25,2.5,2.4,3.25,2.5,2.37,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,11/09/04,Gent,St Truiden,H,1.727,3.25,4.333,1.8,3.4,3.8,1.75,3.45,4.0,1.75,3.2,4.0,1.571,3.5,5.0,1.8,3.25,3.8,1.7,3.3,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,11/09/04,Lierse,Bergen,H,1.833,3.2,3.75,1.9,3.3,3.5,1.85,3.3,3.75,1.9,3.1,3.5,1.727,3.2,4.333,1.85,3.25,3.6,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,11/09/04,Oostende,Anderlecht,A,7.0,3.75,1.4,5.75,3.65,1.5,6.0,3.9,1.45,6.0,3.9,1.4,6.0,3.75,1.444,6.0,3.75,1.44,7.0,3.75,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,12/09/04,Cercle Brugge,Germinal,H,2.3,3.2,2.625,2.3,3.2,2.75,2.25,3.2,2.8,2.2,3.0,2.9,2.375,3.25,2.5,2.25,3.25,2.7,2.35,3.25,2.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,12/09/04,Genk,Standard,D,2.25,3.0,2.875,2.35,3.2,2.65,2.2,3.2,2.9,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.25,2.7,2.15,3.2,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
