Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
N1,29/08/04,Vitesse,Feyenoord,D,4.0,3.4,1.72,4.5,3.55,1.65,4.1,3.4,1.75,4.0,3.2,1.75,1.0,1.0,1.0,4.0,3.4,1.73,3.75,3.3,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,29/08/04,Waalwijk,Den Haag,A,1.66,3.4,4.33,1.7,3.5,4.2,1.7,3.4,4.35,1.8,3.1,3.8,1.0,1.0,1.0,1.67,3.4,4.33,1.7,3.4,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,10/09/04,AZ Alkmaar,Den Bosch,H,1.4,3.75,7.0,1.4,3.9,7.0,1.5,3.6,6.0,1.5,3.7,5.0,1.444,3.6,6.5,1.44,3.75,6.0,1.35,4.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,11/09/04,Heerenveen,Graafschap,H,1.444,3.75,6.0,1.5,3.75,5.6,1.5,3.6,6.0,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.6,5.5,1.35,4.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,11/09/04,PSV Eindhoven,Waalwijk,H,1.25,5.0,8.0,1.25,5.25,8.0,1.25,5.0,9.0,1.2,5.0,10.0,1.25,4.5,9.0,1.22,5.0,9.5,1.22,5.0,9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,11/09/04,Roosendaal,Vitesse,H,2.375,3.1,2.625,2.35,3.25,2.65,2.35,3.1,2.75,2.3,3.0,2.7,2.375,3.25,2.5,2.37,3.1,2.6,2.3,3.25,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,11/09/04,Willem II,Roda JC,H,2.25,3.2,2.75,2.2,3.25,2.85,2.2,3.2,2.9,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.75,2.3,3.25,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,12/09/04,Den Haag,Ajax,D,5.5,3.6,1.5,5.55,3.75,1.5,6.0,3.6,1.5,5.0,3.7,1.5,6.0,3.75,1.44,5.5,3.6,1.5,6.0,3.75,1.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,12/09/04,Feyenoord,Twente,H,1.3,4.5,7.5,1.25,5.25,8.0,1.3,4.5,8.3,1.3,4.2,8.0,1.25,4.5,9.0,1.3,4.5,7.5,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,12/09/04,Groningen,NAC Breda,A,2.25,3.2,2.75,2.3,3.25,2.7,2.25,3.3,2.75,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.25,3.25,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,12/09/04,Utrecht,Nijmegen,H,1.727,3.4,4.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.25,3.8,1.7,3.4,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,17/09/04,Den Haag,Vitesse,A,2.5,3.1,2.5,2.25,3.3,2.75,2.45,3.35,2.45,2.2,3.0,2.9,2.4,3.25,2.5,2.3,3.2,2.62,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,18/09/04,Graafschap,Groningen,D,2.25,3.2,2.75,2.15,3.3,2.9,2.25,3.15,2.85,2.3,3.0,2.7,2.25,3.2,2.75,2.2,3.25,2.75,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,18/09/04,Heerenveen,NAC Breda,H,1.83,3.2,3.75,1.9,3.4,3.4,1.8,3.25,4.0,1.8,3.1,3.8,1.8,3.4,3.6,1.83,3.2,3.75,1.85,3.3,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,18/09/04,Nijmegen,PSV Eindhoven,A,4.5,3.5,1.61,4.45,3.55,1.65,4.55,3.5,1.65,5.0,3.7,1.5,4.5,3.25,1.67,4.5,3.5,1.62,5.0,3.5,1.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
