Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SP1,26/09/2004,Valencia,Santander,H,1.28,4.5,8.5,1.3,4.7,8.25,1.3,4.2,8.0,1.36,3.75,8.0,2004/5,€195.90m,€32.90m,78.125,76.9231,73.5294,76.9231,22.2222,21.2766,26.6667,23.8095,11.7647,12.1212,12.5,12.5,H,76.3751,1.98,23.4938,2.3594,12.2215,0.353
SP1,26/09/2004,Zaragoza,Levante,H,1.72,3.25,4.33,1.75,3.35,4.3,1.85,3.1,3.6,1.7,3.2,4.5,2004/5,€51.13m,€24.25m,58.1395,57.1429,58.8235,54.0541,30.7692,29.8507,31.25,32.2581,23.0947,23.2558,22.2222,27.7778,H,57.04,2.1068,31.032,1.0026,24.0876,2.5017
SP1,02/10/2004,Betis,Valencia,D,3.4,3.25,2.1,3.4,3.25,2.0,3.2,3.1,2.0,3.1,3.1,2.1,2004/5,€85.15m,€195.90m,29.4118,29.4118,32.2581,31.25,30.7692,30.7692,32.2581,32.2581,47.619,50.0,47.619,50.0,A,30.5829,1.4135,31.5136,0.8596,48.8095,1.3747
SP1,02/10/2004,Sociedad,Ath Madrid,H,2.5,3.2,2.75,2.4,3.2,2.7,2.3,2.9,2.8,2.4,3.1,2.6,2004/5,€53.55m,€125.65m,40.0,41.6667,41.6667,43.4783,31.25,31.25,32.2581,34.4828,36.3636,37.037,38.4615,35.7143,H,41.7029,1.4206,32.3102,1.5244,36.8941,1.1762
SP1,03/10/2004,Albacete,Espanol,H,2.4,3.2,2.6,2.5,3.15,2.6,2.4,3.0,2.6,2.5,3.1,2.5,2004/5,€17.75m,€45.15m,41.6667,40.0,40.0,41.6667,31.25,31.746,32.2581,33.3333,38.4615,38.4615,40.0,38.4615,H,40.8333,0.9623,32.1468,0.8916,38.8461,0.7692
SP1,03/10/2004,Barcelona,Numancia,H,1.2,5.0,12.0,1.15,6.25,14.0,1.2,5.0,10.0,1.2,5.0,11.0,2004/5,€273.03m,€13.40m,83.3333,86.9565,83.3333,83.3333,20.0,16.0,20.0,20.0,8.3333,7.1429,9.0909,10.0,H,84.2391,1.8116,19.0,2.0,8.6418,1.2094
SP1,03/10/2004,Getafe,Ath Bilbao,H,2.4,3.2,2.6,2.75,3.2,2.35,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€13.85m,€53.05m,41.6667,36.3636,40.0,40.0,31.25,31.25,32.2581,33.3333,38.4615,42.5532,40.0,40.0,H,39.5076,2.2384,32.0228,0.9945,40.2537,1.6959
SP1,03/10/2004,Levante,Mallorca,H,2.0,3.25,3.25,2.0,3.25,3.4,1.9,3.1,3.5,2.05,3.1,3.2,2004/5,€24.25m,€42.65m,50.0,50.0,48.7805,52.6316,30.7692,30.7692,32.2581,32.2581,30.7692,29.4118,31.25,28.5714,H,50.353,1.6242,31.5136,0.8596,30.0006,1.2303
SP1,03/10/2004,Malaga,Osasuna,H,1.9,3.25,3.5,2.05,3.25,3.25,2.1,3.0,3.1,2.1,3.2,3.0,2004/5,€32.85m,€26.70m,52.6316,48.7805,47.619,47.619,30.7692,30.7692,31.25,33.3333,28.5714,30.7692,33.3333,32.2581,H,49.1625,2.3766,31.5304,1.2231,31.233,2.0625
SP1,03/10/2004,Real Madrid,La Coruna,A,1.61,3.4,6.0,1.5,3.6,6.25,1.55,3.5,4.8,1.53,3.5,5.5,2004/5,€303.70m,€144.45m,62.1118,66.6667,65.3595,64.5161,29.4118,27.7778,28.5714,28.5714,16.6667,16.0,18.1818,20.8333,H,64.6635,1.9175,28.5831,0.6672,17.9205,2.1458
SP1,03/10/2004,Santander,Sevilla,D,2.4,3.2,2.6,2.4,3.2,2.7,2.4,2.9,2.7,2.4,3.1,2.6,2004/5,€32.90m,€70.55m,41.6667,41.6667,41.6667,41.6667,31.25,31.25,32.2581,34.4828,38.4615,37.037,38.4615,37.037,H,41.6667,0.0,32.3102,1.5244,37.7493,0.8224
