Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
T1,11/02/2018,Akhisar Belediyespor,Bursaspor,1.0,0.0,H,1.0,0.0,H,2.29,3.29,3.1,2.3,3.2,3.0,2.25,3.3,3.0,2017/18,€18.60m,€31.90m,2.25,3.5,3.1,9.0,7.0,3.0,3.0,19.0,22.0,3.0,3.0,5.0,2.0,0.0,0.0,43.66812227074236,43.47826086956522,44.44444444444444,44.44444444444444,30.3951367781155,31.25,30.303030303030305,28.57142857142857,32.25806451612903,33.33333333333333,33.33333333333333,32.25806451612903,44.00881800729911,0.5089548921689754,30.129898913143595,1.1230585995339109,32.795698924731184,0.6208067410641112
T1,11/02/2018,Alanyaspor,Konyaspor,1.0,2.0,A,1.0,2.0,A,2.29,3.29,3.1,2.2,3.3,3.1,2.3,3.25,2.9,2017/18,€29.18m,€26.28m,2.3,3.4,3.0,23.0,4.0,11.0,4.0,12.0,10.0,18.0,1.0,4.0,5.0,0.0,1.0,43.66812227074236,45.45454545454545,43.47826086956522,43.47826086956522,30.3951367781155,30.303030303030305,30.76923076923077,29.411764705882355,32.25806451612903,32.25806451612903,34.48275862068966,33.33333333333333,44.01979736610456,0.9606770189387307,30.219790639064733,0.5751711268452304,33.08305524657027,1.0619209115031296
T1,11/02/2018,Buyuksehyr,Fenerbahce,0.0,2.0,A,0.0,1.0,A,1.85,3.5,4.2,1.91,3.4,3.8,1.87,3.4,3.9,2017/18,€51.80m,€74.93m,1.9,3.5,4.0,4.0,12.0,2.0,4.0,9.0,14.0,5.0,3.0,2.0,0.0,0.0,0.0,54.05405405405405,52.35602094240838,53.475935828877,52.63157894736842,28.57142857142857,29.411764705882355,29.411764705882355,28.57142857142857,23.809523809523807,26.31578947368421,25.641025641025646,25.0,53.12939744317696,0.7791048640400148,28.991596638655462,0.4851682934366627,25.191584731058416,1.0665568487587078
T1,11/02/2018,Kayserispor,Sivasspor,1.0,1.0,D,0.0,0.0,D,2.14,3.39,3.29,2.0,3.3,3.6,2.15,3.2,3.3,2017/18,€22.65m,€22.93m,2.1,3.4,3.5,8.0,5.0,3.0,1.0,17.0,12.0,7.0,3.0,4.0,2.0,0.0,0.0,46.728971962616825,50.0,46.51162790697674,47.61904761904761,29.49852507374631,30.303030303030305,31.25,29.411764705882355,30.3951367781155,27.77777777777778,30.303030303030305,28.57142857142857,47.71491187216029,1.5969541334591988,30.115830020664745,0.8559904307706316,29.261843357588038,1.2971182745475216
T1,12/02/2018,Galatasaray,Antalyaspor,3.0,0.0,H,3.0,0.0,H,1.25,5.5,12.0,1.25,5.25,11.5,1.28,5.25,10.0,2017/18,€96.05m,€30.15m,1.25,6.0,10.0,9.0,8.0,5.0,2.0,20.0,15.0,8.0,3.0,2.0,3.0,1.0,0.0,80.0,80.0,78.125,80.0,18.181818181818183,19.047619047619047,19.047619047619047,16.666666666666664,8.333333333333332,8.695652173913043,10.0,10.0,79.53125,0.9375,18.235930735930737,1.1229713143054398,9.257246376811594,0.8703197209756754
T1,16/02/2018,Konyaspor,Besiktas,1.0,1.0,D,0.0,1.0,A,5.0,4.0,1.61,5.0,3.6,1.65,4.75,3.9,1.61,2017/18,€26.28m,€122.55m,5.0,4.0,1.65,7.0,13.0,4.0,8.0,19.0,16.0,3.0,8.0,3.0,6.0,0.0,0.0,20.0,20.0,21.052631578947366,20.0,25.0,27.77777777777778,25.641025641025646,25.0,62.11180124223602,60.60606060606061,62.11180124223602,60.60606060606061,20.263157894736842,0.5263157894736832,25.854700854700855,1.3171824792668756,61.35893092414831,0.8693397616256315
T1,17/02/2018,Antalyaspor,Kayserispor,2.0,1.0,H,0.0,0.0,D,2.87,3.1,2.54,2.8,3.1,2.5,2.75,3.1,2.5,2017/18,€30.15m,€22.65m,2.8,3.25,2.55,14.0,4.0,9.0,2.0,12.0,12.0,5.0,5.0,3.0,1.0,0.0,0.0,34.843205574912886,35.714285714285715,36.36363636363637,35.714285714285715,32.25806451612903,32.25806451612903,32.25806451612903,30.76923076923077,39.370078740157474,40.0,40.0,39.21568627450981,35.65885334178017,0.6240047765136434,31.88585607940447,0.744416873449131,39.64644125366682,0.4130914608813009
T1,17/02/2018,Fenerbahce,Alanyaspor,3.0,0.0,H,2.0,0.0,H,1.36,5.0,7.5,1.35,5.0,7.0,1.36,4.8,7.5,2017/18,€74.93m,€29.18m,1.33,5.25,8.0,9.0,4.0,3.0,4.0,18.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0,73.52941176470587,74.07407407407408,73.52941176470587,75.18796992481202,20.0,20.0,20.833333333333336,19.047619047619047,13.333333333333334,14.285714285714285,13.333333333333334,12.5,74.08021688207445,0.7818625395859369,19.970238095238095,0.7298243713392677,13.363095238095239,0.7298243713392663
T1,17/02/2018,Sivasspor,Osmanlispor,3.0,2.0,H,1.0,0.0,H,2.04,3.25,3.75,1.95,3.25,3.8,2.0,3.3,3.5,2017/18,€22.93m,€25.50m,2.05,3.4,3.6,7.0,6.0,4.0,3.0,18.0,22.0,2.0,4.0,3.0,4.0,0.0,0.0,49.01960784313725,51.28205128205129,50.0,48.78048780487806,30.76923076923077,30.76923076923077,30.303030303030305,29.411764705882355,26.666666666666668,26.31578947368421,28.57142857142857,27.77777777777778,49.770536732516646,1.1374563289202142,30.31331413684355,0.6399523641331856,27.332915622389308,1.0344483128083264
T1,18/02/2018,Karabukspor,Akhisar Belediyespor,0.0,3.0,A,0.0,1.0,A,3.75,3.39,2.0,3.6,3.3,2.0,3.5,3.2,2.05,2017/18,€14.75m,€18.60m,3.7,3.4,2.0,10.0,6.0,3.0,5.0,18.0,12.0,2.0,1.0,4.0,2.0,0.0,0.0,26.666666666666668,27.77777777777778,28.57142857142857,27.027027027027025,29.49852507374631,30.303030303030305,31.25,29.411764705882355,50.0,50.0,48.78048780487806,50.0,27.51072501072501,0.8451444554409534,30.115830020664745,0.8559904307706316,49.69512195121951,0.6097560975609717
