Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
F1,28/08/2004,Strasbourg,Istres,D,1.83,3.25,3.75,1.85,3.25,3.75,1.8,3.1,3.8,1.72,3.2,4.33,2004/5,€35.10m,€18.50m,54.6448,54.0541,58.1395,55.5556,30.7692,30.7692,31.25,32.2581,26.6667,26.6667,23.0947,26.3158,H,55.5985,1.8031,31.2616,0.7019,25.686,1.7354
F1,29/08/2004,Paris SG,St Etienne,D,1.4,3.8,7.0,1.4,3.9,7.0,1.4,3.7,6.5,1.44,3.6,6.5,2004/5,€81.75m,€37.50m,71.4286,71.4286,69.4444,71.4286,26.3158,25.641,27.7778,27.027,14.2857,14.2857,15.3846,15.3846,H,70.9326,0.9921,26.6904,0.9197,14.8352,0.6345
F1,11/09/2004,Bastia,Auxerre,H,2.5,3.0,2.6,2.35,3.3,2.6,2.3,2.9,2.8,2.5,3.1,2.5,2004/5,€31.85m,€47.85m,40.0,42.5532,40.0,43.4783,33.3333,30.303,32.2581,34.4828,38.4615,38.4615,40.0,35.7143,H,41.5079,1.7816,32.5943,1.7772,38.1593,1.7841
F1,11/09/2004,Caen,Lens,H,2.5,3.1,2.5,2.6,3.2,2.4,2.5,3.0,2.5,2.62,2.9,2.5,2004/5,€22.70m,€52.50m,40.0,38.4615,38.1679,40.0,32.2581,31.25,34.4828,33.3333,40.0,41.6667,40.0,40.0,A,39.1574,0.9804,32.831,1.3915,40.4167,0.8333
F1,11/09/2004,Istres,Paris SG,D,3.5,3.0,2.0,4.3,3.1,1.8,3.6,3.1,1.85,3.75,3.2,1.83,2004/5,€18.50m,€81.75m,28.5714,23.2558,26.6667,27.7778,33.3333,32.2581,31.25,32.2581,50.0,55.5556,54.6448,54.0541,A,26.5679,2.3422,32.2749,0.8507,53.5636,2.4547
F1,11/09/2004,Lille,Nice,H,1.909,3.0,3.75,1.9,3.1,3.8,2.0,2.9,3.4,1.83,3.0,4.0,2004/5,€56.25m,€34.45m,52.3834,52.6316,54.6448,50.0,33.3333,32.2581,33.3333,34.4828,26.6667,26.3158,25.0,29.4118,H,52.415,1.9019,33.3519,0.9085,26.8486,1.8533
F1,11/09/2004,Metz,Bordeaux,D,2.25,3.2,2.75,2.2,3.2,2.9,2.3,2.9,2.8,2.2,3.0,3.0,2004/5,€35.70m,€52.60m,44.4444,45.4545,45.4545,43.4783,31.25,31.25,33.3333,34.4828,36.3636,34.4828,33.3333,35.7143,H,44.7079,0.948,32.579,1.6048,34.9735,1.3432
F1,11/09/2004,Monaco,Strasbourg,H,1.4,3.75,7.0,1.45,3.7,6.5,1.45,3.6,5.8,1.36,3.75,8.0,2004/5,€103.80m,€35.10m,71.4286,68.9655,73.5294,68.9655,26.6667,27.027,26.6667,27.7778,14.2857,15.3846,12.5,17.2414,H,70.7222,2.2024,27.0346,0.5238,14.8529,1.9871
F1,11/09/2004,Stade Rennais FC,Lyon,A,2.75,3.0,2.375,2.7,3.15,2.35,2.7,2.9,2.4,2.62,3.1,2.37,2004/5,€61.30m,€133.90m,36.3636,37.037,38.1679,37.037,33.3333,31.746,32.2581,34.4828,42.1053,42.5532,42.1941,41.6667,A,37.1514,0.7483,32.955,1.2144,42.1298,0.3644
F1,11/09/2004,St Etienne,Nantes,D,2.375,3.0,2.75,2.5,3.2,2.5,2.2,3.0,2.9,2.2,3.1,2.87,2004/5,€37.50m,€47.35m,42.1053,40.0,45.4545,45.4545,33.3333,31.25,32.2581,33.3333,36.3636,40.0,34.8432,34.4828,H,43.2536,2.6828,32.5437,1.0004,36.4224,2.5205
