Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
E0,22/04/2006,Arsenal,Tottenham,1.0,1.0,D,0.0,0.0,D,S Bennett,9.0,9.0,6.0,6.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,1.0,1.66,3.4,5.5,1.7,3.3,4.8,1.73,3.2,4.33,2005/6,€232.33m,€154.33m,1.65,3.5,5.0,60.24096385542169,58.82352941176471,57.80346820809249,60.60606060606061,29.411764705882355,30.303030303030305,31.25,28.57142857142857,18.181818181818183,20.833333333333336,23.094688221709006,20.0,H,59.36850552033488,1.296028148394321,29.884055895085307,1.1528793389412804,20.52745993421513,2.038338279840298
E0,22/04/2006,Bolton,Charlton,4.0,1.0,H,3.0,0.0,H,U Rennie,13.0,5.0,11.0,3.0,14.0,12.0,9.0,1.0,0.0,0.0,0.0,0.0,1.83,3.3,4.33,1.8,3.3,4.15,1.8,3.25,3.75,2005/6,€61.85m,€82.43m,1.8,3.4,4.35,54.64480874316939,55.55555555555556,55.55555555555556,55.55555555555556,30.303030303030305,30.303030303030305,30.76923076923077,29.411764705882355,23.094688221709006,24.096385542168672,26.666666666666668,22.98850574712644,H,55.32786885245902,0.4553734061930825,30.196764020293436,0.5676052466160415,24.211561544417698,1.711147585204474
E0,22/04/2006,Everton,Birmingham,0.0,0.0,D,0.0,0.0,D,M Halsey,17.0,6.0,9.0,2.0,15.0,18.0,11.0,2.0,0.0,4.0,0.0,0.0,2.1,3.25,3.4,2.0,3.3,3.4,2.0,3.2,3.2,2005/6,€92.92m,€81.83m,2.25,3.25,3.0,47.61904761904761,50.0,50.0,44.44444444444444,30.76923076923077,30.303030303030305,31.25,30.76923076923077,29.411764705882355,29.411764705882355,31.25,33.33333333333333,H,48.01587301587301,2.6322418971074613,30.77287296037296,0.38662163489847257,30.85171568627451,1.8676165017313904
E0,22/04/2006,Newcastle,West Brom,3.0,0.0,H,2.0,0.0,H,H Webb,14.0,5.0,9.0,1.0,16.0,11.0,4.0,2.0,0.0,1.0,0.0,0.0,1.8,3.3,4.5,1.65,3.4,5.0,1.53,3.5,5.5,2005/6,€150.48m,€65.55m,1.7,3.6,4.5,55.55555555555556,60.60606060606061,65.359477124183,58.82352941176471,30.303030303030305,29.411764705882355,28.57142857142857,27.77777777777778,22.22222222222222,20.0,18.181818181818183,22.22222222222222,H,60.086155674390966,4.090590127217839,29.016000339529754,1.08687851667776,20.656565656565654,1.9543127085429552
E0,22/04/2006,Portsmouth,Sunderland,2.0,1.0,H,0.0,0.0,D,M Dean,23.0,7.0,15.0,6.0,9.0,15.0,8.0,5.0,2.0,3.0,0.0,0.0,1.36,4.33,9.0,1.4,3.85,8.25,1.36,4.0,7.0,2005/6,€86.13m,€34.35m,1.35,4.35,8.5,73.52941176470587,71.42857142857143,73.52941176470587,74.07407407407408,23.094688221709006,25.97402597402597,25.0,22.98850574712644,11.11111111111111,12.121212121212121,14.285714285714285,11.76470588235294,H,73.14036725801431,1.1697242746944343,24.264304985715352,1.4674308710284392,12.320685850097615,1.3751740853464358
E0,24/04/2006,Fulham,Wigan,1.0,0.0,H,1.0,0.0,H,R Styles,12.0,21.0,6.0,10.0,11.0,9.0,4.0,8.0,4.0,2.0,0.0,0.0,2.0,3.2,3.75,2.0,3.15,3.55,2.0,3.4,3.0,2005/6,€70.88m,€51.92m,2.0,3.3,3.5,50.0,50.0,50.0,50.0,31.25,31.746031746031743,29.411764705882355,30.303030303030305,26.666666666666668,28.169014084507044,33.33333333333333,28.57142857142857,H,50.0,0.0,30.6777066887361,1.034702785041896,29.185110663983902,2.8844045862578147
E0,25/04/2006,Aston Villa,Man City,0.0,1.0,A,0.0,0.0,D,C Foy,10.0,15.0,5.0,6.0,12.0,9.0,4.0,9.0,1.0,1.0,0.0,0.0,2.1,3.25,3.4,2.0,3.25,3.4,2.1,3.2,3.0,2005/6,€89.00m,€91.90m,2.1,3.25,3.0,47.61904761904761,50.0,47.61904761904761,47.61904761904761,30.76923076923077,30.76923076923077,31.25,30.76923076923077,29.411764705882355,29.411764705882355,33.33333333333333,33.33333333333333,H,48.214285714285715,1.1904761904761934,30.88942307692308,0.24038461538461497,31.372549019607842,2.264118702704411
E0,26/04/2006,West Ham,Liverpool,1.0,2.0,A,0.0,1.0,A,H Webb,11.0,13.0,7.0,7.0,11.0,7.0,6.0,3.0,0.0,0.0,1.0,1.0,4.75,3.5,1.72,4.15,3.3,1.8,3.75,3.25,1.8,2005/6,€62.55m,€216.35m,4.35,3.4,1.8,21.052631578947366,24.096385542168672,26.666666666666668,22.98850574712644,28.57142857142857,30.303030303030305,30.76923076923077,29.411764705882355,58.139534883720934,55.55555555555556,55.55555555555556,55.55555555555556,A,23.701047383727285,2.34328913067079,29.763863587392997,0.9742242738416168,56.201550387596896,1.2919896640826887
E0,29/04/2006,Birmingham,Newcastle,0.0,0.0,D,0.0,0.0,D,M Atkinson,15.0,4.0,5.0,0.0,9.0,10.0,6.0,3.0,2.0,2.0,0.0,0.0,2.5,3.2,2.75,2.4,3.15,2.75,2.38,3.2,2.6,2005/6,€81.83m,€150.48m,2.4,3.4,2.7,40.0,41.66666666666667,42.016806722689076,41.66666666666667,31.25,31.746031746031743,31.25,29.411764705882355,36.36363636363637,36.36363636363637,38.46153846153846,37.03703703703704,H,41.33753501400561,0.9068379600706964,30.914449112978524,1.028717469876527,37.05646205646206,0.98904531691945
E0,29/04/2006,Charlton,Blackburn,0.0,2.0,A,0.0,1.0,A,R Styles,7.0,10.0,3.0,4.0,10.0,6.0,4.0,4.0,3.0,4.0,0.0,0.0,2.75,3.2,2.5,2.65,3.25,2.4,2.38,3.2,2.6,2005/6,€82.43m,€63.80m,2.6,3.3,2.5,36.36363636363637,37.735849056603776,42.016806722689076,38.46153846153846,31.25,30.76923076923077,31.25,30.303030303030305,40.0,41.66666666666667,38.46153846153846,40.0,A,38.644457651116916,2.4106647087402555,30.89306526806527,0.4539754210630203,40.032051282051285,1.3090114010680882
