Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
N1,29/08/2004,Waalwijk,Den Haag,A,1.66,3.4,4.33,1.7,3.5,4.2,1.8,3.1,3.8,1.7,3.4,4.2,2004/5,€19.33m,€9.92m,60.241,58.8235,58.8235,55.5556,29.4118,28.5714,29.4118,32.2581,23.0947,23.8095,23.8095,26.3158,H,58.3609,1.986,29.9133,1.6126,24.2574,1.413
N1,10/09/2004,AZ Alkmaar,Den Bosch,H,1.4,3.75,7.0,1.4,3.9,7.0,1.5,3.7,5.0,1.35,4.2,7.0,2004/5,€50.00m,€8.35m,71.4286,71.4286,74.0741,66.6667,26.6667,25.641,23.8095,27.027,14.2857,14.2857,14.2857,20.0,H,70.8995,3.0852,25.786,1.4426,15.7143,2.8572
N1,11/09/2004,Heerenveen,Graafschap,H,1.444,3.75,6.0,1.5,3.75,5.6,1.5,3.7,5.0,1.35,4.2,7.0,2004/5,€31.20m,€12.28m,69.2521,66.6667,74.0741,66.6667,26.6667,26.6667,23.8095,27.027,16.6667,17.8571,14.2857,20.0,H,69.1649,3.4924,26.0425,1.4983,17.2024,2.3839
N1,11/09/2004,PSV Eindhoven,Waalwijk,H,1.25,5.0,8.0,1.25,5.25,8.0,1.2,5.0,10.0,1.22,5.0,9.5,2004/5,€86.85m,€19.33m,80.0,80.0,81.9672,83.3333,20.0,19.0476,20.0,20.0,12.5,12.5,10.5263,10.0,H,81.3251,1.6286,19.7619,0.4762,11.3816,1.3092
N1,11/09/2004,Roosendaal,Vitesse,H,2.375,3.1,2.625,2.35,3.25,2.65,2.3,3.0,2.7,2.3,3.25,2.6,2004/5,€10.70m,€21.40m,42.1053,42.5532,43.4783,43.4783,32.2581,30.7692,30.7692,33.3333,38.0952,37.7358,38.4615,37.037,H,42.9038,0.6881,31.7824,1.2496,37.8324,0.6074
N1,11/09/2004,Willem II,Roda,H,2.25,3.2,2.75,2.2,3.25,2.85,2.2,3.0,2.9,2.3,3.25,2.6,2004/5,€13.98m,€20.93m,44.4444,45.4545,43.4783,45.4545,31.25,30.7692,30.7692,33.3333,36.3636,35.0877,38.4615,34.4828,H,44.7079,0.948,31.5304,1.2231,36.0989,1.7594
N1,12/09/2004,Den Haag,Ajax,D,5.5,3.6,1.5,5.55,3.75,1.5,5.0,3.7,1.5,6.0,3.75,1.44,2004/5,€9.92m,€114.50m,18.1818,18.018,16.6667,20.0,27.7778,26.6667,26.6667,27.027,66.6667,66.6667,69.4444,66.6667,A,18.2166,1.3691,27.0346,0.5238,67.3611,1.3888
N1,12/09/2004,Feyenoord,Twente,H,1.3,4.5,7.5,1.25,5.25,8.0,1.3,4.2,8.0,1.3,4.33,8.0,2004/5,€66.43m,€13.25m,76.9231,80.0,76.9231,76.9231,22.2222,19.0476,23.0947,23.8095,13.3333,12.5,12.5,12.5,H,77.6923,1.5384,22.0435,2.1001,12.7083,0.4166
N1,12/09/2004,Groningen,NAC Breda,A,2.25,3.2,2.75,2.3,3.25,2.7,2.3,2.9,2.8,2.25,3.25,2.7,2004/5,€12.95m,€17.45m,44.4444,43.4783,44.4444,43.4783,31.25,30.7692,30.7692,34.4828,36.3636,37.037,37.037,35.7143,H,43.9613,0.5578,31.8178,1.7911,36.538,0.6343
N1,12/09/2004,Utrecht,Nijmegen,H,1.727,3.4,4.0,1.8,3.4,3.8,1.8,3.1,3.8,1.7,3.4,4.2,2004/5,€20.30m,€16.88m,57.9039,55.5556,58.8235,55.5556,29.4118,29.4118,29.4118,32.2581,25.0,26.3158,23.8095,26.3158,H,56.9596,1.6642,30.1234,1.4231,25.3603,1.2056
N1,17/09/2004,Den Haag,Vitesse,A,2.5,3.1,2.5,2.25,3.3,2.75,2.2,3.0,2.9,2.25,3.2,2.75,2004/5,€9.92m,€21.40m,40.0,44.4444,44.4444,45.4545,32.2581,30.303,31.25,33.3333,40.0,36.3636,36.3636,34.4828,H,43.5858,2.4375,31.7861,1.3043,36.8025,2.3087
