Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SC0,11/09/2004,Inverness C,Hibernian,A,2.5,3.2,2.5,2.35,3.25,2.65,2.4,2.9,2.7,2.5,3.25,2.4,2004/5,€2.38m,€13.25m,40.0,42.5532,40.0,41.6667,31.25,30.7692,30.7692,34.4828,40.0,37.7358,41.6667,37.037,H,41.055,1.2708,31.8178,1.7911,39.1099,2.1225
SC0,11/09/2004,Livingston,Kilmarnock,A,2.25,3.25,2.75,2.25,3.2,2.8,2.4,2.9,2.7,2.25,3.2,2.75,2004/5,€9.75m,€3.78m,44.4444,44.4444,44.4444,41.6667,30.7692,31.25,31.25,34.4828,36.3636,35.7143,36.3636,37.037,H,43.75,1.3889,31.938,1.7116,36.3696,0.54
SC0,12/09/2004,Hearts,Rangers,D,5.5,3.6,1.615,4.5,3.5,1.65,4.8,3.5,1.55,5.0,3.5,1.57,2004/5,€11.08m,€80.78m,18.1818,22.2222,20.0,20.8333,27.7778,28.5714,28.5714,28.5714,61.9195,60.6061,63.6943,64.5161,A,20.3093,1.6888,28.373,0.3968,62.684,1.7587
SC0,18/09/2004,Dundee,Livingston,D,2.1,3.25,3.2,2.0,3.2,3.35,2.0,3.1,3.2,2.2,3.1,2.87,2004/5,€9.05m,€9.75m,47.619,50.0,45.4545,50.0,30.7692,31.25,32.2581,32.2581,31.25,29.8507,34.8432,31.25,H,48.2684,2.1861,31.6338,0.7471,31.7985,2.1343
SC0,18/09/2004,Kilmarnock,Aberdeen,A,2.25,3.4,2.75,2.2,3.2,2.9,2.3,3.0,2.7,2.4,3.1,2.6,2004/5,€3.78m,€6.88m,44.4444,45.4545,41.6667,43.4783,29.4118,31.25,32.2581,33.3333,36.3636,34.4828,38.4615,37.037,H,43.761,1.6126,31.5633,1.6676,36.5862,1.6527
SC0,18/09/2004,Motherwell,Dundee United,H,2.0,3.4,3.25,2.0,3.2,3.35,2.2,3.0,2.9,2.15,3.2,2.9,2004/5,€4.83m,€8.13m,50.0,50.0,46.5116,45.4545,29.4118,31.25,31.25,33.3333,30.7692,29.8507,34.4828,34.4828,H,47.9915,2.359,31.3113,1.6025,32.3964,2.4382
SC0,19/09/2004,Dunfermline,Hearts,H,3.0,3.2,2.2,2.9,3.2,2.2,2.9,3.0,2.2,2.8,3.2,2.2,2004/5,€6.03m,€11.08m,33.3333,34.4828,35.7143,34.4828,31.25,31.25,31.25,33.3333,45.4545,45.4545,45.4545,45.4545,A,34.5033,0.9723,31.7708,1.0417,45.4545,0.0
SC0,19/09/2004,Hibernian,Celtic,D,8.0,5.0,1.33,9.0,5.0,1.25,9.0,4.5,1.25,10.0,4.5,1.25,2004/5,€13.25m,€77.55m,12.5,11.1111,10.0,11.1111,20.0,20.0,22.2222,22.2222,75.188,80.0,80.0,80.0,A,11.1806,1.0238,21.1111,1.283,78.797,2.406
SC0,19/09/2004,Rangers,Inverness C,H,1.12,7.0,13.0,1.2,5.25,11.0,1.15,6.0,12.0,1.1,6.5,17.0,2004/5,€80.78m,€2.38m,89.2857,83.3333,90.9091,86.9565,14.2857,19.0476,15.3846,16.6667,7.6923,9.0909,5.8824,8.3333,H,87.6212,3.2868,16.3462,2.047,7.7497,1.3699
SC0,25/09/2004,Aberdeen,Hibernian,A,1.9,3.25,3.5,2.0,3.2,3.35,2.0,3.1,3.2,1.9,3.2,3.5,2004/5,€6.88m,€13.25m,52.6316,50.0,52.6316,50.0,30.7692,31.25,31.25,32.2581,28.5714,29.8507,28.5714,31.25,H,51.3158,1.5194,31.3818,0.6266,29.5609,1.2774
SC0,25/09/2004,Celtic,Dunfermline,H,1.12,7.0,12.0,1.12,7.0,13.0,1.15,6.0,12.0,1.11,6.5,15.0,2004/5,€77.55m,€6.03m,89.2857,89.2857,90.0901,86.9565,14.2857,14.2857,15.3846,16.6667,8.3333,7.6923,6.6667,8.3333,H,88.9045,1.3529,15.1557,1.1327,7.7564,0.7868
SC0,25/09/2004,Hearts,Inverness C,H,1.5,3.75,5.5,1.4,3.9,7.0,1.45,3.8,5.4,1.5,3.4,6.0,2004/5,€11.08m,€2.38m,66.6667,71.4286,66.6667,68.9655,26.6667,25.641,29.4118,26.3158,18.1818,14.2857,16.6667,18.5185,H,68.4319,2.2728,27.0088,1.6576,16.9132,1.9279
