Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,VCH,VCD,VCA,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
I1,17/09/2006,Ascoli,Messina,1.0,1.0,D,0.0,0.0,D,2.25,3.0,3.3,2.25,2.85,3.3,2.1,3.0,3.2,2006/7,€25.80m,€40.58m,L. Banti,13.0,4.0,4.0,2.0,12.0,14.0,8.0,2.0,3.0,4.0,0.0,1.0,2.2,3.0,3.0,44.44444444444444,44.44444444444444,47.61904761904761,45.45454545454545,33.33333333333333,35.08771929824561,33.33333333333333,33.33333333333333,30.303030303030305,30.303030303030305,31.25,33.33333333333333,H,45.490620490620486,1.496715525012178,33.7719298245614,0.8771929824561404,31.297348484848484,1.4288472598177084
I1,17/09/2006,Catania,Atalanta,0.0,0.0,D,0.0,0.0,D,2.25,3.0,3.3,2.33,2.85,3.15,2.2,3.0,3.0,2006/7,€38.60m,€53.48m,L. Palanca,10.0,6.0,5.0,2.0,29.0,24.0,8.0,1.0,3.0,6.0,0.0,0.0,2.25,2.9,3.0,44.44444444444444,42.91845493562232,45.45454545454545,44.44444444444444,33.33333333333333,35.08771929824561,33.33333333333333,34.48275862068966,30.303030303030305,31.746031746031743,33.33333333333333,33.33333333333333,H,44.31547231976417,1.0460103243378434,34.05928614640048,0.8738837943141958,32.17893217893217,1.4573600199656649
I1,17/09/2006,Empoli,Chievo,1.0,1.0,D,0.0,1.0,A,2.2,3.0,3.4,2.15,2.95,3.35,2.1,3.0,3.2,2006/7,€44.30m,€83.50m,F. Squillace,11.0,4.0,2.0,1.0,24.0,19.0,6.0,6.0,1.0,1.0,0.0,1.0,2.1,3.0,3.2,45.45454545454545,46.51162790697674,47.61904761904761,47.61904761904761,33.33333333333333,33.89830508474576,33.33333333333333,33.33333333333333,29.411764705882355,29.850746268656714,31.25,31.25,H,46.801067149904355,1.0384411148797943,33.474576271186436,0.28248587570621453,30.440627743634767,0.9516102500013511
I1,17/09/2006,Lazio,Palermo,1.0,2.0,A,0.0,2.0,A,2.0,3.1,3.8,2.15,3.0,3.35,2.0,3.0,3.4,2006/7,€105.35m,€127.28m,N. Rizzoli,16.0,8.0,12.0,5.0,23.0,29.0,14.0,3.0,4.0,4.0,0.0,0.0,2.0,3.0,3.4,50.0,46.51162790697674,50.0,50.0,32.25806451612903,33.33333333333333,33.33333333333333,33.33333333333333,26.31578947368421,29.850746268656714,29.411764705882355,29.411764705882355,H,49.127906976744185,1.7441860465116292,33.064516129032256,0.5376344086021483,28.747516288526406,1.6343055213148552
I1,17/09/2006,Livorno,Fiorentina,1.0,0.0,H,0.0,0.0,D,3.25,3.0,2.3,3.25,2.9,2.25,2.8,2.88,2.38,2006/7,€68.33m,€159.60m,S. Farina,10.0,16.0,4.0,5.0,24.0,23.0,3.0,5.0,1.0,2.0,0.0,1.0,2.8,3.0,2.3,30.76923076923077,30.76923076923077,35.714285714285715,35.714285714285715,33.33333333333333,34.48275862068966,34.72222222222222,33.33333333333333,43.47826086956522,44.44444444444444,42.016806722689076,43.47826086956522,A,33.24175824175824,2.855028803684963,33.96791187739464,0.7392408544268774,43.35444322656599,1.001338385847717
I1,17/09/2006,Parma,Milan,0.0,2.0,A,0.0,1.0,A,6.0,3.8,1.53,6.5,3.35,1.55,5.5,3.25,1.57,2006/7,€46.90m,€274.35m,M. Trefoloni,12.0,11.0,6.0,7.0,16.0,12.0,3.0,4.0,2.0,3.0,0.0,0.0,5.5,3.3,1.55,16.666666666666664,15.384615384615385,18.181818181818183,18.181818181818183,26.31578947368421,29.850746268656714,30.76923076923077,30.303030303030305,65.359477124183,64.51612903225806,63.69426751592356,64.51612903225806,A,17.103729603729604,1.3504231032932956,29.309699203650503,2.03085913360651,64.52150067615567,0.6798472715623775
I1,17/09/2006,Siena,Roma,1.0,3.0,A,0.0,0.0,D,4.0,3.25,1.9,4.2,3.2,1.83,3.75,3.0,1.91,2006/7,€46.08m,€220.65m,A. De Marco,5.0,19.0,2.0,12.0,12.0,12.0,4.0,7.0,1.0,0.0,1.0,0.0,4.0,3.2,1.8,25.0,23.809523809523807,26.666666666666668,25.0,30.76923076923077,31.25,33.33333333333333,31.25,52.63157894736842,54.64480874316939,52.35602094240838,55.55555555555556,A,25.11904761904762,1.174495919599108,31.650641025641026,1.1444596840613517,53.79699104712543,1.5541261404171485
I1,17/09/2006,Udinese,Torino,2.0,0.0,H,1.0,0.0,H,2.0,3.1,4.0,2.0,3.1,3.65,2.0,3.0,3.4,2006/7,€104.58m,€55.55m,O. Pantana,14.0,11.0,6.0,4.0,16.0,26.0,3.0,6.0,4.0,1.0,0.0,0.0,2.0,2.9,3.6,50.0,50.0,50.0,50.0,32.25806451612903,32.25806451612903,33.33333333333333,34.48275862068966,25.0,27.397260273972602,29.411764705882355,27.77777777777778,H,50.0,0.0,33.08305524657026,1.0619209115031296,27.396700689408185,1.8211605498979502
I1,20/09/2006,Atalanta,Empoli,0.0,0.0,D,0.0,0.0,D,2.0,3.0,4.0,1.9,2.95,4.3,1.9,3.0,3.75,2006/7,€53.48m,€44.30m,G. Lops,6.0,7.0,3.0,4.0,15.0,14.0,6.0,7.0,3.0,1.0,0.0,0.0,1.95,2.9,3.75,50.0,52.63157894736842,52.63157894736842,51.28205128205129,33.33333333333333,33.89830508474576,33.33333333333333,34.48275862068966,25.0,23.25581395348837,26.666666666666668,26.666666666666668,H,51.63630229419703,1.2628183044678043,33.76193259302552,0.5494185622011196,25.39728682170543,1.6295595770635116
I1,20/09/2006,Cagliari,Livorno,2.0,2.0,D,1.0,1.0,D,2.25,2.87,3.5,2.2,2.8,3.5,2.2,2.8,3.2,2006/7,€45.15m,€68.33m,L. Marelli,16.0,5.0,9.0,2.0,17.0,29.0,8.0,3.0,1.0,2.0,0.0,0.0,2.2,2.9,3.1,44.44444444444444,45.45454545454545,45.45454545454545,45.45454545454545,34.843205574912886,35.714285714285715,35.714285714285715,34.48275862068966,28.57142857142857,28.57142857142857,31.25,32.25806451612903,H,45.20202020202019,0.5050505050505052,35.18863390604349,0.624553252983728,30.16273041474654,1.8829996690146593
