Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
P1,05/11/2017,Guimaraes,Benfica,1.0,3.0,A,0.0,1.0,A,6.5,3.6,1.57,5.5,4.0,1.57,5.5,3.9,1.57,2017/18,€50.33m,€229.08m,5.75,4.0,1.6,6.0,9.0,1.0,5.0,19.0,22.0,7.0,5.0,0.0,4.0,0.0,0.0,15.384615384615385,18.181818181818183,18.181818181818183,17.391304347826086,27.77777777777778,25.0,25.641025641025646,25.0,63.69426751592356,63.69426751592356,63.69426751592356,62.5,17.284889024019456,1.3205211034504436,25.854700854700855,1.3171824792668756,63.39570063694267,0.5971337579617817
P1,05/11/2017,Sp Lisbon,Sp Braga,2.0,2.0,D,0.0,0.0,D,1.44,4.2,7.5,1.48,4.2,6.5,1.44,4.2,7.0,2017/18,€259.08m,€94.80m,1.44,4.5,7.5,11.0,8.0,6.0,4.0,15.0,22.0,5.0,9.0,1.0,3.0,0.0,0.0,69.44444444444444,67.56756756756756,69.44444444444444,69.44444444444444,23.809523809523807,23.809523809523807,23.809523809523807,22.22222222222222,13.333333333333334,15.384615384615385,14.285714285714285,13.333333333333334,68.97522522522523,0.938438438438439,23.41269841269841,0.7936507936507926,14.084249084249086,0.976266642619813
P1,24/11/2017,Belenenses,Chaves,0.0,1.0,A,0.0,1.0,A,2.25,3.1,3.39,2.2,3.1,3.4,2.3,3.0,3.1,2017/18,€19.88m,€23.75m,2.3,3.25,3.25,8.0,8.0,4.0,1.0,17.0,27.0,10.0,4.0,4.0,2.0,1.0,0.0,44.44444444444444,45.45454545454545,43.47826086956522,43.47826086956522,32.25806451612903,32.25806451612903,33.33333333333333,30.76923076923077,29.49852507374631,29.411764705882355,32.25806451612903,30.76923076923077,44.21387790953008,0.9442248572683342,32.15467328370554,1.0535764435779131,30.484396266247117,1.3353539140395985
P1,25/11/2017,AVS,Porto,1.0,1.0,D,0.0,1.0,A,11.0,5.0,1.3,10.5,5.25,1.28,10.0,4.8,1.3,2017/18,€12.15m,€276.50m,10.5,5.4,1.3,11.0,8.0,3.0,1.0,17.0,15.0,2.0,4.0,4.0,3.0,0.0,1.0,9.090909090909092,9.523809523809524,10.0,9.523809523809524,20.0,19.047619047619047,20.833333333333336,18.51851851851852,76.92307692307692,78.125,76.92307692307692,76.92307692307692,9.534632034632034,0.37134514379387473,19.599867724867728,1.0256441800912148,77.22355769230768,0.6009615384615401
P1,25/11/2017,Boavista,Moreirense,1.0,0.0,H,1.0,0.0,H,2.04,3.25,3.75,2.0,3.1,4.0,2.1,2.9,3.75,2017/18,€16.43m,€17.80m,2.1,3.1,4.0,10.0,6.0,3.0,1.0,14.0,21.0,3.0,6.0,2.0,3.0,0.0,0.0,49.01960784313725,50.0,47.61904761904761,47.61904761904761,30.76923076923077,32.25806451612903,34.48275862068966,32.25806451612903,26.666666666666668,25.0,26.666666666666668,25.0,48.56442577030812,1.1626899538200093,32.44202960554462,1.530851306547567,25.833333333333336,0.9622504486493768
P1,25/11/2017,Portimonense,Tondela,2.0,0.0,H,1.0,0.0,H,1.9,3.5,3.89,1.9,3.4,4.0,1.95,3.3,3.7,2017/18,€35.78m,€17.48m,1.95,3.5,4.0,13.0,8.0,7.0,3.0,16.0,22.0,5.0,5.0,1.0,0.0,0.0,0.0,52.63157894736842,52.63157894736842,51.28205128205129,51.28205128205129,28.57142857142857,29.411764705882355,30.303030303030305,28.57142857142857,25.70694087403599,25.0,27.027027027027025,25.0,51.956815114709855,0.7791501608496899,29.21441303794245,0.8268198673315128,25.683491975265753,0.9556775688257452
P1,26/11/2017,Benfica,Setubal,6.0,0.0,H,2.0,0.0,H,1.18,7.0,13.0,1.15,7.0,18.0,1.18,6.0,17.0,2017/18,€229.08m,€23.95m,1.18,7.0,17.0,17.0,3.0,12.0,2.0,20.0,15.0,12.0,2.0,2.0,2.0,0.0,1.0,84.74576271186442,86.95652173913044,84.74576271186442,84.74576271186442,14.285714285714285,14.285714285714285,16.666666666666664,14.285714285714285,7.6923076923076925,5.555555555555555,5.88235294117647,5.88235294117647,85.29845246868092,1.105379513633011,14.88095238095238,1.1904761904761898,6.253142282554047,0.9717327804278775
P1,26/11/2017,Maritimo,Estoril,0.0,0.0,D,0.0,0.0,D,2.0,3.2,4.0,1.91,3.3,4.1,1.95,3.1,3.8,2017/18,€28.55m,€26.20m,2.0,3.4,3.9,2.0,13.0,1.0,4.0,13.0,18.0,2.0,6.0,1.0,2.0,0.0,0.0,50.0,52.35602094240838,51.28205128205129,50.0,31.25,30.303030303030305,32.25806451612903,29.411764705882355,25.0,24.39024390243903,26.31578947368421,25.641025641025646,50.90951805611492,1.1380682160690823,30.80571488126042,1.2250847052705323,25.33676475428722,0.8287292101168641
P1,26/11/2017,Pacos Ferreira,Sp Lisbon,1.0,2.0,A,0.0,1.0,A,8.0,4.75,1.36,8.5,4.75,1.35,9.0,4.4,1.33,2017/18,€15.73m,€259.08m,10.0,5.0,1.33,12.0,7.0,5.0,5.0,14.0,16.0,10.0,5.0,5.0,5.0,0.0,0.0,12.5,11.76470588235294,11.11111111111111,10.0,21.052631578947366,21.052631578947366,22.727272727272727,20.0,73.52941176470587,74.07407407407408,75.18796992481202,75.18796992481202,11.343954248366014,1.0604877283026302,21.208133971291865,1.127790205159668,74.494856422101,0.8306531217832023
P1,27/11/2017,Rio Ave,Guimaraes,0.0,1.0,A,0.0,1.0,A,2.0,3.39,3.75,2.05,3.25,3.7,2.0,3.2,3.7,2017/18,€32.95m,€50.33m,2.0,3.4,3.9,11.0,6.0,4.0,2.0,16.0,21.0,12.0,5.0,0.0,4.0,0.0,0.0,50.0,48.78048780487806,50.0,50.0,29.49852507374631,30.76923076923077,31.25,29.411764705882355,26.666666666666668,27.027027027027025,27.027027027027025,25.641025641025646,49.69512195121951,0.6097560975609717,30.23238013721486,0.919367849222169,26.590436590436592,0.6553407749733178
