Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
E0,14/09/2019,Tottenham,Crystal Palace,H,1.36,5.25,8.0,1.36,5.0,8.5,2019/20,€806.80m,€189.33m,1.4,4.92,8.87,1.44,4.91,7.61,1.36,5.0,8.0
E0,14/09/2019,Wolves,Chelsea,A,2.9,3.3,2.5,2.95,3.4,2.4,2019/20,€320.33m,€705.85m,3.07,3.37,2.48,3.1,3.43,2.42,3.0,3.4,2.37
E0,14/09/2019,Norwich,Man City,H,15.0,9.0,1.14,14.5,8.5,1.16,2019/20,€145.33m,€1.05bn,18.79,9.48,1.14,25.83,13.49,1.09,23.0,11.0,1.08
E0,15/09/2019,Bournemouth,Everton,H,2.9,3.5,2.4,3.0,3.5,2.3,2019/20,€272.18m,€420.55m,3.05,3.53,2.41,3.37,3.57,2.23,3.2,3.5,2.2
E0,15/09/2019,Watford,Arsenal,D,3.6,3.6,2.0,3.8,3.8,1.91,2019/20,€199.60m,€607.65m,3.66,3.74,2.06,4.22,3.92,1.88,4.0,3.9,1.85
E0,16/09/2019,Aston Villa,West Ham,D,2.62,3.5,2.6,2.6,3.4,2.7,2019/20,€231.70m,€303.60m,2.65,3.6,2.69,2.72,3.71,2.57,2.7,3.5,2.5
E0,20/09/2019,Southampton,Bournemouth,A,2.05,3.6,3.5,2.0,3.7,3.6,2019/20,€210.75m,€272.18m,2.12,3.65,3.55,2.17,3.6,3.46,2.15,3.5,3.3
E0,21/09/2019,Leicester,Tottenham,H,2.87,3.5,2.37,2.95,3.4,2.4,2019/20,€411.10m,€806.80m,2.92,3.53,2.5,2.72,3.51,2.69,2.62,3.4,2.6
E0,21/09/2019,Burnley,Norwich,H,2.0,3.8,3.5,1.95,3.8,3.6,2019/20,€163.88m,€145.33m,2.02,3.8,3.73,2.02,3.88,3.67,2.0,3.75,3.5
E0,21/09/2019,Everton,Sheffield United,A,1.61,3.75,6.0,1.65,3.8,5.5,2019/20,€420.55m,€138.60m,1.69,3.8,5.76,1.79,3.57,5.31,1.72,3.6,5.0
E0,21/09/2019,Man City,Watford,H,1.1,11.0,21.0,1.11,10.5,17.5,2019/20,€1.05bn,€199.60m,1.11,10.69,27.58,1.11,11.33,25.74,1.08,11.0,23.0
E0,21/09/2019,Newcastle,Brighton,D,2.5,3.2,3.0,2.45,3.2,3.0,2019/20,€252.48m,€200.78m,2.55,3.15,3.16,2.42,3.24,3.3,2.37,3.2,3.1
E0,22/09/2019,Crystal Palace,Wolves,D,2.62,3.1,2.87,2.65,3.0,2.95,2019/20,€189.33m,€320.33m,2.68,3.15,2.98,2.9,3.1,2.81,2.7,3.1,2.8
E0,22/09/2019,West Ham,Man United,H,3.1,3.6,2.2,3.25,3.6,2.15,2019/20,€303.60m,€670.45m,3.33,3.56,2.24,3.07,3.45,2.45,3.0,3.5,2.3
E0,22/09/2019,Arsenal,Aston Villa,H,1.4,4.75,8.0,1.4,5.0,7.25,2019/20,€607.65m,€231.70m,1.43,4.86,8.01,1.42,5.23,7.59,1.4,5.0,7.0
E0,22/09/2019,Chelsea,Liverpool,A,3.5,3.75,2.0,3.6,3.7,2.0,2019/20,€705.85m,€1.00bn,3.66,3.66,2.08,3.24,3.64,2.27,3.2,3.75,2.1
E0,28/09/2019,Sheffield United,Liverpool,A,9.0,5.25,1.33,9.5,5.25,1.33,2019/20,€138.60m,€1.00bn,9.4,5.22,1.36,9.44,5.53,1.34,9.0,5.25,1.33
E0,28/09/2019,Aston Villa,Burnley,D,2.3,3.4,3.1,2.35,3.3,3.1,2019/20,€231.70m,€163.88m,2.39,3.45,3.15,2.36,3.44,3.19,2.25,3.4,3.2
E0,28/09/2019,Bournemouth,West Ham,D,2.5,3.5,2.75,2.5,3.6,2.7,2019/20,€272.18m,€303.60m,2.49,3.62,2.86,2.41,3.65,2.96,2.37,3.6,2.8
E0,28/09/2019,Chelsea,Brighton,H,1.4,4.75,8.0,1.42,4.6,7.75,2019/20,€705.85m,€200.78m,1.44,4.65,8.41,1.45,4.64,8.06,1.4,4.75,7.5
E0,28/09/2019,Crystal Palace,Norwich,H,1.9,3.75,3.75,1.95,3.6,3.8,2019/20,€189.33m,€145.33m,1.97,3.78,3.96,1.91,3.89,4.09,1.9,3.75,3.75
E0,28/09/2019,Tottenham,Southampton,H,1.4,4.75,8.0,1.42,4.6,7.5,2019/20,€806.80m,€210.75m,1.44,4.69,8.18,1.38,5.23,8.73,1.36,5.25,7.5
E0,28/09/2019,Wolves,Watford,H,1.85,3.4,4.5,1.87,3.5,4.33,2019/20,€320.33m,€199.60m,1.9,3.5,4.69,1.96,3.52,4.34,1.9,3.4,4.2
E0,28/09/2019,Everton,Man City,A,10.0,5.5,1.3,9.75,6.0,1.28,2019/20,€420.55m,€1.05bn,10.21,6.03,1.3,8.9,5.51,1.36,8.0,5.5,1.33
E0,29/09/2019,Leicester,Newcastle,H,1.5,4.0,7.5,1.53,4.0,6.75,2019/20,€411.10m,€252.48m,1.53,4.21,7.27,1.52,4.33,7.04,1.5,4.0,7.0
E0,30/09/2019,Man United,Arsenal,D,2.37,3.5,2.9,2.35,3.4,3.0,2019/20,€670.45m,€607.65m,2.41,3.56,3.03,2.26,3.57,3.29,2.2,3.6,3.1
E0,05/10/2019,Brighton,Tottenham,H,3.9,3.6,1.9,3.8,3.6,1.95,2019/20,€200.78m,€806.80m,3.97,3.67,2.0,5.15,3.89,1.74,4.75,3.9,1.7
E0,05/10/2019,Burnley,Everton,H,2.87,3.3,2.5,2.85,3.25,2.55,2019/20,€163.88m,€420.55m,3.01,3.36,2.52,3.22,3.35,2.39,3.2,3.1,2.37
E0,05/10/2019,Liverpool,Leicester,H,1.44,4.75,7.0,1.45,4.6,7.0,2019/20,€1.00bn,€411.10m,1.47,4.77,7.18,1.59,4.42,5.76,1.57,4.2,5.5
E0,05/10/2019,Norwich,Aston Villa,A,2.37,3.6,2.8,2.3,3.6,2.95,2019/20,€145.33m,€231.70m,2.46,3.61,2.91,2.46,3.62,2.9,2.37,3.6,2.8
E0,05/10/2019,Watford,Sheffield United,D,2.05,3.4,3.6,2.2,3.3,3.4,2019/20,€199.60m,€138.60m,2.14,3.43,3.73,2.38,3.27,3.32,2.3,3.2,3.25
E0,05/10/2019,West Ham,Crystal Palace,A,1.95,3.6,3.8,2.0,3.5,3.75,2019/20,€303.60m,€189.33m,2.02,3.65,3.92,2.02,3.75,3.85,1.95,3.6,3.75
E0,06/10/2019,Arsenal,Bournemouth,H,1.44,4.75,7.0,1.42,5.0,6.75,2019/20,€607.65m,€272.18m,1.44,5.08,7.13,1.37,5.83,7.87,1.36,5.5,7.0
E0,06/10/2019,Man City,Wolves,A,1.12,9.0,21.0,1.13,9.0,19.5,2019/20,€1.05bn,€320.33m,1.13,9.61,23.95,1.14,8.98,21.94,1.12,8.5,21.0
E0,06/10/2019,Southampton,Chelsea,A,4.0,3.8,1.85,4.0,3.75,1.87,2019/20,€210.75m,€705.85m,4.09,3.97,1.88,4.75,4.29,1.71,4.6,4.2,1.66
E0,06/10/2019,Newcastle,Man United,H,4.5,3.5,1.85,4.5,3.4,1.87,2019/20,€252.48m,€670.45m,4.51,3.51,1.93,3.92,3.37,2.12,3.8,3.25,2.05
E0,19/10/2019,Everton,West Ham,H,1.95,3.75,3.75,1.95,3.6,3.8,2019/20,€420.55m,€303.60m,1.99,3.76,3.88,1.79,4.15,4.41,1.75,4.0,4.2
E0,19/10/2019,Aston Villa,Brighton,H,2.35,3.4,3.0,2.4,3.3,3.0,2019/20,€231.70m,€200.78m,2.39,3.51,3.09,2.43,3.49,3.04,2.3,3.5,3.0
E0,19/10/2019,Bournemouth,Norwich,D,1.72,4.2,4.2,1.72,4.2,4.33,2019/20,€272.18m,€145.33m,1.72,4.47,4.45,1.78,4.18,4.42,1.72,4.2,4.2
