Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
G1,28/08/2005,Kalamaria,OFI Crete,2.0,1.0,H,1.0,1.0,2.6,3.0,2.5,2.9,2.9,2.45,2005/6,€10.20m,€14.55m
G1,28/08/2005,Panathinaikos,Olympiakos,0.0,2.0,A,0.0,1.0,2.37,3.0,2.75,2.45,2.95,3.0,2005/6,€60.68m,€62.55m
G1,28/08/2005,Panionios,Larisa,1.0,1.0,D,0.0,0.0,2.0,3.2,3.2,2.05,3.1,3.4,2005/6,€14.50m,€11.90m
G1,29/08/2005,Atromitos,AEK,0.0,0.0,D,0.0,0.0,4.2,3.25,1.72,4.75,3.15,1.75,2005/6,€11.80m,€41.05m
G1,04/09/2005,Levadeiakos,Ionikos,1.0,1.0,D,0.0,1.0,2.1,3.2,3.0,2.1,2.95,3.5,2005/6,€9.45m,€9.13m
G1,10/09/2005,Olympiakos,Panionios,5.0,0.0,H,1.0,0.0,1.16,5.5,11.0,1.15,6.0,15.0,2005/6,€62.55m,€14.50m
G1,10/09/2005,PAOK,Atromitos,2.0,2.0,D,2.0,0.0,1.44,3.75,6.0,1.4,3.8,7.0,2005/6,€25.80m,€11.80m
G1,11/09/2005,AEK,Iraklis,2.0,0.0,H,2.0,0.0,1.4,3.75,7.0,1.4,3.8,8.0,2005/6,€41.05m,€17.15m
G1,11/09/2005,Egaleo,Akratitos,1.0,0.0,H,1.0,0.0,1.8,3.25,3.75,2.0,3.1,3.45,2005/6,€16.68m,€9.95m
G1,11/09/2005,Ionikos,Panathinaikos,1.0,1.0,D,1.0,0.0,7.0,3.75,1.4,8.0,3.8,1.4,2005/6,€9.13m,€60.68m
G1,12/09/2005,Larisa,Kallithea,2.0,0.0,H,2.0,0.0,1.61,3.5,5.0,1.65,3.25,5.25,2005/6,€11.90m,€9.15m
G1,17/09/2005,Akratitos,Larisa,0.0,0.0,D,0.0,0.0,2.37,3.0,2.75,2.6,2.9,2.7,2005/6,€9.95m,€11.90m
G1,17/09/2005,Kallithea,Olympiakos,0.0,3.0,A,0.0,0.0,8.0,4.0,1.33,9.0,4.5,1.3,2005/6,€9.15m,€62.55m
G1,18/09/2005,AEK,Egaleo,1.0,1.0,D,0.0,0.0,1.36,3.75,8.0,1.4,3.8,8.0,2005/6,€41.05m,€16.68m
G1,18/09/2005,Atromitos,OFI Crete,4.0,0.0,H,1.0,0.0,1.8,3.25,4.0,1.75,3.15,4.75,2005/6,€11.80m,€14.55m
G1,18/09/2005,Levadeiakos,Panathinaikos,0.0,0.0,D,0.0,0.0,7.5,3.75,1.4,8.0,3.8,1.4,2005/6,€9.45m,€60.68m
G1,18/09/2005,Panionios,Ionikos,3.0,3.0,D,2.0,2.0,1.9,3.2,3.6,1.85,3.05,4.25,2005/6,€14.50m,€9.13m
G1,18/09/2005,Xanthi,Kalamaria,2.0,0.0,H,2.0,0.0,1.5,3.5,6.0,1.35,4.1,8.5,2005/6,€23.15m,€10.20m
G1,19/09/2005,Iraklis,PAOK,0.0,0.0,D,0.0,0.0,2.5,3.1,2.5,2.65,3.1,2.65,2005/6,€17.15m,€25.80m
G1,24/09/2005,Olympiakos,Akratitos,2.0,0.0,H,2.0,0.0,1.14,6.5,13.0,1.1,7.75,15.0,2005/6,€62.55m,€9.95m
