Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
F1,15/09/2019,Nantes,Reims,H,2.05,3.1,4.0,2.15,3.0,3.9,2019/20,€106.15m,€81.68m,2.2,2.98,4.18,2.25,3.09,3.82,2.15,3.1,3.75
F1,15/09/2019,St Etienne,Toulouse,D,1.61,4.0,5.5,1.67,3.9,5.25,2019/20,€104.83m,€71.88m,1.67,4.14,5.22,1.63,4.2,5.54,1.57,4.0,6.0
F1,15/09/2019,Monaco,Marseille,A,2.4,3.6,2.8,2.45,3.5,2.8,2019/20,€331.03m,€216.15m,2.41,3.69,2.91,2.07,3.68,3.66,2.0,3.6,3.6
F1,20/09/2019,Strasbourg,Nantes,H,2.45,3.0,3.1,2.6,3.0,3.0,2019/20,€91.13m,€106.15m,2.6,3.08,3.13,2.41,3.07,3.47,2.25,3.0,3.5
F1,21/09/2019,Marseille,Montpellier,D,2.0,3.2,4.2,1.95,3.3,4.2,2019/20,€216.15m,€81.68m,2.02,3.29,4.37,2.03,3.32,4.26,1.95,3.2,4.33
F1,21/09/2019,Bordeaux,Brest,D,1.8,3.4,5.0,1.75,3.5,5.25,2019/20,€125.35m,€47.78m,1.76,3.55,5.5,1.79,3.5,5.39,1.72,3.5,5.25
F1,21/09/2019,Metz,Amiens,A,2.1,3.1,4.0,2.1,3.0,4.1,2019/20,€54.10m,€61.93m,2.09,3.14,4.32,2.33,2.97,3.8,2.15,3.1,3.75
F1,21/09/2019,Nice,Dijon,H,1.7,3.4,5.75,1.7,3.8,5.0,2019/20,€173.45m,€50.23m,1.77,3.72,5.08,1.78,3.48,5.56,1.75,3.3,5.25
F1,21/09/2019,Nimes,Toulouse,H,2.05,3.4,3.75,2.0,3.5,3.8,2019/20,€49.65m,€71.88m,2.06,3.52,3.85,2.09,3.67,3.6,2.0,3.5,3.75
F1,21/09/2019,Reims,Monaco,D,2.6,3.2,2.87,2.65,3.2,2.8,2019/20,€81.68m,€331.03m,2.69,3.24,2.86,2.54,3.34,2.97,2.5,3.3,2.9
F1,22/09/2019,Stade Rennais FC,Lille,D,2.45,3.1,3.1,2.55,3.1,3.0,2019/20,€171.88m,€247.78m,2.6,3.1,3.11,2.95,3.12,2.7,2.9,3.0,2.55
F1,22/09/2019,Angers,St Etienne,H,2.15,3.3,3.5,2.15,3.25,3.6,2019/20,€89.48m,€104.83m,2.2,3.29,3.7,2.13,3.3,3.9,2.0,3.3,3.8
F1,22/09/2019,Lyon,Paris SG,A,3.9,4.0,1.85,3.8,4.1,1.85,2019/20,€384.55m,€874.15m,3.88,4.18,1.88,3.9,4.0,1.92,3.5,4.2,1.85
