Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HF,AF
B1,24/08/2019,Cercle Brugge,Waasland-Beveren,1.0,0.0,H,0.0,0.0,D,2.0,3.6,3.5,2.0,3.8,3.3,2019/20,€31.93m,€14.93m,7.0,10.0,2.0,2.0,3.0,7.0,2.0,1.0,0.0,0.0,13.0,8.0
B1,24/08/2019,St Truiden,Waregem,0.0,0.0,D,0.0,0.0,D,2.25,3.5,3.0,2.2,3.5,3.0,2019/20,€26.75m,€30.08m,13.0,8.0,2.0,2.0,5.0,4.0,2.0,1.0,0.0,0.0,15.0,15.0
B1,24/08/2019,Oostende,Mechelen,2.0,1.0,H,0.0,0.0,D,3.1,3.5,2.2,2.9,3.6,2.25,2019/20,€23.85m,€23.63m,13.0,11.0,8.0,6.0,6.0,9.0,2.0,3.0,0.0,0.0,18.0,12.0
B1,25/08/2019,Standard,Kortrijk,2.0,1.0,H,0.0,1.0,A,1.5,4.5,5.75,1.55,4.25,5.25,2019/20,€76.68m,€19.90m,8.0,6.0,5.0,2.0,7.0,3.0,2.0,3.0,1.0,0.0,9.0,18.0
B1,25/08/2019,Mouscron,Eupen,2.0,0.0,H,1.0,0.0,H,1.72,3.75,4.5,1.75,3.7,4.4,2019/20,€26.15m,€26.05m,5.0,6.0,4.0,2.0,6.0,6.0,3.0,3.0,0.0,0.0,17.0,11.0
B1,30/08/2019,Mechelen,Mouscron,2.0,2.0,D,2.0,1.0,H,1.95,3.75,3.5,2.0,3.6,3.8,2019/20,€23.63m,€26.15m,8.0,10.0,4.0,5.0,5.0,7.0,1.0,1.0,0.0,0.0,13.0,16.0
B1,31/08/2019,Eupen,St Truiden,0.0,2.0,A,0.0,1.0,A,2.3,3.6,2.8,2.3,3.7,2.9,2019/20,€26.05m,€26.75m,16.0,10.0,6.0,3.0,7.0,1.0,2.0,1.0,0.0,0.0,14.0,7.0
B1,31/08/2019,Kortrijk,Oostende,2.0,2.0,D,0.0,1.0,A,2.05,3.6,3.4,2.0,3.8,3.5,2019/20,€19.90m,€23.85m,6.0,12.0,3.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,16.0,15.0
B1,31/08/2019,Waasland-Beveren,Charleroi,0.0,4.0,A,0.0,1.0,A,4.0,3.75,1.83,4.0,3.9,1.85,2019/20,€14.93m,€31.65m,5.0,7.0,1.0,6.0,7.0,4.0,1.0,0.0,0.0,0.0,18.0,11.0
B1,01/09/2019,Club Brugge,Genk,1.0,1.0,D,1.0,0.0,H,1.75,3.75,4.33,1.8,4.0,4.1,2019/20,€160.73m,€113.53m,10.0,13.0,5.0,3.0,6.0,5.0,2.0,4.0,0.0,0.0,16.0,13.0
B1,01/09/2019,Anderlecht,Standard,1.0,0.0,H,1.0,0.0,H,2.05,3.6,3.4,2.15,3.5,3.3,2019/20,€137.28m,€76.68m,10.0,11.0,4.0,5.0,1.0,3.0,2.0,2.0,0.0,0.0,15.0,12.0
B1,01/09/2019,Gent,Cercle Brugge,3.0,2.0,H,3.0,1.0,H,1.28,6.0,8.5,1.3,6.0,8.5,2019/20,€95.10m,€31.93m,17.0,7.0,8.0,3.0,4.0,2.0,1.0,4.0,0.0,0.0,12.0,16.0
B1,01/09/2019,Waregem,Antwerp,2.0,0.0,H,2.0,0.0,H,2.7,3.8,2.3,2.75,3.75,2.4,2019/20,€30.08m,€49.98m,10.0,3.0,4.0,2.0,5.0,6.0,0.0,2.0,0.0,0.0,7.0,16.0
B1,13/09/2019,Charleroi,Genk,2.0,1.0,H,2.0,0.0,H,2.7,3.6,2.37,2.9,3.6,2.4,2019/20,€31.65m,€113.53m,3.0,11.0,3.0,4.0,1.0,3.0,6.0,1.0,0.0,0.0,14.0,8.0
B1,14/09/2019,Oostende,Standard,1.0,4.0,A,1.0,1.0,D,4.33,4.2,1.66,4.33,4.33,1.7,2019/20,€23.85m,€76.68m,4.0,10.0,3.0,8.0,2.0,9.0,0.0,2.0,0.0,0.0,11.0,10.0
B1,14/09/2019,Eupen,Waregem,1.0,1.0,D,0.0,1.0,A,2.75,3.75,2.3,2.8,3.7,2.35,2019/20,€26.05m,€30.08m,9.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,0.0,1.0,18.0,20.0
B1,14/09/2019,St Truiden,Waasland-Beveren,1.0,1.0,D,0.0,0.0,D,1.6,4.2,5.0,1.65,4.33,4.75,2019/20,€26.75m,€14.93m,4.0,12.0,2.0,4.0,6.0,9.0,2.0,1.0,0.0,0.0,12.0,11.0
B1,14/09/2019,Cercle Brugge,Club Brugge,0.0,2.0,A,0.0,1.0,A,8.5,6.0,1.28,9.0,6.0,1.3,2019/20,€31.93m,€160.73m,11.0,8.0,4.0,4.0,3.0,9.0,1.0,2.0,0.0,0.0,13.0,6.0
B1,15/09/2019,Anderlecht,Antwerp,1.0,2.0,A,0.0,0.0,D,2.0,3.6,3.5,2.0,3.7,3.6,2019/20,€137.28m,€49.98m,10.0,13.0,2.0,8.0,11.0,4.0,4.0,4.0,1.0,0.0,13.0,13.0
B1,15/09/2019,Gent,Mechelen,3.0,0.0,H,3.0,0.0,H,1.5,4.33,6.0,1.5,4.6,6.0,2019/20,€95.10m,€23.63m,13.0,4.0,9.0,0.0,7.0,4.0,1.0,3.0,0.0,0.0,10.0,9.0
B1,15/09/2019,Mouscron,Kortrijk,2.0,0.0,H,1.0,0.0,H,2.1,3.5,3.3,2.15,3.5,3.3,2019/20,€26.15m,€19.90m,8.0,7.0,4.0,2.0,6.0,5.0,3.0,3.0,0.0,1.0,14.0,16.0
