Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
SC0,30/10/2004,Kilmarnock,Hibernian,H,2.3,3.25,2.75,2.4,3.2,2.6,2004/5,€3.78m,€13.25m
SC0,30/10/2004,Motherwell,Celtic,A,11.0,5.5,1.2,13.0,6.0,1.15,2004/5,€4.83m,€77.55m
SC0,31/10/2004,Rangers,Aberdeen,H,1.28,5.0,10.0,1.3,4.5,8.25,2004/5,€80.78m,€6.88m
SC0,06/11/2004,Celtic,Kilmarnock,H,1.16,6.0,13.0,1.13,6.4,14.0,2004/5,€77.55m,€3.78m
SC0,06/11/2004,Dundee,Dundee United,H,2.3,3.25,2.75,2.25,3.2,2.8,2004/5,€9.05m,€8.13m
SC0,06/11/2004,Dunfermline,Inverness C,D,1.72,3.4,4.33,1.9,3.15,3.7,2004/5,€6.03m,€2.38m
SC0,06/11/2004,Hibernian,Motherwell,H,1.83,3.4,3.75,1.8,3.3,3.9,2004/5,€13.25m,€4.83m
SC0,07/11/2004,Aberdeen,Hearts,A,2.2,3.3,2.87,2.25,3.2,2.8,2004/5,€6.88m,€11.08m
SC0,07/11/2004,Livingston,Rangers,A,10.0,5.5,1.25,10.0,5.6,1.2,2004/5,€9.75m,€80.78m
SC0,13/11/2004,Aberdeen,Dunfermline,H,1.8,3.3,4.0,1.8,3.35,3.85,2004/5,€6.88m,€6.03m
SC0,13/11/2004,Celtic,Inverness C,H,1.12,7.0,13.0,1.13,6.0,16.0,2004/5,€77.55m,€2.38m
SC0,13/11/2004,Dundee United,Livingston,H,2.0,3.3,3.3,2.1,3.2,3.1,2004/5,€8.13m,€9.75m
SC0,13/11/2004,Kilmarnock,Hearts,D,2.5,3.25,2.5,2.4,3.3,2.55,2004/5,€3.78m,€11.08m
SC0,13/11/2004,Motherwell,Dundee,H,1.9,3.25,3.6,1.85,3.5,3.5,2004/5,€4.83m,€9.05m
SC0,14/11/2004,Hibernian,Rangers,A,7.5,4.33,1.4,7.0,4.4,1.35,2004/5,€13.25m,€80.78m
SC0,20/11/2004,Dundee,Hibernian,A,2.6,3.2,2.4,2.55,3.0,2.6,2004/5,€9.05m,€13.25m
SC0,20/11/2004,Dunfermline,Kilmarnock,H,2.3,3.2,2.7,2.35,3.0,2.85,2004/5,€6.03m,€3.78m
SC0,20/11/2004,Hearts,Motherwell,A,1.66,3.4,4.5,1.65,3.4,4.75,2004/5,€11.08m,€4.83m
SC0,20/11/2004,Livingston,Aberdeen,A,2.8,3.25,2.2,2.9,3.2,2.2,2004/5,€9.75m,€6.88m
SC0,20/11/2004,Rangers,Celtic,H,2.37,3.0,2.75,2.4,3.1,2.7,2004/5,€80.78m,€77.55m
SC0,23/11/2004,Inverness C,Dundee United,D,2.37,3.2,2.62,2.35,3.15,2.65,2004/5,€2.38m,€8.13m
SC0,27/11/2004,Aberdeen,Dundee United,H,1.61,3.5,5.0,1.65,3.35,4.8,2004/5,€6.88m,€8.13m
SC0,27/11/2004,Hibernian,Inverness C,H,1.61,3.5,5.0,1.65,3.4,4.7,2004/5,€13.25m,€2.38m
SC0,27/11/2004,Kilmarnock,Livingston,A,1.66,3.5,4.5,1.6,3.5,4.9,2004/5,€3.78m,€9.75m
SC0,27/11/2004,Motherwell,Dunfermline,H,1.9,3.4,3.5,1.9,3.25,3.6,2004/5,€4.83m,€6.03m
SC0,28/11/2004,Dundee,Celtic,D,10.0,5.5,1.25,10.5,5.5,1.2,2004/5,€9.05m,€77.55m
SC0,28/11/2004,Rangers,Hearts,H,1.2,5.5,11.0,1.2,5.0,12.5,2004/5,€80.78m,€11.08m
SC0,04/12/2004,Aberdeen,Kilmarnock,H,1.66,3.5,4.5,1.75,3.25,4.25,2004/5,€6.88m,€3.78m
SC0,04/12/2004,Celtic,Hibernian,H,1.2,5.5,11.0,1.2,5.5,10.5,2004/5,€77.55m,€13.25m
SC0,04/12/2004,Dundee United,Motherwell,A,2.37,3.25,2.62,2.5,3.1,2.55,2004/5,€8.13m,€4.83m
SC0,04/12/2004,Hearts,Dunfermline,H,1.66,3.5,4.5,1.7,3.15,4.8,2004/5,€11.08m,€6.03m
SC0,04/12/2004,Livingston,Dundee,H,2.2,3.3,2.87,2.3,3.05,2.85,2004/5,€9.75m,€9.05m
SC0,05/12/2004,Inverness C,Rangers,D,10.0,5.5,1.25,9.0,5.0,1.25,2004/5,€2.38m,€80.78m
SC0,11/12/2004,Dundee United,Kilmarnock,H,2.37,3.2,2.62,2.3,3.15,2.8,2004/5,€8.13m,€3.78m
SC0,11/12/2004,Hibernian,Aberdeen,H,2.3,3.2,2.7,2.25,3.0,3.0,2004/5,€13.25m,€6.88m
SC0,11/12/2004,Inverness C,Hearts,D,2.9,3.25,2.2,2.75,3.2,2.3,2004/5,€2.38m,€11.08m
SC0,11/12/2004,Motherwell,Livingston,H,1.66,3.4,4.5,1.75,3.25,4.25,2004/5,€4.83m,€9.75m
SC0,11/12/2004,Rangers,Dundee,H,1.14,6.5,12.0,1.12,6.75,14.0,2004/5,€80.78m,€9.05m
SC0,12/12/2004,Dunfermline,Celtic,A,9.0,5.0,1.25,9.0,5.0,1.25,2004/5,€6.03m,€77.55m
SC0,18/12/2004,Celtic,Dundee United,H,1.12,7.0,13.0,1.13,6.75,12.5,2004/5,€77.55m,€8.13m
SC0,18/12/2004,Dundee,Aberdeen,H,2.87,3.3,2.2,2.85,3.25,2.2,2004/5,€9.05m,€6.88m
SC0,18/12/2004,Hibernian,Dunfermline,H,1.57,3.5,5.5,1.65,3.4,5.0,2004/5,€13.25m,€6.03m
SC0,18/12/2004,Motherwell,Inverness C,A,1.57,3.5,5.5,1.6,3.45,5.0,2004/5,€4.83m,€2.38m
SC0,19/12/2004,Kilmarnock,Rangers,A,10.0,5.5,1.25,8.75,5.0,1.25,2004/5,€3.78m,€80.78m
SC0,26/12/2004,Hearts,Celtic,A,8.0,4.2,1.4,8.0,4.5,1.31,2004/5,€11.08m,€77.55m
SC0,27/12/2004,Aberdeen,Inverness C,D,1.61,3.4,5.0,1.55,3.5,5.5,2004/5,€6.88m,€2.38m
SC0,27/12/2004,Dundee United,Hibernian,A,2.62,3.2,2.37,2.6,3.3,2.35,2004/5,€8.13m,€13.25m
SC0,27/12/2004,Dunfermline,Livingston,D,2.1,3.25,3.0,2.0,3.25,3.3,2004/5,€6.03m,€9.75m
SC0,27/12/2004,Kilmarnock,Dundee,H,1.9,3.25,3.5,1.85,3.3,3.7,2004/5,€3.78m,€9.05m
SC0,27/12/2004,Rangers,Motherwell,H,1.14,6.5,12.0,1.15,6.0,13.0,2004/5,€80.78m,€4.83m
SC0,01/01/2005,Dundee United,Rangers,D,10.0,5.5,1.2,10.0,5.35,1.21,2004/5,€8.13m,€80.78m
SC0,01/01/2005,Dunfermline,Dundee,H,2.0,3.25,3.25,1.9,3.25,3.6,2004/5,€6.03m,€9.05m
SC0,02/01/2005,Celtic,Livingston,H,1.11,7.0,13.0,1.1,7.5,14.0,2004/5,€77.55m,€9.75m
SC0,02/01/2005,Hibernian,Hearts,D,2.37,3.2,2.9,2.2,3.1,3.0,2004/5,€13.25m,€11.08m
SC0,03/01/2005,Inverness C,Kilmarnock,A,2.3,3.2,2.7,2.2,3.1,3.0,2004/5,€2.38m,€3.78m
SC0,03/01/2005,Motherwell,Aberdeen,D,2.3,3.2,2.7,2.3,3.2,2.75,2004/5,€4.83m,€6.88m
SC0,15/01/2005,Dundee,Inverness C,H,2.1,3.2,3.2,2.15,3.2,3.0,2004/5,€9.05m,€2.38m
SC0,15/01/2005,Hearts,Dundee United,H,1.66,3.5,4.5,1.65,3.4,4.7,2004/5,€11.08m,€8.13m
SC0,15/01/2005,Kilmarnock,Motherwell,H,2.1,3.4,3.0,2.2,3.4,2.75,2004/5,€3.78m,€4.83m
SC0,15/01/2005,Livingston,Hibernian,A,3.0,3.4,2.1,2.8,3.3,2.2,2004/5,€9.75m,€13.25m
SC0,15/01/2005,Rangers,Dunfermline,H,1.11,7.0,15.0,1.13,6.75,12.5,2004/5,€80.78m,€6.03m
SC0,16/01/2005,Aberdeen,Celtic,A,7.5,4.33,1.4,6.75,4.0,1.4,2004/5,€6.88m,€77.55m
SC0,22/01/2005,Celtic,Motherwell,H,1.11,7.0,15.0,1.12,6.5,15.0,2004/5,€77.55m,€4.83m
SC0,22/01/2005,Dundee,Hearts,D,2.62,3.1,2.5,2.5,3.2,2.5,2004/5,€9.05m,€11.08m
