Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
T1,13/09/2009,Bursaspor,Fenerbahce,A,3.75,3.4,2.0,3.4,3.25,2.0,2009/10,€51.75m,€119.45m
T1,13/09/2009,Buyuksehyr,Trabzonspor,A,3.0,3.25,2.38,2.95,3.2,2.2,2009/10,€24.00m,€66.95m
T1,13/09/2009,Gaziantepspor,Kasimpasa,H,1.53,3.75,7.0,1.5,3.75,5.75,2009/10,€32.45m,€20.20m
T1,13/09/2009,Genclerbirligi,Eskisehirspor,D,2.38,3.25,3.0,2.4,3.2,2.65,2009/10,€29.00m,€24.70m
T1,16/09/2009,Denizlispor,Sivasspor,D,2.4,3.25,2.6,2.4,3.2,2.7,2009/10,€18.35m,€33.65m
T1,18/09/2009,Trabzonspor,Antalyaspor,H,1.5,4.0,6.75,1.45,3.85,6.5,2009/10,€66.95m,€23.95m
T1,19/09/2009,Ankaragucu,Genclerbirligi,A,2.65,3.2,2.65,2.45,3.2,2.6,2009/10,€44.70m,€29.00m
T1,19/09/2009,Besiktas,Kayserispor,A,1.4,4.2,8.5,1.45,3.85,6.5,2009/10,€93.60m,€38.50m
T1,19/09/2009,Diyarbakirspor,Manisaspor,D,2.3,3.3,3.1,2.25,3.25,2.8,2009/10,€17.75m,€19.88m
T1,19/09/2009,Eskisehirspor,Gaziantepspor,H,2.1,3.25,3.6,2.1,3.3,3.1,2009/10,€24.70m,€32.45m
T1,19/09/2009,Sivasspor,Bursaspor,A,2.65,3.1,2.65,2.25,3.25,2.8,2009/10,€33.65m,€51.75m
T1,20/09/2009,Fenerbahce,Buyuksehyr,H,1.2,6.25,13.0,1.2,6.0,9.0,2009/10,€119.45m,€24.00m
T1,21/09/2009,Kasimpasa,Galatasaray,A,12.0,5.75,1.22,7.25,5.0,1.3,2009/10,€20.20m,€129.23m
T1,25/09/2009,Genclerbirligi,Trabzonspor,D,2.9,3.3,2.4,2.9,3.25,2.2,2009/10,€29.00m,€66.95m
T1,26/09/2009,Antalyaspor,Fenerbahce,A,6.0,3.75,1.57,5.0,3.6,1.6,2009/10,€23.95m,€119.45m
T1,26/09/2009,Bursaspor,Diyarbakirspor,H,1.57,3.75,6.0,1.6,3.6,4.75,2009/10,€51.75m,€17.75m
T1,26/09/2009,Buyuksehyr,Sivasspor,H,2.38,3.2,3.0,2.1,3.3,3.1,2009/10,€24.00m,€33.65m
T1,26/09/2009,Gaziantepspor,Ankaragucu,A,2.05,3.25,3.75,1.85,3.35,3.75,2009/10,€32.45m,€44.70m
T1,27/09/2009,Denizlispor,Manisaspor,D,2.5,3.25,2.8,2.25,3.25,2.8,2009/10,€18.35m,€19.88m
T1,27/09/2009,Galatasaray,Eskisehirspor,D,1.25,5.5,12.0,1.2,6.0,9.0,2009/10,€129.23m,€24.70m
T1,27/09/2009,Kayserispor,Kasimpasa,D,1.36,4.5,9.0,1.45,3.85,6.5,2009/10,€38.50m,€20.20m
T1,02/10/2009,Trabzonspor,Gaziantepspor,D,1.44,4.2,7.5,1.4,4.0,7.0,2009/10,€66.95m,€32.45m
T1,03/10/2009,Besiktas,Denizlispor,H,1.25,5.0,10.0,1.25,4.85,10.0,2009/10,€93.60m,€18.35m
T1,03/10/2009,Diyarbakirspor,Buyuksehyr,A,2.38,3.2,2.75,2.2,3.25,2.9,2009/10,€17.75m,€24.00m
T1,03/10/2009,Manisaspor,Bursaspor,A,2.5,3.2,2.6,2.5,3.2,2.5,2009/10,€19.88m,€51.75m
T1,04/10/2009,Ankaragucu,Galatasaray,H,7.5,4.0,1.4,5.5,3.9,1.5,2009/10,€44.70m,€129.23m
T1,04/10/2009,Eskisehirspor,Kayserispor,A,2.0,3.25,3.4,2.0,3.3,3.35,2009/10,€24.70m,€38.50m
T1,04/10/2009,Fenerbahce,Genclerbirligi,H,1.33,4.5,8.0,1.3,4.25,10.0,2009/10,€119.45m,€29.00m
T1,04/10/2009,Sivasspor,Antalyaspor,H,1.91,3.3,3.6,1.85,3.35,3.75,2009/10,€33.65m,€23.95m
T1,17/10/2009,Besiktas,Kasimpasa,H,1.3,4.5,9.0,1.25,5.0,10.0,2009/10,€93.60m,€20.20m
T1,17/10/2009,Denizlispor,Bursaspor,A,3.4,3.25,2.0,3.25,3.2,2.05,2009/10,€18.35m,€51.75m
T1,18/10/2009,Antalyaspor,Diyarbakirspor,H,2.0,3.2,3.4,2.1,3.3,3.1,2009/10,€23.95m,€17.75m
T1,18/10/2009,Buyuksehyr,Manisaspor,H,2.3,3.2,2.8,2.3,3.2,2.8,2009/10,€24.00m,€19.88m
T1,18/10/2009,Galatasaray,Trabzonspor,H,1.6,3.6,5.0,1.6,3.5,5.25,2009/10,€129.23m,€66.95m
T1,18/10/2009,Gaziantepspor,Fenerbahce,H,5.0,3.6,1.6,6.0,3.75,1.5,2009/10,€32.45m,€119.45m
T1,18/10/2009,Genclerbirligi,Sivasspor,H,2.1,3.2,3.2,2.1,3.3,3.1,2009/10,€29.00m,€33.65m
T1,18/10/2009,Kayserispor,Ankaragucu,H,2.1,3.2,3.2,2.2,3.25,2.9,2009/10,€38.50m,€44.70m
T1,23/10/2009,Trabzonspor,Kayserispor,H,1.83,3.4,4.5,1.85,3.2,3.9,2009/10,€66.95m,€38.50m
T1,24/10/2009,Bursaspor,Buyuksehyr,H,1.62,3.75,5.5,1.65,3.45,4.8,2009/10,€51.75m,€24.00m
T1,24/10/2009,Eskisehirspor,Besiktas,A,3.0,3.2,2.4,3.0,3.2,2.2,2009/10,€24.70m,€93.60m
T1,25/10/2009,Diyarbakirspor,Genclerbirligi,H,3.0,3.2,2.4,2.9,3.1,2.3,2009/10,€17.75m,€29.00m
T1,25/10/2009,Fenerbahce,Galatasaray,H,2.25,3.25,3.25,2.25,3.4,3.2,2009/10,€119.45m,€129.23m
T1,25/10/2009,Kasimpasa,Denizlispor,H,2.3,3.2,3.2,2.4,3.2,2.65,2009/10,€20.20m,€18.35m
T1,25/10/2009,Manisaspor,Antalyaspor,A,1.83,3.4,4.5,1.8,3.2,4.25,2009/10,€19.88m,€23.95m
T1,25/10/2009,Sivasspor,Gaziantepspor,H,2.2,3.25,3.3,2.15,3.2,3.1,2009/10,€33.65m,€32.45m
T1,31/10/2009,Antalyaspor,Bursaspor,D,2.6,3.25,2.4,3.0,3.2,2.2,2009/10,€23.95m,€51.75m
T1,31/10/2009,Besiktas,Ankaragucu,H,1.3,4.33,8.5,1.35,4.3,8.0,2009/10,€93.60m,€44.70m
T1,01/11/2009,Denizlispor,Buyuksehyr,A,2.38,3.25,2.63,2.35,3.25,2.7,2009/10,€18.35m,€24.00m
T1,01/11/2009,Galatasaray,Sivasspor,H,1.3,4.33,8.5,1.25,5.0,10.0,2009/10,€129.23m,€33.65m
T1,01/11/2009,Gaziantepspor,Diyarbakirspor,H,1.73,3.4,4.33,1.6,3.5,5.25,2009/10,€32.45m,€17.75m
T1,01/11/2009,Genclerbirligi,Manisaspor,A,1.75,3.4,4.0,1.75,3.45,4.0,2009/10,€29.00m,€19.88m
T1,01/11/2009,Kasimpasa,Eskisehirspor,D,2.63,3.25,2.38,2.5,3.2,2.5,2009/10,€20.20m,€24.70m
T1,01/11/2009,Kayserispor,Fenerbahce,D,3.6,3.3,1.85,3.85,3.4,1.8,2009/10,€38.50m,€119.45m
T1,06/11/2009,Bursaspor,Genclerbirligi,A,1.75,3.5,4.75,1.65,3.45,4.8,2009/10,€51.75m,€29.00m
T1,07/11/2009,Buyuksehyr,Antalyaspor,H,2.4,3.2,3.0,2.4,3.2,2.65,2009/10,€24.00m,€23.95m
T1,07/11/2009,Trabzonspor,Besiktas,A,2.5,3.25,2.8,2.4,3.2,2.65,2009/10,€66.95m,€93.60m
T1,08/11/2009,Ankaragucu,Kasimpasa,D,1.75,3.5,4.75,1.7,3.4,4.5,2009/10,€44.70m,€20.20m
T1,08/11/2009,Diyarbakirspor,Galatasaray,A,7.0,4.33,1.44,6.35,3.85,1.45,2009/10,€17.75m,€129.23m
T1,08/11/2009,Eskisehirspor,Denizlispor,H,1.62,3.75,5.5,1.55,3.6,5.4,2009/10,€24.70m,€18.35m
T1,08/11/2009,Manisaspor,Gaziantepspor,A,2.05,3.25,3.75,2.2,3.2,2.95,2009/10,€19.88m,€32.45m
T1,08/11/2009,Sivasspor,Kayserispor,A,2.75,3.2,2.6,2.4,3.2,2.65,2009/10,€33.65m,€38.50m
T1,21/11/2009,Besiktas,Fenerbahce,H,2.88,3.2,2.5,2.75,3.4,2.55,2009/10,€93.60m,€119.45m
T1,21/11/2009,Gaziantepspor,Bursaspor,A,2.8,3.25,2.5,2.5,3.2,2.5,2009/10,€32.45m,€51.75m
T1,22/11/2009,Denizlispor,Antalyaspor,D,2.1,3.25,3.6,2.0,3.2,3.35,2009/10,€18.35m,€23.95m
T1,22/11/2009,Eskisehirspor,Ankaragucu,D,1.83,3.4,4.5,1.8,3.35,3.95,2009/10,€24.70m,€44.70m
T1,22/11/2009,Galatasaray,Manisaspor,D,1.25,5.5,12.0,1.25,5.0,10.0,2009/10,€129.23m,€19.88m
T1,22/11/2009,Genclerbirligi,Buyuksehyr,H,1.83,3.4,4.5,1.9,3.3,3.65,2009/10,€29.00m,€24.00m
T1,22/11/2009,Kasimpasa,Trabzonspor,H,3.5,3.4,2.05,3.35,3.2,2.0,2009/10,€20.20m,€66.95m
T1,22/11/2009,Kayserispor,Diyarbakirspor,H,1.55,3.75,6.5,1.6,3.6,5.0,2009/10,€38.50m,€17.75m
T1,27/11/2009,Bursaspor,Galatasaray,H,2.9,3.25,2.2,3.35,3.2,2.0,2009/10,€51.75m,€129.23m
T1,28/11/2009,Fenerbahce,Kasimpasa,A,1.2,5.5,11.0,1.2,6.0,9.0,2009/10,€119.45m,€20.20m
T1,29/11/2009,Ankaragucu,Denizlispor,H,1.7,3.4,4.5,1.75,3.5,3.9,2009/10,€44.70m,€18.35m
T1,29/11/2009,Antalyaspor,Genclerbirligi,H,2.38,3.2,2.7,2.15,3.2,3.05,2009/10,€23.95m,€29.00m
T1,29/11/2009,Buyuksehyr,Gaziantepspor,D,2.25,3.2,2.9,2.25,3.2,2.85,2009/10,€24.00m,€32.45m
T1,29/11/2009,Manisaspor,Kayserispor,A,2.5,3.1,2.63,2.35,3.2,2.7,2009/10,€19.88m,€38.50m
T1,29/11/2009,Sivasspor,Besiktas,A,4.0,3.4,1.8,4.0,3.35,1.8,2009/10,€33.65m,€93.60m
