Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,25/08/2017,Belenenses,Setubal,1.0,1.0,D,1.0,0.0,H,2.4,3.0,3.2,2.3,2.95,3.4,2017/18,€19.88m,€23.95m,12.0,12.0,5.0,4.0,24.0,16.0,6.0,6.0,3.0,2.0,1.0,0.0
P1,26/08/2017,Chaves,Feirense,0.0,2.0,A,0.0,1.0,A,1.91,3.3,4.2,1.9,3.1,4.5,2017/18,€23.75m,€12.85m,17.0,7.0,5.0,5.0,12.0,14.0,13.0,3.0,1.0,4.0,0.0,0.0
P1,26/08/2017,Moreirense,Tondela,0.0,3.0,A,0.0,1.0,A,2.1,3.0,4.0,2.1,3.0,3.9,2017/18,€17.80m,€17.48m,11.0,12.0,3.0,6.0,11.0,21.0,8.0,5.0,3.0,1.0,1.0,0.0
P1,26/08/2017,Pacos Ferreira,Guimaraes,0.0,0.0,D,0.0,0.0,D,2.6,2.88,3.0,2.45,3.2,2.85,2017/18,€15.73m,€50.33m,7.0,14.0,4.0,2.0,14.0,20.0,4.0,7.0,3.0,4.0,1.0,0.0
P1,26/08/2017,Rio Ave,Benfica,1.0,1.0,D,0.0,0.0,D,6.5,4.0,1.53,6.5,4.0,1.5,2017/18,€32.95m,€229.08m,9.0,10.0,3.0,4.0,16.0,26.0,4.0,5.0,4.0,2.0,0.0,0.0
P1,27/08/2017,Boavista,AVS,1.0,0.0,H,0.0,0.0,D,2.25,3.0,3.5,2.1,3.1,3.7,2017/18,€16.43m,€12.15m,12.0,14.0,3.0,4.0,26.0,12.0,2.0,2.0,2.0,1.0,0.0,1.0
P1,27/08/2017,Sp Braga,Porto,0.0,1.0,A,0.0,1.0,A,8.5,4.2,1.4,7.75,4.1,1.44,2017/18,€94.80m,€276.50m,14.0,21.0,0.0,7.0,21.0,10.0,5.0,7.0,3.0,4.0,0.0,0.0
P1,27/08/2017,Sp Lisbon,Estoril,2.0,1.0,H,2.0,0.0,H,1.14,8.0,15.0,1.18,6.5,14.5,2017/18,€259.08m,€26.20m,13.0,8.0,4.0,3.0,18.0,24.0,7.0,3.0,4.0,5.0,0.0,0.0
P1,28/08/2017,Portimonense,Maritimo,1.0,2.0,A,0.0,0.0,D,2.2,2.9,3.75,2.25,3.1,3.3,2017/18,€35.78m,€28.55m,13.0,7.0,3.0,3.0,11.0,15.0,4.0,5.0,1.0,3.0,0.0,0.0
P1,08/09/2017,Benfica,Portimonense,2.0,1.0,H,0.0,0.0,D,1.14,7.5,17.0,1.17,7.0,13.5,2017/18,€229.08m,€35.78m,15.0,5.0,8.0,2.0,11.0,16.0,5.0,3.0,0.0,4.0,0.0,1.0
P1,08/09/2017,Feirense,Sp Lisbon,2.0,3.0,A,0.0,0.0,D,9.5,4.5,1.36,8.75,4.5,1.36,2017/18,€12.85m,€259.08m,10.0,13.0,7.0,10.0,13.0,16.0,5.0,10.0,3.0,1.0,0.0,0.0
P1,09/09/2017,Maritimo,Rio Ave,1.0,0.0,H,0.0,0.0,D,2.88,3.0,2.63,2.75,3.1,2.6,2017/18,€28.55m,€32.95m,9.0,4.0,4.0,1.0,16.0,21.0,8.0,3.0,0.0,3.0,0.0,1.0
P1,09/09/2017,Porto,Chaves,3.0,0.0,H,0.0,0.0,D,1.14,7.5,19.0,1.14,7.5,17.5,2017/18,€276.50m,€23.75m,14.0,8.0,7.0,3.0,16.0,14.0,8.0,2.0,1.0,3.0,0.0,0.0
P1,09/09/2017,Tondela,Pacos Ferreira,2.0,2.0,D,1.0,0.0,H,2.4,3.1,3.1,2.45,3.1,2.95,2017/18,€17.48m,€15.73m,12.0,10.0,8.0,7.0,0.0,0.0,10.0,4.0,1.0,4.0,0.0,0.0
P1,10/09/2017,Estoril,Moreirense,0.0,2.0,A,0.0,1.0,A,1.95,3.1,4.33,1.95,3.2,4.1,2017/18,€26.20m,€17.80m,13.0,6.0,8.0,4.0,0.0,0.0,7.0,4.0,2.0,3.0,0.0,0.0
P1,10/09/2017,Guimaraes,Boavista,1.0,0.0,H,0.0,0.0,D,1.95,3.4,3.8,1.95,3.25,4.0,2017/18,€50.33m,€16.43m,7.0,5.0,4.0,5.0,0.0,0.0,10.0,5.0,1.0,1.0,0.0,0.0
P1,10/09/2017,Setubal,Sp Braga,2.0,0.0,H,2.0,0.0,H,3.1,3.0,2.45,2.95,3.0,2.5,2017/18,€23.95m,€94.80m,5.0,9.0,3.0,4.0,0.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0
P1,11/09/2017,AVS,Belenenses,2.0,1.0,H,1.0,1.0,D,2.15,3.2,3.5,2.15,3.1,3.5,2017/18,€12.15m,€19.88m,13.0,7.0,4.0,4.0,17.0,18.0,4.0,3.0,2.0,3.0,0.0,0.0
P1,15/09/2017,Pacos Ferreira,Setubal,1.0,0.0,H,0.0,0.0,D,2.3,3.0,3.4,2.25,2.95,3.5,2017/18,€15.73m,€23.95m,5.0,9.0,3.0,4.0,17.0,12.0,5.0,4.0,4.0,3.0,0.0,0.0
P1,16/09/2017,Boavista,Benfica,2.0,1.0,H,0.0,1.0,A,7.5,4.5,1.4,7.0,4.2,1.45,2017/18,€16.43m,€229.08m,6.0,13.0,4.0,9.0,15.0,19.0,3.0,11.0,2.0,1.0,0.0,0.0
P1,16/09/2017,Maritimo,AVS,2.0,1.0,H,2.0,0.0,H,2.1,3.2,3.6,2.1,3.1,3.7,2017/18,€28.55m,€12.15m,7.0,11.0,5.0,6.0,18.0,12.0,3.0,7.0,3.0,2.0,0.0,0.0
P1,16/09/2017,Sp Lisbon,Tondela,2.0,0.0,H,1.0,0.0,H,1.14,7.5,17.0,1.14,7.5,17.5,2017/18,€259.08m,€17.48m,8.0,1.0,4.0,0.0,14.0,20.0,3.0,4.0,2.0,3.0,0.0,0.0
P1,17/09/2017,Belenenses,Estoril,2.0,1.0,H,0.0,0.0,D,2.3,3.1,3.3,2.2,3.1,3.4,2017/18,€19.88m,€26.20m,12.0,14.0,7.0,7.0,18.0,18.0,6.0,4.0,4.0,3.0,0.0,1.0
P1,17/09/2017,Rio Ave,Porto,1.0,2.0,A,0.0,0.0,D,9.0,4.5,1.36,9.0,4.5,1.36,2017/18,€32.95m,€276.50m,5.0,8.0,2.0,5.0,10.0,24.0,2.0,4.0,5.0,4.0,1.0,0.0
P1,17/09/2017,Sp Braga,Guimaraes,2.0,1.0,H,2.0,1.0,H,1.95,3.2,4.2,1.91,3.4,4.0,2017/18,€94.80m,€50.33m,8.0,5.0,3.0,2.0,24.0,18.0,1.0,1.0,3.0,3.0,0.0,0.0
P1,18/09/2017,Chaves,Moreirense,3.0,0.0,H,1.0,0.0,H,2.15,3.0,3.8,2.2,3.2,3.3,2017/18,€23.75m,€17.80m,9.0,9.0,4.0,4.0,15.0,15.0,3.0,2.0,0.0,2.0,0.0,0.0
P1,18/09/2017,Portimonense,Feirense,2.0,1.0,H,2.0,1.0,H,2.15,3.1,3.6,2.2,3.1,3.4,2017/18,€35.78m,€12.85m,12.0,5.0,7.0,1.0,18.0,13.0,7.0,4.0,2.0,3.0,0.0,0.0
P1,22/09/2017,Porto,Portimonense,5.0,2.0,H,3.0,1.0,H,1.14,8.0,15.0,1.11,8.25,19.5,2017/18,€276.50m,€35.78m,16.0,9.0,9.0,6.0,13.0,9.0,5.0,4.0,2.0,2.0,0.0,0.0
P1,23/09/2017,Benfica,Pacos Ferreira,2.0,0.0,H,1.0,0.0,H,1.17,7.5,15.0,1.17,6.75,15.5,2017/18,€229.08m,€15.73m,17.0,3.0,9.0,2.0,12.0,11.0,11.0,2.0,3.0,2.0,0.0,0.0
P1,23/09/2017,Estoril,Chaves,0.0,2.0,A,0.0,1.0,A,2.05,3.2,3.8,2.0,3.2,3.9,2017/18,€26.20m,€23.75m,7.0,10.0,1.0,5.0,15.0,13.0,10.0,6.0,2.0,0.0,0.0,0.0
P1,23/09/2017,Moreirense,Sp Lisbon,1.0,1.0,D,1.0,0.0,H,8.0,4.5,1.4,7.5,4.4,1.4,2017/18,€17.80m,€259.08m,11.0,5.0,6.0,1.0,25.0,15.0,3.0,8.0,3.0,4.0,0.0,0.0
P1,24/09/2017,AVS,Rio Ave,0.0,0.0,D,0.0,0.0,D,2.8,3.0,2.7,2.8,3.25,2.45,2017/18,€12.15m,€32.95m,10.0,9.0,6.0,1.0,17.0,10.0,2.0,3.0,3.0,2.0,0.0,0.0
P1,24/09/2017,Feirense,Belenenses,1.0,4.0,A,0.0,3.0,A,2.38,3.0,3.25,2.35,3.1,3.1,2017/18,€12.85m,€19.88m,7.0,14.0,3.0,7.0,17.0,15.0,8.0,1.0,1.0,3.0,0.0,0.0
P1,24/09/2017,Guimaraes,Maritimo,2.0,1.0,H,1.0,1.0,D,2.0,3.1,4.2,1.91,3.3,4.1,2017/18,€50.33m,€28.55m,12.0,5.0,5.0,2.0,17.0,19.0,10.0,4.0,2.0,2.0,1.0,1.0
P1,24/09/2017,Tondela,Sp Braga,1.0,2.0,A,1.0,1.0,D,3.2,3.2,2.25,3.0,3.2,2.35,2017/18,€17.48m,€94.80m,6.0,11.0,2.0,3.0,14.0,21.0,3.0,6.0,2.0,3.0,1.0,0.0
P1,25/09/2017,Setubal,Boavista,1.0,1.0,D,0.0,0.0,D,2.15,3.0,3.75,2.15,3.1,3.6,2017/18,€23.95m,€16.43m,7.0,9.0,4.0,4.0,11.0,20.0,4.0,6.0,0.0,1.0,0.0,0.0
P1,29/09/2017,Chaves,Tondela,1.0,1.0,D,1.0,1.0,D,1.75,3.4,5.0,1.8,3.4,4.6,2017/18,€23.75m,€17.48m,15.0,5.0,7.0,1.0,11.0,16.0,10.0,3.0,2.0,2.0,0.0,2.0
P1,30/09/2017,Boavista,Feirense,1.0,0.0,H,1.0,0.0,H,2.0,3.1,4.2,2.0,3.1,4.0,2017/18,€16.43m,€12.85m,9.0,5.0,2.0,3.0,15.0,15.0,6.0,8.0,3.0,4.0,0.0,0.0
P1,30/09/2017,Pacos Ferreira,Moreirense,3.0,2.0,H,2.0,1.0,H,2.05,3.1,4.0,2.0,3.2,3.9,2017/18,€15.73m,€17.80m,6.0,13.0,5.0,8.0,20.0,19.0,2.0,6.0,4.0,1.0,0.0,0.0
P1,30/09/2017,Portimonense,AVS,2.0,2.0,D,1.0,1.0,D,2.15,3.1,3.6,2.2,3.0,3.6,2017/18,€35.78m,€12.15m,15.0,8.0,5.0,2.0,15.0,7.0,11.0,1.0,3.0,2.0,0.0,0.0
P1,30/09/2017,Rio Ave,Setubal,2.0,1.0,H,0.0,0.0,D,1.91,3.25,4.33,1.8,3.3,4.75,2017/18,€32.95m,€23.95m,9.0,5.0,6.0,1.0,12.0,20.0,3.0,4.0,3.0,2.0,0.0,0.0
P1,01/10/2017,Belenenses,Guimaraes,1.0,0.0,H,1.0,0.0,H,2.38,3.1,3.1,2.45,3.2,2.85,2017/18,€19.88m,€50.33m,4.0,8.0,2.0,2.0,15.0,15.0,1.0,11.0,4.0,1.0,0.0,0.0
P1,01/10/2017,Maritimo,Benfica,1.0,1.0,D,0.0,1.0,A,8.0,4.0,1.45,6.75,3.9,1.5,2017/18,€28.55m,€229.08m,10.0,11.0,6.0,5.0,12.0,17.0,4.0,8.0,2.0,1.0,0.0,0.0
P1,01/10/2017,Sp Braga,Estoril,6.0,0.0,H,2.0,0.0,H,1.57,3.8,6.0,1.57,3.7,6.25,2017/18,€94.80m,€26.20m,12.0,10.0,9.0,3.0,21.0,17.0,4.0,5.0,0.0,2.0,0.0,0.0
P1,01/10/2017,Sp Lisbon,Porto,0.0,0.0,D,0.0,0.0,D,2.45,3.2,2.9,2.4,3.4,2.8,2017/18,€259.08m,€276.50m,3.0,9.0,1.0,6.0,13.0,17.0,10.0,2.0,2.0,3.0,0.0,0.0
P1,20/10/2017,Estoril,Boavista,0.0,3.0,A,0.0,2.0,A,2.2,3.0,3.6,2.25,3.0,3.4,2017/18,€26.20m,€16.43m,11.0,9.0,4.0,6.0,15.0,13.0,11.0,2.0,2.0,4.0,0.0,0.0
P1,21/10/2017,Feirense,Rio Ave,1.0,0.0,H,1.0,0.0,H,2.89,3.0,2.6,2.7,3.1,2.65,2017/18,€12.85m,€32.95m,6.0,6.0,2.0,3.0,18.0,12.0,5.0,5.0,5.0,5.0,1.0,2.0
P1,21/10/2017,Porto,Pacos Ferreira,6.0,1.0,H,4.0,1.0,H,1.12,8.5,23.0,1.11,8.0,23.0,2017/18,€276.50m,€15.73m,17.0,6.0,12.0,3.0,12.0,20.0,6.0,2.0,2.0,4.0,0.0,0.0
P1,21/10/2017,Setubal,Maritimo,3.0,1.0,H,0.0,1.0,A,2.37,3.0,3.25,2.3,2.9,3.4,2017/18,€23.95m,€28.55m,14.0,4.0,6.0,3.0,18.0,21.0,6.0,2.0,0.0,2.0,0.0,1.0
P1,22/10/2017,AVS,Benfica,1.0,3.0,A,0.0,1.0,A,8.0,4.75,1.36,9.75,5.0,1.3,2017/18,€12.15m,€229.08m,8.0,17.0,3.0,12.0,7.0,18.0,5.0,10.0,1.0,3.0,0.0,0.0
P1,22/10/2017,Sp Lisbon,Chaves,5.0,1.0,H,3.0,0.0,H,1.19,6.5,13.0,1.18,6.5,15.0,2017/18,€259.08m,€23.75m,8.0,7.0,5.0,2.0,15.0,11.0,4.0,4.0,1.0,1.0,0.0,0.0
P1,22/10/2017,Tondela,Belenenses,2.0,0.0,H,0.0,0.0,D,2.45,3.0,3.1,2.5,3.2,2.8,2017/18,€17.48m,€19.88m,16.0,8.0,5.0,2.0,19.0,23.0,2.0,1.0,4.0,4.0,0.0,1.0
P1,23/10/2017,Guimaraes,Portimonense,3.0,3.0,D,1.0,3.0,A,1.83,3.39,4.5,1.83,3.5,4.25,2017/18,€50.33m,€35.78m,14.0,8.0,8.0,6.0,16.0,18.0,8.0,3.0,1.0,2.0,0.0,0.0
P1,23/10/2017,Moreirense,Sp Braga,0.0,1.0,A,0.0,0.0,D,3.75,3.2,2.04,4.0,3.3,1.95,2017/18,€17.80m,€94.80m,1.0,13.0,1.0,6.0,21.0,22.0,4.0,7.0,3.0,2.0,0.0,0.0
P1,27/10/2017,Benfica,Feirense,1.0,0.0,H,1.0,0.0,H,1.14,8.5,13.0,1.14,7.75,16.0,2017/18,€229.08m,€12.85m,11.0,6.0,5.0,4.0,20.0,16.0,7.0,6.0,0.0,3.0,0.0,0.0
P1,27/10/2017,Rio Ave,Sp Lisbon,0.0,1.0,A,0.0,0.0,D,7.5,3.6,1.53,5.75,4.0,1.55,2017/18,€32.95m,€259.08m,19.0,5.0,5.0,1.0,12.0,12.0,8.0,3.0,0.0,2.0,0.0,0.0
P1,28/10/2017,Belenenses,Moreirense,3.0,0.0,H,1.0,0.0,H,2.1,3.0,4.0,2.15,3.1,3.5,2017/18,€19.88m,€17.80m,7.0,9.0,4.0,2.0,19.0,12.0,3.0,6.0,3.0,1.0,0.0,0.0
